Var1_1,Var1
2AMADPTm,5.15771424278233
2HCO3_NAt,-50
2OXOADOXm,0.0487715127491573
2OXOADPTm,-5.15771424278233
3AIBTm,0
3AIBtm,0
3HKYNAKGAT,0
3SALAASPm,-0
3SALATAi,0
3SALATAim,0
4ABUTtm,-3.29106502173035
4MOPt2im,0
5MTHFt2,8.03012854299863e-15
AACOAT,0.0759109248006907
AACTOOR,0
AACTtm,0
AASAD3m,0.0487715127491573
AATAi,-5.15771424278233
ABTArm,-3.29106502173035
ABUTD,-0
ABUTt2r,-3.29106502173035
ACACT10m,-0
ACACT1r,-0.0759109248006907
ACACt2,-100
ACACt2m,-97.2588284297244
ACETONEt2,-0
ACETONEt2m,0
ACITL,0.00813784713556133
ACOAD10m,-0
ACOAD9m,-0
ACONT,100
ACONTm,1.12785179045181
ACS,0
ACTLMO,-0
ACTNMO,-0
ACYP,0
ADEt,-0
ADK1,100
ADK1m,100
ADK3,-99.7670613778653
ADK3m,-100
ADMDC,0
ADNK1,0
ADPT,0.0624925826578368
AHC,0.0624925826578368
AKGDm,2.68037306819896
AKGMALtm,-100
ALAASNNaEx,100
ALACYSNaEx,0
ALAGLNexR,-100
ALAGLNNaEx,0
ALAGLYexR,100
ALASERNaEx,0
ALAt2r,8.57911086830989
ALAt4,0
ALATA_L,-0.00413085823661329
ALATHRNaEx,0
ALAtN1,100
AMETt2m,-0
AOBUTDsm,0
APAT2rm,-0
ARGLYSex,0.0751976875602636
ARGN,0
ARGNm,0
ARGtiDF,100
ARGtm,0
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASNtN1,-100
ASPGLUm,0.354935339120053
ASPTA,0.341826741016214
ASPTAm,-0.354935339120053
ATP1ter,0.000721474266867523
ATPS4m,9.7829736677103
ATPtm,0
CATm,0.0100906600113585
CATp,0
CBPS,0.00406746545776875
CBPSam,0
CHOLtu,0.00608091655867867
CHSTEROLt,0
CHSTEROLt1,-0
CITL,-5.24355678187896e-15
CITRtm,-100
CITtam,-100
CITtbm,8.43413739950229e-24
CK,-0
CKc,0
CLHCO3tex2,0
CLOHtex2,0
CLOXAtex2,0
CO2t,-4.52330009251268
CO2ter,-0.00541105700150642
CO2tm,-20.8711081464308
COAtm,0.00432884560120515
CREATt4_2_r,-100
CSm,0
CTPS1,0
CTPS2,0.00171440760302164
CYOR_u10m,4.03626400454342
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSO,0
CYSSERNaEx,0
CYSt4,0
CYSTGL,0.00164696721152582
CYSTHRNaEx,100
CYSTS,0.00164696721152582
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DHPR,0
DMGDHm,-0
DNDPt11m,0
DNDPt23m,0
DNDPt24m,0
DNDPt34m,0
DNDPt35m,0
DNDPt9m,0
DPGase,0
DPGM,0
DRBK,-0
DTTPtn,0.000462958660240319
ECOAH12m,0
ECOAH1m,-0.0487715127491448
ECOAH9m,-0
ENO,6.60028859595545
EX_4abut_e,3.29106502173035
EX_ala_L_e,-0.0137504293306603
EX_arg_L_e,-0.075197687560276
EX_asn_L_e,-0.00988176790452759
EX_asp_L_e,-0.00978149122964655
EX_chol_e,-0.00608091655867867
EX_cit_e,-0.00066542381668161
EX_co2_e,4.52330009251268
EX_creat_e,0.0624925826578282
EX_glc_e,-3.32302412861523
EX_gln_L_e,-0.0252907126453271
EX_gly_e,0
EX_hco3_e,0
EX_his_L_e,-1.50897060393695
EX_ile_L_e,-0.0101170489346973
EX_lac_L_e,3.77907524264262
EX_leu_L_e,-0.050761231401297
EX_lys_L_e,-0.069711418344568
EX_met_L_e,-0.00705839554196783
EX_mthgxl_e,-0
EX_nh4_e,1.37497877140273
EX_o2_e,-2
EX_orn_e,0
EX_phe_L_e,-0.0148226341743503
EX_pi_e,-0.0439021741837244
EX_ser_L_e,0
EX_succ_e,0
EX_thr_L_e,-0.045147630753876
EX_trp_L_e,-0.000470562060208852
EX_val_L_e,-0.0124698238722167
FBA,3.30577308040673
FDH,0.000721474266866259
FKYNH,0
FORtr,-0.000721474266867522
FTCD,1.50450029972745
FTHFDH,1.31304872079853
FUM,-17.9400675249905
FUMAC,-0
FUMm,17.3714647963723
FUMSO3tm,6.6625363515883e-24
FUMSO4tm,0
FUMtm,100
FUMTSULtm,-100
G3PD1,-3.24601922303243
G3PD2m,3.2361247945825
G5SADrm,0.0145873531440996
G5SDym,0
G6PDA,0
G6PDH1rer,-0
G6PDH2r,-100
G6PDH2rer,0.00396810846777137
G6PPer,0
G6Pter,0.00396810846777137
GACMTRc,0.0624925826578368
GAPD,6.60028859595545
GCC2am,0
GCC2bim,0
GCC2cm,0
GCCam,0
GCCbim,0
GCCcm,0
GF6PTA,0
GHMT2r,-0.122162900353905
GHMT2rm,0.10385161398215
GK1,0.00162730446497423
GLCt1r,100
GLCt4,-96.6769758713848
GLNALANaEx,0
GLNASNNaEx,0
GLNCYSNaEx,0
GLNS,0
GLNSERNaEx,0
GLNt4,0
GLNTHRNaEx,0
GLNtN1,-100
GLU5Km,0
GLUCYS,1.3009894152732e-15
GLUDC,0
GLUDxm,-100
GLUDym,98.4357206654852
GluForTx,1.50450029972745
GLUNm,-0
GLUPRT,0.00399005223423062
GLUt2m,-3.6849250040335
GLUTCOADHm,96.1257751306281
GLYAMDTRc,0.0624925826578368
GLYATm,0
GLYt2r,-100
GLYt4,0
GLYt7_211_r,-100
GLYtm,-0.207703227964299
GMPS2,0
GND,0
GNDer,0.00396810846777137
GTHO,0
GTHOm,0
GTHP,0
GTHPm,0
GTHRDt,-8.14745125156007e-23
GTHS,1.30098941527331e-15
H2CO3D,17.8119786857607
H2O2syn,0
H2Ot,8.03012854299863e-15
H2Oter,-0.00324663420090385
HACD1m,-0.0487715127491448
HACD9m,-0
HCO3_CLt,100
HEX1,0
HGNTOR,-0
HIBDm,0
HISD,1.50450029972745
HISt4,0
HISTAtu,100
HISTAVESSEC,0
HIStiDF,0
HIStN1,1.50897060393693
HKYNH,0
HMGCOASim,0.0487715127491448
HMGCOAtm,-0.00432884560120513
HMGLm,0.0759109248006907
HOMt4,0
Htm,0
Htr,-0.00288589706747009
ICDHxm,99.5148009431879
ICDHy,0
ICDHyrm,-98.3869491527361
ILEt4,0
ILETA,0
ILETAm,-0
ILEtec,-100
IZPN,1.50450029972745
KCC2t,-1.37497877140273
KYN3OX,0
KYNAKGAT,0
LDH_L,-3.77907524264255
LEUt4,0
LEUt5m,0.031468257652751
LEUTA,0
LEUTAm,0.031468257652751
LEUtec,-100
L_LACDcm,0
L_LACt2r,-100
LYSt4,0
LYStiDF,100
LYStm,0.0487715127491521
MACACI,-0
MALSO3tm,-100
MALSO4tm,-100
