Var1_1,Var1
2AMADPTm,0
2HCO3_NAt,-78.2930414560207
2OXOADOXm,-0
2OXOADPTm,-0
3AIBTm,0
3AIBtm,0
3HKYNAKGAT,-0
3SALAASPm,-0
3SALATAi,0
3SALATAim,0
4ABUTtm,-4.99266490729337
4MOPt2im,0
5MTHFt2,-0
AACOAT,0.0271394120514754
AATAi,-0
ABTArm,-4.99266490729337
ABUTD,-0
ABUTt2r,-4.99266490729337
ACACT10m,-0
ACACT1r,-0.0271394120514754
ACACt2,-100
ACACt2m,-93.430981674333
ACETONEt2,-0
ACETONEt2m,0
ACITL,0
ACOAD10m,-0
ACOAD9m,-0
ACONT,100
ACONTm,2.17510599549162
ACS,0.105680872633992
ACt2m,-0.10568087263402
ACTLMO,-0
ACTNMO,-0
ACYP,0
ADEt,-0
ADK1,100
ADK1m,100
ADK3,-99.8318432488727
ADK3m,-100
ADMDC,0
ADNK1,0
ADPT,0.00164696721154781
AHC,0.00164696721154781
AKGDm,2.78971727773695
AKGMALtm,-100
ALAASNNaEx,72.501999536953
ALACYSNaEx,0
ALAGLNexR,-0.654608880559286
ALAGLNNaEx,0
ALAGLYexR,-100
ALASERNaEx,0
ALAt2r,-0.311383136624297
ALAt4,0
ALATA_L,-0.00413085823660374
ALATHRNaEx,0
ALAtN1,100
AMETt2m,-0
APAT2rm,-0
ARGLYSex,0
ARGN,0.0624925826578241
ARGNm,0
ARGtiDF,100
ARGtm,0
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASNtN1,-100
ASPGLUm,6.33748378305388
ASPTA,6.32960705391071
ASPTAm,-6.33748378305388
ATPS4m,0
ATPtm,0
CATm,0
CATp,0
CBPS,0.00406746545777397
CBPSam,0
CHOLt4,-99.9939190834413
CHOLtu,100
CHSTEROLt,0
CHSTEROLt1,-0
CITRtm,-100
CITtam,-100
CITtbm,-2.81726065367269e-27
CK,-0
CKc,0
CLHCO3tex2,0
