Var1_1,Var1
2OXOADOXm,0.00432884560120513
34HPPOR,0
3SALAASPm,0
3SALATAi,0
3SALATAim,-0
4MOPt2im,0
AACOAT,0
AASAD3m,0.00432884560120513
ABUTD,0
ACACT10m,-0
ACACT1r,0
ACACt2,-100
ACACt2m,-99.8732352400166
ACETONEt2,-0
ACETONEt2m,-0
ACITL,0.159959696736943
ACOAD10m,-0
ACOAD9m,-0
ACONT,99.5391151486249
ACONTm,0.424026492837031
ACS,0
ACt2m,-1.28069518637696e-14
ACYP,0
ADK1,0.0435712671345923
ADK1m,100
ADK3m,-100
ADMDC,0
ADNK1,0.00164696721152333
ADPT,0
AHC,0.00164696721152333
AKGDm,0.0963260442970602
AKGMALtm,-100
ALAASNNaEx,0
ALACYSNaEx,0
ALAGLNexR,99.04671506684
ALAGLNNaEx,100
ALAGLYexR,-100
ALASERNaEx,0
ALAt2r,-99.0484540797139
ALAt4,0
ALATHRNaEx,0
ALAtN1,-100
ARGLYSex,0
ARGN,0
ARGNm,0
ARGtiDF,100
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0.00988176790448789
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPGLUm,0.113968386349091
ASPTA,0.0811965291108661
ASPTAm,-0.113968386349091
ATP1ter,0.000721474266867522
ATPS4m,0
ATPtm,0
CATm,0.00183132799661012
CATp,0
CBPS,0.00406746545777384
CHOLt4,0.00608091655867867
CITtam,-100
CITtbm,0
CKc,-0
CO2t,-0.460573413453138
CO2ter,-0.0168542297775359
CO2tm,-0.195201451976914
COAtm,-0.0314075793086173
CSm,0
CTPS1,0.00171440760302164
CTPS2,0
CYOR_u10m,0.73253119864405
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSSERNaEx,0
CYSt4,0
CYSTGL,0.00164696721152333
CYSTHRNaEx,0
CYSTS,0.00164696721152333
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DPGase,0
DPGM,0
DTTPtn,0.000462958660240319
ECOAH12m,0
ECOAH1m,-0.00432884560120513
ECOAH9m,-0
ENO,1.08508724271636
EX_ala_L_e,0
EX_arg_L_e,-0.0127051049024461
EX_asn_L_e,0
EX_asp_L_e,-0
EX_chol_e,-0.00608091655867867
EX_cit_e,-0.00066542381668161
EX_co2_e,0.460573413453138
EX_glc_e,-0.587186679514898
EX_gln_L_e,0
EX_gthrd_e,0
EX_his_L_e,-0.227246942235895
EX_ile_L_e,-0.0101170489347118
EX_lac_L_e,0.951545920286073
EX_leu_L_e,-0.0192929737485361
EX_lys_L_e,-0.0252687511966158
EX_met_L_e,-0.00705839554187647
EX_nh4_e,0.444489915947613
EX_o2_e,-0.367264883734002
EX_orn_e,0.049829917907678
EX_phe_L_e,-0.00917592481384303
EX_pi_e,-0.0439021741840043
EX_ser_L_e,0
EX_succ_e,0.132062469206883
EX_thr_L_e,-0.045147630753876
EX_trp_L_e,-0.000470562060435236
EX_tyr_L_e,-0.00564670936057077
EX_val_L_e,-0.0124698238722296
FBA,0.566121240380976
FDH,0.000721474266867522
FKYNH,0
FORtr,-0.000721474266867522
FTCD,0.222776638026375
FTHFDH,0.235734352638568
FUM,99.389802301991
FUMAC,0
FUMm,-99.3834495019873
G3PD1,-0.00989442844992873
G5SADrm,0.0145873531441882
G5SDym,0
G6PDA,0
G6PDH2r,-100
G6PDH2rer,0.0154112812438008
G6PPer,0
G6Pter,0.0146898069769333
GAPD,1.12479930682925
GCC2am,0
GCC2bim,0
GCC2cm,0
GCCam,0
GCCbim,0
GCCcm,0
GF6PTA,0
GHMT2r,0.021400777741126
GHMT2rm,-0
GK1,0.00162730446495601
GLCt1r,100
GLCt4,-99.4128133204851
GLCURter,0.0228863455520589
GLNALANaEx,0
GLNASNNaEx,0
GLNCYSNaEx,0
GLNS,0.0513393605142145
GLNSERNaEx,0
GLNt4,0
GLNTHRNaEx,0
GLNtm,0
GLU5Km,0
GLUDxm,-99.9983530327885
GLUDym,100
GluForTx,0.222776638026375
GLUNm,0
GLUPRT,0.00399005223434468
GLUt2m,0.0926491118244881
GLYt4,0
GLYtm,-0.00329393442304665
GMPS2,0
GND,0
GNDer,0.0154112812438008
GNMT,0.00164696721152333
GTHO,100
GTHOm,0
GTHP,0
GTHPm,0
GTHRDt,-0.0760854514304608
GTHS,-0
GULNDer,0.022886345552059
GULNter,0.0228863455520589
H2CO3D,0.179768625012421
H2Oter,0.00819653857512563
H2Otm,-100
HACD1m,-0.00432884560120513
HACD9m,-0
HEX1,0.587186679514893
HGNTOR,0
HIBDm,0
HISD,0.222776638026375
HISt4,0
HISTAtu,0
HMGCOASim,0.00432884560120513
HMGCOAtm,-0.00432884560120513
HOMt4,0
Htr,-0.00288589706747009
ICDHxm,99.9631416414619
ICDHy,0
ICDHyrm,-100
ILETA,0
ILETAm,0
IZPN,0.222776638026375
LDH_L,-0.951545920286076
LEUt4,0
LEUt5m,0
LEUTA,0
LEUTAm,0
LEUtec,99.0933004986352
L_LACt2r,99.0484540797139
L_LACt4r,-100
LYStiDF,100
LYStm,0.00432884560120604
MACACI,0
MCCCrm,-0
MDH,-0.241156225847809
MDHm,0.236404300731235
ME2,0.0111047251203077
METAT,0.00164696721152333
METS,0
METt4,0
MMEm,-0.0357364249098224
MMMm,0.0357364249098224
MTHFC,0.243714457107257
MTHFD,0.0209378190808818
NAt,98.1876493507893
NAt3_1,-100
NAt5,49.5555100840524
NDPK1,-100
NDPK1m,-99.903673955703
NDPK2,100
NDPK3,-99.9990723851762
NDPK4,-1.08462428405611
NDPK5,99.9157989388529
NDPK8,0.00139382703201067
NDPK9,0
NKCC2t,-50
NTD7,0
O2Stm,0
O2t,0.367264883734002
O2ter,0.0064932684018077
O2tm,0.360771615332194
OBDHc,0.0357364249098224
ORNDC,0
ORNt3m,0.049829917907684
ORNTArm,-0.049829917907684
ORNtiDF,0
OXAHCOtex,-0
P5CRm,0.371206012225319
P5CRxm,0
PCm,0
PDHm,0.126764759983362
PE_HStm,-0.00195828224369012
PFK,0.566121240380976
PGCD,0.0397120641128932
PGI,0.561218731346513
PGK,-1.12479930682925
PGLer,0.0154112812438009
PGM,-1.08508724271636
PHEt4,0
PPA,0
PPAm,0.0469279384504329
PPCOACm,0.0357364249098224
PPCOAOm,0
PPItr,-0.00144294853373504
PPM,0
PRFGS,0.00399005223434468
PROD2m,0.539553289727339
PROt4,0
PRPNCOAHYDm,0
PRPPS,0.00805751769211852
PSERT,0.0397120641128932
PSFLIPm,0.00195828224369012
PSP_L,0.0397120641128932
PUNP1,0
PYK,100
PYRt2m,100
PYRt2p,0
PYRt2r,100
RPE,-100
SACCD3m,0.00432884560120604
SACCD4m,95.6036076557161
SARCStm,0.00164696721152333
SARDHm,0.00164696721152333
SERALANaEx,0
SERASNNaEx,0
SERCYSNaEx,0
SERGLNexR,-100
SERGLNNaEx,100
SERGLYexR,-100
SERt4,0.234305337777757
SERTHRNaEx,0
SO4HCOtex,-0
SPMS,0
SPODM,0
SPODMm,0.00366265599322025
SPODMx,0
SPRMS,0
SUCCt4_2,-0.132062469206883
SUCOASm,-0.132062469206883
TALA,0.00245125451723137
THD1m,4.77192720211043
THRALANaEx,0
THRASNNaEx,0
THRCYSNaEx,0
THRD_L,0.0340894576982991
THRGLNexR,-100
THRGLNNaEx,0
THRGLYexR,100
THRSERNaEx,0
THRt4,0
TKT1,0.00245125451723137
TKT2,0.00245125451723137
TPI,0.556226811931047
TRPO2,0
TRPt,0.000470562060435236
TYRTA,0
UDPGLCAter,0
UMPK,100
UMPK2,-100
UMPK3,99.9959325345422
UMPK4,-99.9073139686112
UMPK5,-100
UMPK7,99.9154488995267
URCN,0.222776638026375
VALt4,0
VALTA,0
VALTAm,0
XYLUR,-0
r0010,0
r0021,100
r0022,0
r0062,0.122435914382157
r0074,-0.0644172710518723
r0085,0.0178812875672282
r0086,-0
r0119,0
r0127,0
r0153,0
r0156,0.0178812875672282
r0173,0
r0191,0
r0249,-0.0105087722093499
r0295,0.00164696721152333
r0301,0.00162730446495601
r0317,-100
r0354,0
r0355,0
r0399,0
r0426,100
r0450,0.00432884560120513
r0464,-100
r0525,-95.5992788101149
r0541,0.00432884560120513
r0549,100
r0552,-100
r0553,100
r0570,-0
r0596,0
r0655,-0
r0669,-0
r0683,0
r0779,0
r0792,0
r0801,-0.096326044297036
r0812,-0
r0821,-99.3834495019873
r0840,-0.0105087722093499
r0841,-0.00490250903445096
r0885,-99.9239145485696
r0911,-0.0145873531441882
r0913,100
r0915,-100
r0917,-100
r0924,0.000721474266867522
r0941,0.0357364249098224
r1050,0.000721474266867522
r1090,0.00066542381668161
r1109,-0.122435914382144
r1143,0
r1147,-0.0236031774307172
r1155,0
r1291,0.0357364249098224
r1453,-0.182934630646208
r1454,0
r1464,99.8732352400166
r1571,99.9898829510653
r1664,0.049829917907684
r1665,-100
r1666,-0.0245611667110682
r1667,-100
r1668,100
r1669,-99.9872948950975
r1670,-100
r1671,100
r1672,0
r1673,0
r1674,0
r1675,0
r1676,0
r1677,0
r1678,0
r1679,0
r1680,0
r1681,0
r1682,0
r1683,0
r1684,0
r1685,0
r1686,0
r1687,0
r1690,0
r1691,0
r1692,0
r1693,0
r1695,0
r1696,0
r1698,0
r1700,0
r1701,0
r1702,0
r1705,0
r1706,0
r1707,0
r1708,0
r1710,0
r1711,0
r1713,0
r1715,0
r1716,0
r1717,0
r1720,0
r1721,0
r1722,0
r1723,0
r1725,0
r1726,0
r1728,0
r1730,0
r1731,0
r1732,0
r1733,0
r1734,0
r1735,0
r1736,0
r1737,0
r1738,0
r1739,0
r1740,0
r1741,0
r1742,0
r1743,0
r1744,0
r1745,0
r1746,0
r1747,0
r1748,0
r1749,0
r1750,0
r1751,0
r1752,0
r1753,0
r1754,0
r1755,0
r1756,0
r1757,0
r1758,0
r1759,0
r1760,0
r1761,0
r1762,0
r1763,0
r1764,0.0272924580466434
r1765,0
r1766,0
r1767,0
r1768,0
r1769,0
r1770,0
r1771,0
