Var1_1,Var1
2HCO3_NAt,49.6896423352565
3SALAASPm,0
3SALATAi,0
3SALATAim,-0
4ABUTtm,-0
4MOPt2im,0.22680754061666
ABTArm,1.72088243052329e-15
ABUTD,-0
ABUTt4_2_r,-0
ACACT10m,-0
ACACT1r,0
ACACt2,-100
ACACt2m,-99.4063383115994
ACETONEt2,-0
ACETONEt2m,-0
ACITL,0.159959696736943
ACOAD10m,-0
ACOAD9m,-0
ACONT,0.204306891031332
ACONTm,100
ACYP,0
ADK1,0.0452182343460989
ADK1m,98.7669151374699
ADK3m,-98.7669151374699
ADMDC,0
ADNK1,0
ADPT,0.00164696721147516
AHC,0.00164696721147516
AKGMALtm,-100
AKGt4_3,-100
ALAASNNaEx,49.9793268895307
ALACYSNaEx,0
ALAGLNexR,50.0206731104692
ALAGLNNaEx,0
ALAGLYexR,-100
ALASERNaEx,0
ALAt2r,-100
ALAt4,0
ALATHRNaEx,0
ALAtN1,0
APAT2rm,-0.0357364249098184
ARGLYSex,0
ARGN,0
ARGNm,0
ARGtiDF,100
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0.00988176790443496
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPGLUm,0.525905689566573
ASPTA,0.493133832328274
ASPTAm,-0.525905689566573
ATP1ter,0.000721474266867522
ATPS4m,0
ATPtm,0
BALAtmr,-0.0357364249098184
CATm,0.00412925160741033
CATp,0
CBPS,0.00406746545776993
CHOLt4,0.00608091655867867
CITtam,-100
CITtbm,0
CKc,-0
CO2t,-0
CO2ter,-0.00144294853373504
CO2tm,-1.56054331922548
COAtm,-0.0314075793086133
CSm,0
CTPS1,0.00171440760302164
CTPS2,0
CYOR_u10m,1.65170064296413
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSSERNaEx,0
CYSt4,0
CYSTGL,0.00164696721147516
CYSTHRNaEx,0
CYSTS,0.00164696721147516
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DPGase,0
DPGM,0
DTTPtn,0.000462958660240319
ECOAH12m,0
ECOAH1m,0
ECOAH9m,-0
ENO,0.611542975967826
EX_akg_e,0.377556564377647
EX_ala_B_e,0.0357364249098184
EX_ala_L_e,0
EX_arg_L_e,-0.0127051049024499
EX_asn_L_e,0
EX_asp_L_e,0
EX_chol_e,-0.00608091655867867
EX_cit_e,-0.00066542381668161
EX_glc_e,-0.342495804831465
EX_gln_L_e,0
EX_gly_e,0
EX_gthrd_e,0
EX_hco3_e,0.620715329487089
EX_his_L_e,-0.267312212746977
EX_ile_L_e,-0.0101170489347142
EX_lac_L_e,0
EX_leu_L_e,-0.0236218193498154
EX_lys_L_e,-0.0209399055954094
EX_met_L_e,-0.00705839554197565
EX_nh4_e,0.524620456969773
EX_o2_e,-0.819955835061642
EX_orn_e,0.049829917907678
EX_phe_L_e,-0.00917592481384373
EX_pi_e,-0.0439021741842233
EX_ser_L_e,0
EX_thr_L_e,-0.045147630753876
EX_trp_L_e,-0.000470562060526138
EX_tyr_L_e,-0.00564670936060099
EX_val_L_e,-0.0124698238722301
FBA,0.326567459445442
FDH,0.000721474266855291
FKYNH,0
FORtr,-0.000721474266867522
FTCD,0.262841908537495
FTHFDH,0.254398845408429
FUM,100
FUMAC,-0
FUMm,-99.9936471999961
G3PD1,-0.00989442844992873
G5SADrm,0.0145873531441697
G5SDym,0
G6PDA,0
G6PDH2r,0
G6PPer,0
GAPD,0.640554651210231
GCC2am,0
GCC2bim,0
GCC2cm,0
GCCam,0
GCCbim,0
GCCcm,0
GF6PTA,0
GHMT2rm,0.0107003888706751
GK1,8.87482804670416
GLCt1r,100
GLCt4,-99.6575041951685
GLNALANaEx,0
GLNASNNaEx,0
GLNCYSNaEx,0
GLNS,0.0513393605142045
GLNSERNaEx,0
GLNt4,0
GLNTHRNaEx,0
GLNtm,0
GLU5Km,0
GLUDxm,-99.9876526439178
GLUDym,100
GluForTx,0.262841908537495
GLUNm,0
GLUPRT,0.00399005223441291
GLUt2m,0.370222311822789
GLYATm,0
GLYt4,0
GLYtm,-0.0246947121643005
GMPS2,0
GND,0
GNDer,-0
GNMT,0.00164696721147516
GTHO,99.9553364274209
GTHOm,0
GTHP,0
GTHPm,0
GTHRDt,-19.6270890766964
GTHS,-0
H2CO3D,1.99783239211979
H2Oter,-0.00721474266867523
H2Otm,-92.3367514830269
HACD1m,-0
HACD9m,-0
HEX1,0.342495804831469
HGNTOR,-0
HIBDm,0
HISD,0.262841908537495
HISt4,0
HISTAtu,0
HISTAVESSEC,0
HMGCOAtm,-0.00432884560120513
HMGLm,0
HOMt4,0
Htm,0
Htr,0.0129865368036154
ICDHxm,0
ICDHy,0
ICDHyrm,0.204306891031325
ILETA,0
ILETAm,-0
IZPN,0.262841908537495
KCC2t,98.9507590860605
LDH_L,0
LEUt4,0
LEUt5m,-0.222478695015455
LEUTA,0.22680754061666
LEUTAm,-0.222478695015455
LEUtec,100
L_LACt2r,100
L_LACt4r,-0.377556564377646
LYStiDF,100
MACACI,-0
MCCCrm,0.00432884560120513
MDH,-0.653093529065217
MDHm,-0.339249163410746
ME1m,0
ME2,0
ME2m,0.998695492479839
METAT,0.00164696721147516
METLEUex,100
METS,0
METt4,0
MGCHrm,0.00432884560120513
MGSA,0
MMEm,0
MMMm,0
MTHFC,0.262378949877255
MTHFD,-0.000462958660240254
NADPHtru,0.00793621693554275
NADPtru,0.00793621693554275
NAt,-100
NCCt,100
NDPK1,-89.8900743823225
NDPK1m,-100
NDPK2,100
NDPK3,-99.9990723851762
NDPK4,-0.611080017307582
NDPK5,0.00987879727371686
NDPK8,100
NDPK9,0
NKCC2t,-99.4753795430302
NRPPHRVESSEC,-0
NTD7,0
O2Stm,0
O2t,0.819955835061642
O2ter,0.0064932684018077
O2tm,0.813462566659835
OBDHc,0.0357364249098185
OIVD1m,0.00432884560120513
OIVD2m,-0
OIVD3m,-0
ORNDC,0
ORNt3m,0.0498299179076779
ORNTArm,-0.0498299179076779
ORNtiDF,0
OXAHCOtex,-0
P5CRm,1.20300238351116
P5CRxm,0
PCm,1.22875601692889
PDHm,0.363601163951571
PE_HStm,-0.00195828224369012
PFK,0.326567459445442
PGCD,0.0290116752424052
PGI,0.331939137906889
PGK,-0.640554651210231
PGM,-0.611542975967826
PHEt4,0
PPA,0
PPAm,8.92177564790108
PPCOACm,0
PPCOAOm,0
PPItr,-0.00216442280060257
PPM,0.00164696721147516
PRFGS,0.0039900522344129
PROD2m,1.39716798507543
PROt4,0
PRPNCOAHYDm,0.0357364249098184
PRPPS,0.00970448490365799
PSERT,0.0290116752424052
PSFLIPm,0.00195828224369012
PSP_L,0.0290116752424052
PUNP1,0.00164696721147516
PYK,100
PYRt2m,100
PYRt2p,0
PYRt2r,100
RPE,-100
RPI,-0.00537167846145919
SACCD3m,-0
SACCD4m,0
SARCStm,0.00164696721147516
SARDHm,0.00164696721147516
SERALANaEx,0
SERASNNaEx,100
SERCYSNaEx,0
SERGLNexR,-100
SERGLNNaEx,0
SERGLYexR,-100
SERt4,0
SERTHRNaEx,0
SO4HCOtex,-0
SPMS,0
SPODM,0
SPODMm,0.00825850321482066
SPODMx,0
SPRMS,0
SUCCt4_2,-0
SUCOASm,0
TALA,-0.00268583923072364
THD1m,0
THRALANaEx,0
THRASNNaEx,0
THRCYSNaEx,0
THRD_L,0.0340894576983433
THRGLNexR,-100
THRGLNNaEx,0
THRGLYexR,-100
THRSERNaEx,0
THRt4,0
TKT1,-0.00268583923072364
TKT2,-0.00268583923072364
TPI,0.316673030995513
TRPO2,0
TRPt4,0
TYRTA,0
UDPGLCAter,0
UMPK,100
UMPK2,-100
UMPK3,99.9959325345422
UMPK4,-100
UMPK5,-0.0013938270319814
UMPK7,0.00952875794753409
URCN,0.262841908537495
VALt4,0
VALTA,0
VALTAm,-0
XYLUR,-0
r0010,0
r0021,99.9553364274209
r0022,0
r0028,0
r0055,0
r0062,0.363601163951571
r0074,-0.0644172710518476
r0085,0.017881287567151
r0086,-0
r0119,8.8732007422392
r0127,0
r0153,0
r0156,0.017881287567151
r0173,0
r0178,1.72088243052329e-15
r0191,0
r0295,0.0123473560821502
r0301,0.00162730446496147
r0317,-100
r0354,0
r0355,0
r0365,0.0357364249098184
r0426,100
r0464,-100
r0525,0
r0549,100
