Var1_1,Var1
2AMADPTm,0
2HCO3_NAt,-0.512435120460471
2OXOADOXm,-0
34HPPOR,0.0219373379684717
3SALAASPm,0
3SALATAi,0
3SALATAim,-0
4MOPt2im,0.909308391756959
AACOAT,0.0219373379684597
AATAi,-0
ABUTD,0
ACACT10m,-0
ACACT1r,-0.0219373379684597
ACACt2,-100
ACACt2m,-99.9579074122476
ACETONEt2,-0
ACETONEt2m,-0
ACITL,0.0850725614844531
ACOAD10m,-0
ACOAD9m,-0
ACONT,100
ACONTm,-0.0733270092309375
ACS,0.0310124593155702
ACt2m,-0.0310124593155831
ACYP,0
ADK1,0.0882862637255559
ADK1m,0.156669359781327
ADK3m,-0.156669359781327
ADMDC,0
ADNK1,0
ADPT,0.00164696721152047
AHC,0.00164696721152047
AKGMALtm,-100
ALAASNNaEx,0
ALACYSNaEx,0
ALAGLNexR,100
ALAGLNNaEx,100
ALAGLYexR,-100
ALASERNaEx,0
ALAt2r,-99.4362387337787
ALAt4,0
ALATHRNaEx,0
ALAtN1,-100
APAT2rm,-0.0357364249098378
ARGLYSex,0
ARGN,0.00712290146118199
ARGNm,0
ARGtiDF,100
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPGLUm,0
ASPTA,-0.0078767291430291
ASPTAm,-4.04611694529515e-23
ATP1ter,0.000721474266867523
ATPS4m,0.160998205382531
ATPtm,0
BALAtmr,-0.0357364249098378
CATm,0.000841848547835422
CATp,0
CBPS,0.00406746545776161
CHOLt4,0.00608091655867867
CHSTEROLt,0
CITtam,-100
CITtbm,-3.64048848546022e-27
CKc,0
CO2t,0
CO2ter,-0.00144294853373504
COAtm,0.00432884560120514
CSm,0.0110801284368206
CTPS1,0
CTPS2,0.00171440760301488
CYOR_u10m,0.336739419134169
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSSERNaEx,0
CYSt4,0
CYSTGL,0.00164696721152047
CYSTHRNaEx,0
CYSTS,0.00164696721152047
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DPGase,0
DPGM,0
DTTPtn,0.000462958660240319
ECOAH12m,0
ECOAH1m,0
ECOAH9m,-0
ENO,0.515578870333483
EX_ala_B_e,0.0357364249098378
EX_ala_L_e,-0.0137504293306603
EX_arg_L_e,-0.0214749735751134
EX_asn_L_e,-0.0151136368654567
EX_asp_L_e,-0.00978149122964655
EX_chol_e,-0.00608091655867867
EX_cit_e,-0.00066542381668161
EX_co2_e,0
EX_creat_e,0.00164696721152047
EX_glc_e,-0.308139618897845
EX_gln_L_e,-0.145706312620639
EX_gly_e,-0.00311644961173343
EX_hco3_e,0.283926163746657
EX_his_L_e,-0.0129133673383431
EX_ile_L_e,-0.0101170489347055
EX_lac_L_e,0.563761266221266
EX_leu_L_e,-0.0236218193497411
EX_lys_L_e,-0.0209399055954118
EX_met_L_e,-0.00705839554190007
EX_nh4_e,0.176642715638727
EX_o2_e,-0.216212108262329
EX_orn_e,0.049829917907678
EX_phe_L_e,-0.00917592481383504
EX_pi_e,-0.0439021741838383
EX_ser_L_e,-0.0291004176479526
