Var1_1,Var1
2AMADPTm,0
2OXOADOXm,-0
2OXOADPTm,-0
3AIBTm,0
3AIBtm,0
3HKYNAKGAT,-0
3SALAASPm,0
3SALATAi,0
3SALATAim,-0
4ABUTtm,-0.764862314989135
4MOPt2im,99.2450847541806
5MTHFt2,-0
AACOAT,0.0271394120514826
AATAi,-0
ABTArm,-0.764862314989135
ABUTD,-0
ABUTt2r,-0.764862314989135
ACACT10m,-0
ACACT1r,-0.0271394120514826
ACACt2,-100
ACACt2m,-100
ACETONEt2,-0
ACETONEt2m,-0
ACITL,0.105680872633977
ACOAD10m,-0
ACOAD9m,-0
ACONT,100
ACONTm,-0.0778760367658943
ACS,0
ACt2m,1.44227121650102e-24
ACYP,0
ADEt,-0
ADK1,100
ADK1m,100
ADK3,-99.9391710887185
ADK3m,-100
ADMDC,0
ADNK1,0.00164696721152333
ADPT,0
AHC,0.00164696721152333
AKGDm,0.536735245479426
AKGMALtm,-100
ALAASNNaEx,0
ALACYSNaEx,0
ALAGLNexR,100
ALAGLNNaEx,0
ALAGLYexR,-100
ALASERNaEx,0
ALAt2r,100
ALAt4,0
ALATA_L,-100
ALATHRNaEx,0
AMETt2m,-0
APAT2rm,-0
ARGLYSex,0
ARGN,0.0624925826578354
ARGNm,0
ARGtiDF,100
ARGtm,0
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPGLUm,1.77306647170959
ASPTA,1.76518974256661
ASPTAm,-1.77306647170959
ATP1ter,0.000721474266867523
ATPS4m,0
ATPtm,0
CATm,0
CATp,0
CBPS,0.00406746545777
CBPSam,0
CHOLt4,-99.9939190834413
CHOLtu,100
CHSTEROLt,0
CHSTEROLt1,-0
CITL,4.01466828610764e-14
CITRtm,-100
CITtam,-100
CITtbm,0
CK,-0
CKc,0
CLHCO3tex2,100
CLOHtex2,100
CLOXAtex2,0
CO2t,-0.492769471247731
CO2ter,-0.00541105700150642
CO2tm,-0.490638781398417
COAtm,-0.0314075793086313
CREATt4_2_r,-100
CSm,0.0271394120514833
CTPS1,0.00171440760302164
CTPS2,0
CYOR_u10m,0
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSSERNaEx,0
CYSt4,0
CYSTGL,0.00164696721152333
CYSTHRNaEx,0
CYSTS,0.00164696721152333
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DHPR,0.00564670936047045
DMGDHm,-0
DNDPt11m,0
DNDPt23m,0
DNDPt24m,0
DNDPt34m,0
DNDPt35m,0
DNDPt9m,0
DPGase,0
DPGM,0
DRBK,-0
DTTPtn,0.000462958660240319
ECOAH12m,0
ECOAH1m,0
ECOAH9m,-0
ENO,1.37241563960513
EX_4abut_e,0.764862314989135
EX_ala_L_e,-0.0137504293306603
EX_arg_L_e,-0.075197687560276
EX_asn_L_e,-0.0151136368654567
EX_asp_L_e,-0.00978149122964655
EX_chol_e,-0.00608091655868054
EX_cit_e,-0.00066542381668161
EX_co2_e,0.492769471247731
EX_glc_e,-0.826560701650153
EX_gln_L_e,-0.63978624638464
EX_gly_e,0
EX_h_e,1.22337795927786
EX_his_L_e,-0.00447030420948248
EX_ile_L_e,-0.0101170489346987
EX_lac_L_e,0.676997996056989
EX_leu_L_e,-0.050761231401297
EX_lys_L_e,-0.0209399055954102
EX_met_L_e,-0.0070583955419189
EX_nh4_e,0.53598654660704
EX_o2_e,-0.0121399777622781
EX_orn_e,0.0479052295136098
EX_phe_L_e,-0.0148226341743179
EX_pi_e,-0.0439021741839262
EX_ser_L_e,-0.0397120641128767
EX_succ_e,0.575913672154863
EX_thr_L_e,-0.045147630753876
EX_trp_L_e,-0.000470562060435236
EX_urea_e,0.0624925826578354
EX_val_L_e,-0.0124698238722501
FBA,0.574363551021597
FDH,0.000721474266867522
FKYNH,0
FORtr,-0.000721474266867522
FTHFDH,0.0129577146122567
FUM,-1.59899652450673
FUMAC,-0
FUMm,0.837045007755644
FUMSO3tm,-100
FUMSO4tm,-2.63130308935065e-26
FUMtm,100
FUMTSULtm,-100
G3PD1,-0.00989442844992873
G3PD2m,0
G5SADrm,0.014587353144192
G5SDym,0
G6PDA,0.616209941342222
G6PDH1rer,-0
G6PDH2r,-100
G6PDH2rer,0.00396810846777137
G6PPer,0
G6Pter,0.00396810846777137
GACMTRc,-0
GAPD,1.37241563960513
GF6PTA,0.616209941342222
GHMT2r,0.0214007777411113
GHMT2rm,0
GK1,0.00162730446495802
GLCt1r,100
GLCt4,-99.1734392983498
GLNALANaEx,0
GLNASNNaEx,0
GLNCYSNaEx,0
GLNS,0
GLNSERNaEx,0
GLNt4,0
GLNTHRNaEx,0
GLNtm,0
GLU5Km,0
GLUCYS,0
GLUDC,0
GLUDxm,-100
GLUDym,99.8837969906735
GluForTx,0
GLUNm,0
GLUPRT,0.00399005223430715
GLUt2m,-0.162768045861321
GLUTCOADHm,0.766657349543212
GLYATm,0
GLYt2r,-100
GLYt4,75.0234207258145
GLYt7_211_r,-100
GLYtm,-0.00329393442304665
GMPS2,0
GND,0.704838307259925
GNDer,0.00396810846777137
GNMT,0.00164696721152333
GTHO,0
GTHOm,0
GTHP,0
GTHPm,-0
GTHRDt,0
GTHS,0
H2CO3D,0.902523667976656
H2Ot,100
H2Oter,-0.00324663420090385
HACD1m,0
HACD9m,-0
HCO3_CLt,49.6824958051612
HEX1,0
HGNTOR,-0
HIBDm,0
HISD,0
HISt4,0
HISTAtu,0
HISTAVESSEC,0
HIStiDF,0
HKYNH,0
HMGCOASim,0
HMGCOAtm,-0.00432884560120513
HMGLm,0.0271394120514833
HOMt4,0
Htm,0
Htr,-0.00288589706747009
ICDHxm,0
ICDHy,0
ICDHyrm,-0.0778760367658637
ILETA,0
ILETAm,-0
ILEtec,-100
IZPN,0
KCC2t,-0.53598654660704
KYNAKGAT,0
LDH_L,-0.676997996056989
LEUt4,0
LEUt5m,-99.2136164965279
LEUTA,99.2450847541806
LEUTAm,-99.2136164965279
LEUtec,0.0608782803360459
L_LACDcm,0
L_LACt2r,99.323002003943
L_LACt4r,-100
LYSt4,0
LYStiDF,100
LYStm,0
MACACI,-0
MALSO3tm,0
MALSO4tm,-100
MALtm,-99.8139802025152
MALTSULtm,100
MCCCrm,0.0314682576526885
MDH,-1.87087061520062
