Var1_1,Var1
2AMADPTm,0
2HCO3_NAt,-0.819512618270355
2OXOADOXm,0.0487715127491481
2OXOADPTm,0
3AIBTm,0
3AIBtm,0
3HKYNAKGAT,0
3SALAASPm,0
3SALATAi,0
3SALATAim,0
3SPYRSPm,0
4ABUTtm,-0.0225764588314042
4MOPt2im,0
5MTHFt2,-0
AACOAT,0
AASAD3m,0.0487715127491482
AATAi,0
ABTArm,-0.0225764588314042
ABUTD,-0
ABUTt2r,-0.492852202597869
ACACT10m,-0
ACACT1r,0
ACACt2,-100
ACACt2m,-99.8668156433986
ACETONEt2,-0.0759109248007783
ACETONEt2m,-0.0759109248007783
ACITL,0
ACOAD10m,-0
ACOAD9m,-0
ACONT,100
ACONTm,-1.28069518637696e-14
ACS,0.159959696736943
ACt2m,-0.15995969673699
ACTLMO,0
ACTNMO,0
ACYP,0
ADCim,0.0759109248007783
ADEt,-0
ADK1,100
ADK1m,100
ADK3,-99.7849048645217
ADK3m,-100
ADMDC,0
ADNK1,0.0132111388180805
ADPT,0
AHC,0.0132111388180805
AKGDm,0
AKGMALtm,-100
ALAASNNaEx,100
ALACYSNaEx,0
ALAGLNexR,-100
ALAGLNNaEx,0
ALAGLYexR,100
ALASERNaEx,0
ALAt2r,-100
ALAt4,0
ALATA_L,-0.0178812875671873
ALATHRNaEx,99.9548523692461
ALAtN1,0.0451476307540083
AMETt2m,-0
APAT2rm,-0
ARGLYSex,0
ARGN,0
ARGNm,0.0145873531440914
ARGtiDF,100
ARGtm,0.0145873531440914
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0.00988176790448186
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASNtN1,-100
ASPGLUm,0
ASPTA,-0.0327718572384176
ASPTAm,0
ATP1ter,0.000721474266867523
ATPS4m,0
ATPtm,0
CATm,0.0100906600113584
CATp,0
CBPS,0.00406746545774106
CBPSam,0
CHOLt4,-99.9939190834413
CHOLtu,100
CHSTEROLt,0
CHSTEROLt1,-0
CITL,0
CITRtm,-100
CITtam,-100
CITtbm,-5.79059225992837e-28
CK,-0
CKc,0
CLHCO3tex2,0
CLOHtex2,0
CLOXAtex2,0
CO2t,0
CO2ter,-0.00541105700150642
CO2tm,-1.81538961598866
COAtm,-0.0429717509152877
CREATt4_2_r,-100
CSm,0.159294272920341
CTPS1,0.00171440760302164
CTPS2,0
CYOR_u10m,4.03626400454338
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSO,0
CYSSERNaEx,0
CYSt4,0
CYSTGL,0.0132111388180805
CYSTHRNaEx,0
CYSTS,0.0132111388180805
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DHPR,0
DMGDHm,-0
DNDPt11m,0
DNDPt23m,0
DNDPt24m,0
DNDPt34m,0
DNDPt35m,0
DNDPt9m,0
DPGase,0
DPGM,0
DRBK,-0
DTTPtn,0.000462958660240319
ECOAH12m,0
ECOAH1m,-0.0487715127491481
ECOAH9m,-0
ENO,2.50988761533339
EX_4abut_e,0.492852202597869
EX_acetone_e,0.0759109248007783
EX_ala_L_e,0
EX_arg_L_e,-0.0405035968646391
EX_asn_L_e,0
EX_asp_L_e,0
EX_chol_e,-0.00608091655867867
EX_cit_e,-0.00066542381668161
EX_co2_e,0
EX_creat_e,0.0132111388180868
EX_glc_e,-2.08575779021231
EX_gln_L_e,-0.0334580729473222
EX_gly_e,0
EX_gthrd_e,0.0115641716065834
EX_hco3_e,1.65058940814733
EX_his_L_e,-0.478027110774663
EX_ile_L_e,-0.0101170489346973
EX_lac_L_e,3.77907524264262
EX_leu_L_e,-0.050761231401297
EX_lys_L_e,-0.069711418344568
EX_met_L_e,-0.0186225671484321
EX_nh4_e,0.983743016881489
EX_o2_e,-2
EX_orn_e,0.0132111388180858
EX_phe_L_e,-0.0148226341743665
EX_pi_e,-0.0439021741841613
EX_ser_L_e,0
EX_so4_e,-9.21380908125504e-15
EX_succ_e,0
EX_thr_L_e,-0.045147630753876
EX_trp_L_e,-0.000470562060402078
EX_urea_e,0.0145873531440914
EX_val_L_e,-0.0124698238722501
FBA,1.95059022302118
FDH,0.000721474266867523
FKYNH,0
FORtr,-0.000721474266867522
FTCD,0.473556806565196
FTHFDH,0.512936798813371
FUM,22.6482709369964
FUMAC,-0
FUMm,-22.6171939993073
FUMSO3tm,-100
FUMSO4tm,0
FUMtm,100
FUMTSULtm,-100
G3PD1,-2.78062323251742
G3PD2m,2.77072880406749
G5SADrm,0.0145873531440934
G5SDym,0
G6PDA,0
G6PDH1rer,-0
G6PDH2r,-100
G6PDH2rer,0.00396810846777137
G6PPer,0
G6Pter,0.00396810846777137
GACMTRc,0.0132111388180805
GAPD,4.00783940016679
GCC2am,0
GCC2bim,0
GCC2cm,0
GCCam,-1.87439045467898e-29
GCCbim,0
GCCcm,-1.87640795316397e-29
GF6PTA,0
GHMT2r,0.0478230553773239
GHMT2rm,1.16694567243826e-28
GK1,27.4891716836395
GLCt1r,100
GLCt4,-97.9142422097877
GLNALANaEx,0
GLNASNNaEx,0
