Var1_1,Var1
2AMADPTm,0
2OXOADOXm,-0
2OXOADPTm,-0
3AIBTm,0
3AIBtm,0
3HKYNAKGAT,-0
3SALAASPm,0
3SALATAi,0
3SALATAim,-0
4ABUTtm,0.551671683642444
4MOPt2im,0
5MTHFt2,-0
AACOAT,0.0271394120515128
AATAi,-0
ABTArm,0.551671683642444
ABUTD,3.89425526077203e-29
ABUTt2r,-0
ACACT10m,-0
ACACT1r,-0.0271394120515128
ACACt2,-3.77979671690947
ACACt2m,-100
ACETONEt2,-0
ACETONEt2m,0
ACITL,0
ACOAD10m,-0
ACOAD9m,-0
ACONT,100
ACONTm,0.464514425780433
ACS,0.105680872633917
ACt2m,-0.105680872633919
ACt2r,100
ACTLMO,0
ACTNMO,-0
ACYP,0
ADEt,-0
ADK1,100
ADK1m,-97.252650121133
ADK3,-99.8334902160844
ADK3m,97.252650121133
ADMDC,0
ADNK1,0.00164696721153576
ADPT,0
AHC,0.00164696721153576
AKGDm,0.527454024383193
AKGMALtm,-0.00152392913941137
ALAASNNaEx,100
ALACYSNaEx,0
ALAGLNexR,-100
ALAGLNNaEx,0
ALAGLYexR,0.013750429330637
ALASERNaEx,0
ALAt2r,-100
ALAt4,100
ALATA_L,-0.00413085823661644
ALATHRNaEx,100
ALAtN1,100
AMETt2m,-0
APAT2rm,-0
ARGLYSex,0
ARGN,0.0624925826578134
ARGNm,0
ARGtiDF,100
ARGtm,0
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASNtN1,-100
ASPGLUm,0
ASPTA,-0.00787672914310414
ASPTAm,0
ATPS4m,0
ATPtm,0
CATm,0.0100906600113585
CATp,0
CBPS,0.00406746545776035
CBPSam,0
CHOLt4,-99.9939190834413
CHOLtu,100
CHSTEROLt,0
CHSTEROLt1,-0
CITRtm,-100
CITtam,-100
CITtbm,0.0111490820569758
CKc,0
CLHCO3tex2,0
CLOHtex2,76.6216236611586
CLOXAtex2,0
CO2t,-2.93804341147852
CO2ter,-0.00541105700150642
CO2tm,-100
COAtm,0.00432884560120513
CREATt4_2_r,-100
CSm,0
CTPS1,0
CTPS2,0.00171440760302164
CYOR_u10m,4.03626400454341
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSSERNaEx,0
CYSt4,0
CYSTGL,0.00164696721153575
CYSTHRNaEx,100
CYSTS,0.00164696721153576
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DHPR,0
DNDPt11m,0
DNDPt23m,0
DNDPt24m,0
DNDPt34m,0
DNDPt35m,0
DNDPt9m,0
DPGase,0
DPGM,0
DRBK,-0
DTTPtn,0.000462958660240319
ECOAH12m,0
ECOAH1m,-0
ECOAH9m,-0
ENO,3.67610736159315
EX_4abut_e,0
EX_ala_L_e,-0.0137504293306603
EX_arg_L_e,-0.075197687560276
EX_asn_L_e,-0.0151136368654567
EX_asp_L_e,-0.00978149122964655
EX_chol_e,-0.00608091655867867
EX_cit_e,-0.00066542381668161
EX_co2_e,2.93804341147852
EX_for_e,0.000721474266847073
EX_glc_e,-1.89141456926339
EX_gln_L_e,-0.63978624638464
EX_gly_e,0
EX_h_e,4.61848292700719
EX_his_L_e,-0.00447030420949806
EX_ile_L_e,-0.0101170489346973
EX_lac_L_e,3.77907524264262
EX_leu_L_e,-0.050761231401297
EX_lys_L_e,-0.0209399055954156
EX_met_L_e,-0.00705839554185087
EX_nh4_e,1.30084886159559
EX_o2_e,-2
EX_orn_e,0.0479052295136423
EX_phe_L_e,-0.0148226341743437
EX_pi_e,-0.043902174183963
EX_pyr_e,0
EX_ser_L_e,-0.0397120641128697
EX_succ_e,0
EX_thr_L_e,-0.045147630753876
EX_trp_L_e,-0.000470562060380607
EX_urea_e,0.0624925826578134
EX_val_L_e,-0.0124698238721983
FBA,1.81320140539638
FKYNH,0
FORtr,-0.000721474266867522
FTHFDH,0.0129577146122133
FUM,100
FUMAC,-0
FUMm,-98.878785067061
FUMSO3tm,-99.9936471999963
FUMSO4tm,0
FUMtm,100
FUMTSULtm,-100
G3PD1,-0.00989442844992873
G3PD2m,0
G5SADrm,0.0145873531441592
G5SDym,0
G6PDA,0.614495533739064
G6PDH1rer,-0
G6PDH2r,-100
G6PDH2rer,0.00396810846777137
G6PPer,0
G6Pter,0.00396810846777137
GACMTRc,-0
GAPD,3.67610736159315
GCC2am,0
GCC2bim,0
GCC2cm,0
GCCam,0
GCCbim,0
GCCcm,0
GF6PTA,0.614495533739064
GHMT2r,0.0214007777411185
GHMT2rm,-7.63716421250799e-27
GK1,2.56767830445119
GLCt1r,100
GLCt4,-98.1085854307366
GLNALANaEx,0
GLNASNNaEx,0
GLNCYSNaEx,0
GLNS,0
GLNSERNaEx,0
GLNt4,0
GLNTHRNaEx,99.9548523692462
GLNtN1,-100
GLU5Km,0
GLUCYS,0
GLUDC,0.551671683642444
GLUDxm,-99.3513406943376
GLUDym,100
GLUNm,-0
GLUPRT,0.00399005223433071
GLUt2m,0.0363446580788668
GLUTCOADHm,0
GLYATm,0
GLYt2r,-100
GLYt4,2.32944551265584
GLYt7_211_r,-0.641549599125897
GLYtm,-0.00329393442307151
GMPS2,0
GND,0
GNDer,0.00396810846777137
GNMT,0.00164696721153576
GTHO,0
GTHOm,0
GTHP,0
GTHPm,0
GTHRDt,-100
GTHS,0
H2CO3D,97.9598727705285
H2Ot,76.6216236611586
H2Oter,-0.00396810846777137
H2Otm,-99.6940884036917
HACD1m,-0
HACD9m,-0
HCO3_CLt,1.49808838500832e-23
HEX1,1.89141456926339
HIBDm,0
HISt4,0
HISTAtu,0
HISTAVESSEC,0
HIStiDF,0
HKYNH,0
HMGCOAtm,-0.00432884560120513
HMGLm,0.0271394120515459
HOMt4,0
Htm,0
Htr,-0.00216442280060257
ICDHxm,100
ICDHy,0
ICDHyrm,-99.5354855742196
ILETA,0
ILETAm,-0
ILEtec,-100
KCC2t,-100
KYNAKGAT,0
LDH_L,-3.77907524264266
LEUt4,0
LEUt5m,0.031468257652751
LEUTA,0
LEUTAm,0.031468257652751
LEUtec,100
L_LACDcm,0
L_LACt2r,-100
L_LACt4r,-100
LYSt4,0
LYStiDF,100
LYStm,3.02221672639433e-26
MACACI,-0
MALSO3tm,-0.00635280000371726
MALSO4tm,-100
