Var1_1,Var1
34HPPOR,0
3SALAASPm,-0.00268187838981419
3SALATAi,0
3SALATAim,0.00268187838981419
3SPYRSPm,0.00268187838981419
4ABUTtm,1.01742772317699e-14
4MOPt2im,2.74346842167534
AACOAT,1.28069518637696e-14
AACTOOR,0.0507797061169024
AACTtm,0.0507797061169024
ABTArm,1.01742772317699e-14
ABUTD,-0
ABUTt4_2_r,-0
ACACT10m,-0
ACACT1r,-1.28069518637696e-14
ACACt2,-100
ACACt2m,-100
ACETONEt2,-0
ACETONEt2m,-0
ACITL,0.159959696736917
ACOAD10m,-0
ACOAD9m,-0
ACONT,100
ACONTm,-0.159959696736905
ACYP,0
ADK1,0.0363713776196385
ADK1m,99.9907090955384
ADK3m,-99.9907090955384
ADMDC,0
ADNK1,0.00432884560120513
ADPT,0
AHC,0.00432884560120513
AKGMALtm,-100
ALAASNNaEx,0
ALACYSNaEx,0
ALAGLNexR,100
ALAGLNNaEx,0
ALAGLYexR,-0.0124698238722832
ALASERNaEx,0
ALAt2r,-100
ALAt4,0
ALATA_L,-0.0178812875672369
ALATHRNaEx,0
ALAtN1,-100
AOBUTDsm,0.0507797061169024
APAT2rm,-0.00432884560120513
ARGN,0
ARGNm,0
ARGtiDF,0.0251749287747139
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPGLUm,0.0115888998043613
ASPTA,0.00639404905114813
ASPTAm,-0.0142707781941755
ATP1ter,0.000721474266867522
ATPS4m,0
ATPtm,0
BALAtmr,-0.00432884560120513
CATm,0.00304226582842621
CATp,0
CBPS,0.00406746545777428
CHOLt4,0.00608091655867867
CITtam,-100
CITtbm,0
CKc,0
CO2t,-0.415722842079488
CO2ter,-0.00144294853373504
CO2tm,-0.106955824198461
CSm,0
CTPS1,0.00171440760302739
CTPS2,0
CYOR_u10m,0.680530653407645
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSO,0.00268187838981419
CYSSERNaEx,0
CYSt4,0
CYSTGL,0.00432884560120513
CYSTHRNaEx,0
CYSTS,0.00432884560120513
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DPGase,3.32904615131013
DPGM,3.32904615131013
DTTPtn,0.000462958660240319
ECOAH12m,0
ECOAH1m,-0
ECOAH9m,-0
ENO,1.83618339350581
EX_ala_B_e,0.00432884560120513
EX_arg_L_e,-0.0127051049024472
EX_asn_L_e,-0.0151136368654567
EX_asp_L_e,-0.00978149122964655
EX_chol_e,-0.00608091655867867
EX_cit_e,-0
EX_co2_e,0.415722842079488
EX_glc_e,-0.985556061094054
EX_gln_L_e,0
EX_his_L_e,-0.254022236137742
EX_ile_L_e,-0.010117048934695
EX_lac_L_e,1.92864004580893
EX_leu_L_e,-0.0236218193497289
EX_lys_L_e,-0.0209399055954118
EX_met_L_e,-0.00974027393149477
EX_mthgxl_e,0.0507797061169024
EX_nh4_e,0.524759292102975
EX_o2_e,-0.371067285848245
EX_orn_e,0.049829917907678
EX_phe_L_e,-0.00917592481384543
EX_pi_e,-0.0439021741838265
EX_ser_L_e,0
EX_so4_e,0.00268187838981419
EX_thr_L_e,-0.0110581730556947
EX_trp_L_e,-0.000470562060509431
EX_tyr_L_e,-0.00564670936058906
EX_urea_e,-0
EX_val_L_e,-0.0124698238722449
FBA,0.969627715708099
FDH,0.000721474266867522
FKYNH,0
FORtr,-0.000721474266867522
FTCD,0.249551931928259
FTHFDH,0.310607474267808
FUM,99.308983816609
FUMAC,0
FUMm,-99.3026310166054
G3PD1,-0.00989442844992873
G5SADrm,0.0145873531442106
G5SDym,0
G6PDA,0
G6PDH2r,-100
G6PDH2rer,0
G6PPer,0
G6Pter,-8.14325845872724e-26
GACMTRc,0
GAPD,1.92667516373558
GF6PTA,0
GHMT2r,0.0694986054683178
GHMT2rm,-0
GK1,0.00162730446495986
GLCt1r,100
GLCt4,-99.0144439389059
GLNALANaEx,0
GLNASNNaEx,100
GLNCYSNaEx,0
GLNS,0.0235763050424108
GLNSERNaEx,100
GLNt4,0
GLNTHRNaEx,0
GLU5Km,0
GLUDC,1.01742772314535e-14
GLUDxm,-100
GLUDym,99.996561870279
GluForTx,0.249551931928259
GLUNm,-0
GLUPRT,0.00399005223426421
GLUt2m,2.83969012776974
GLUTCOADHm,0
GLYAMDTRc,0
GLYATm,0.0507797061169024
GLYt4,0
GLYtm,0.0421220149144922
GMPS2,0
GND,0
GNDer,-0
GNMT,0.00432884560120513
GTHO,100
GTHOm,0
GTHP,0
GTHPm,0
GTHRDt,-2.72017144459734
GTHS,-0
H2CO3D,0.153323104564224
H2Oter,-0.00721474266867523
H2Otm,-100
HACD1m,-0
HACD9m,-0
HEX1,0.985556061094054
HGNTOR,0
HIBDm,0
HISD,0.249551931928259
HISt4,0
HMGCOAtm,-0.00432884560120513
HOMt4,0
Htm,0
Htr,0.0129865368036154
