Var1_1,Var1
2OXOADOXm,0.00432884560120513
34HPPOR,0
3HBCOAHLm,0
3SALAASPm,0
3SALATAi,0
3SALATAim,-0
4ABUTtm,0
4MOPt2im,0.278727401552852
5MTHFt,-0
AACOAT,1.31974159400886e-28
AASAD3m,0.00432884560120513
ABTArm,0
ABUTD,0
ACACT10m,0.00432884560120513
ACACT1r,-1.25354394928168e-28
ACACt2,-100
ACACt2m,-1.30810870076692e-28
ACETONEt2,-0
ACETONEt2m,-0
ACITL,0
ACOAD10m,0.00432884560120513
ACOAD9m,0
ACONT,100
ACONTm,-0.159959696736994
ACS,0.159959696736943
ACt2m,-0.159959696736968
ACYP,0
ADEt,-0.429096411003518
ADK1,0.632627374875099
ADK1m,100
ADK3m,-100
ADMDC,0
ADNK1,0
ADPT,0
AHC,0.00164696721153675
AKGMALtm,-100
ALAASNNaEx,0
ALACYSNaEx,0
ALAGLNexR,-100
ALAGLNNaEx,0
ALAGLYexR,-100
ALASERNaEx,0
ALAt2r,-96.7456433402003
ALAt4,0
ALATA_L,-0.0178812875671806
ALATHRNaEx,0
APAT2rm,-0.00597581281274189
ARGLYSex,0.0245611667110673
ARGN,0
ARGNm,0
ARGtiDF,100
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0.00988176790451894
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPGLUm,3.08757314715286
ASPTA,2.19660846790755
ASPTAm,-3.08757314715286
ATP1ter,0.000721474266867522
ATPS4m,0
ATPtm,0
BALAtmr,-0.00597581281274189
CATm,2.55469136651506e-29
CATp,0
CBPS,0.00406746545776928
CHOLt4,0.00608091655867867
CITtam,-100
CITtbm,100
CKc,-0
CO2t,-0.656904761476503
CO2ter,-0.00144294853373504
CO2tm,0.146661844901175
COAtm,0.00268187838966838
CSm,0
CTPS1,0.00171440760302164
CTPS2,0
CYOR_u10m,3.98701346319638
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSSERNaEx,0
CYSt4,0
CYSTGL,0.00164696721153675
CYSTHRNaEx,0
CYSTS,0.00164696721153675
D_3AIBt,0
D3AIBTm,-0
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DPGase,0
DPGM,0
DTTPtn,0.000462958660240319
ECOAH12m,0
ECOAH1m,-0.00432884560120513
ECOAH9m,0.00432884560120513
ENO,3.66463622437076
EX_3aib_D_e,-0
EX_ade_e,0.429096411003518
EX_akg_e,1.26216090632029
EX_ala_B_e,0.00597581281274189
EX_ala_L_e,0
EX_arg_L_e,-0.0127051049024433
EX_asn_L_e,0
EX_asp_L_e,0
EX_chol_e,-0.00608091655867867
EX_cit_e,-0
EX_co2_e,0.656904761476503
EX_glc_e,-2.08894082896989
EX_gln_L_e,0
EX_h_e,1.77502342735466
EX_h2o2_e,-0
EX_his_L_e,-1.51618314245794
EX_ile_L_e,-0.014445894535826
EX_lac_L_e,3.77907524264262
EX_leu_L_e,-0.0192929737485899
EX_lys_L_e,-0.0252687511966178
EX_met_L_e,-0.0070583955419687
EX_nh4_e,2.13008003668641
EX_o2_e,-2
EX_o2s_e,0.0398701346319639
EX_orn_e,0.049829917907678
EX_phe_L_e,-0.00917592481391681
EX_pi_e,-0.0439021741840306
EX_ser_L_e,0
EX_thr_L_e,-0.0110581730556028
EX_trp_L_e,-0.000470562060428187
EX_tyr_L_e,-0.0056467093605431
EX_val_L_e,-0.0124698238721994
FBA,2.0730124835839
FDH,0.000721474266867522
FKYNH,0
FORtr,-0.000721474266867522
FTCD,1.51171283824845
FTHFDH,1.09557414185712
FUM,0.86454562201079
FUMAC,1.4218572834423e-30
FUMm,-0
G3PD1,-0.00989442844992873
G5SADrm,0.014587353144176
G5SDym,0
G6PDA,0
G6PDH2r,-100
G6PDH2rer,-0
G6PPer,0
GAPD,4.13344469948715
GCC2am,0
GCC2bim,0
GCC2cm,6.34653039411124e-31
GCCam,0
GCCbim,0
GCCcm,0
GF6PTA,0
GHMT2r,0.45049718874464
GHMT2rm,-0
GK1,3.32100710116066
GLCt1r,100
GLCt4,-97.9110591710301
GLNALANaEx,0
GLNASNNaEx,0
GLNCYSNaEx,0
GLNS,0.891650894954057
GLNSERNaEx,0
GLNt4,0
GLNTHRNaEx,0
GLU5Km,0
GLUDxm,18.4236440523291
GLUDym,-18.4219970851176
GluForTx,1.51171283824845
GLUNm,-0
GLUPRT,0.433086463237866
GLUt2m,0.373023480588892
GLYt4,0
GLYtm,-0.00329393442307351
GMPS2,0
GND,0
GNDer,-0
GNMT,0.00164696721153675
GTHO,100
GTHOm,0
GTHP,-1.33044584944533e-27
GTHPm,0
GTHRDt,-8.23392124845452
GTHS,-0
H2CO3D,0.144032200102594
H2Oter,-0.00721474266867523
HACD1m,-0.00432884560120513
HACD9m,0.00432884560120513
HEX1,2.08894082896989
HGNTOR,0
HIBDm,0
HISD,1.51171283824845
HISt4,0
HISTAVESSEC,0
HMGCOASim,0.00432884560120513
HMGCOAtm,-0.00432884560120513
HMGLm,0
HOMt4,0
Htm,0
Htr,0.0129865368036154
ICDHxm,0
ICDHy,0
ICDHyrm,-0.159959696736944
ILEt5m,0.00432884560120513
ILETA,0
ILETAm,0.00432884560120513
IZPN,1.51171283824845
KCC2t,95.7398399266272
LDH_L,-3.7790752426426
LEUt4,0
LEUt5m,-0.278727401552852
LEUTA,0.278727401552852
LEUTAm,-0.278727401552852
LEUtec,-1.67041112216134
L_LACt2r,94.9587638510371
L_LACt4r,-100
LYStiDF,100
LYStm,0.00432884560120048
MACACI,1.39160832999293e-30
MALtm,-92.0892723142267
MDH,-2.19660846790755
MDHm,2.92761345041589
ME2,0.132320305838995
METAT,0.00164696721153675
METLEUex,0
METS,-0
METt4,0
MMEm,0
MMMm,-0
MTHFC,1.96174706833285
MTHFD,0.450034230084401
NADPHtru,0.00793621693554275
NADPtru,0.00793621693554275
NAt,-100
NCCt,100
NDPK1,-96.2478837793926
NDPK1m,-100
NDPK2,100
NDPK3,-99.9990723851762
NDPK4,-3.66417326571051
NDPK5,100
NDPK8,0.00987879727372349
NDPK9,0
NKCC2t,-97.8699199633136
NRPPHRVESSEC,-0
NTD7,0.427449443791982
O2St,0.0398701346319639
O2Stm,-0.0398701346319639
O2t,2
O2ter,0.0064932684018077
O2tm,1.99350673159819
OBDHc,0.00164696721153675
OIVD1m,0
OIVD2m,6.39970351885844e-31
OIVD3m,0.00432884560120513
ORNDC,0
ORNt3m,0.0498299179076851
ORNTArm,-0.0498299179076851
ORNtiDF,0
OXAHCOtex,-0
P5CRm,0
P5CRxm,2.73085652344586
PDHm,0
PE_HStm,-0.00195828224369012
PFK,2.0730124835839
PGCD,0.468808475116391
PGI,2.07838416204531
PGK,-4.13344469948715
PGM,-3.66463622437076
PHEt4,0
PPA,0
PPAm,3.95536384288663
PPCOAOm,0
PPItr,-0.00216442280060257
PPM,0.429096411003518
PRFGS,0.433086463237866
PRO1xm,0
PROD2m,3.3414673484068
PROt4,0
PRPNCOAHYDm,0.00597581281274189
PRPPS,0.437153928695635
PSERT,0.468808475116392
PSFLIPm,0.00195828224369012
PSP_L,0.468808475116392
PUNP1,0.429096411003518
PYK,100
PYRt2m,-6.86560386299984e-31
PYRt2p,0
PYRt2r,100
RPE,-100
RPI,-0.00537167846140713
SACCD3m,0.00432884560120048
SACCD4m,100
SARCStm,0.00164696721153675
SARDHm,0.00164696721153675
SERALANaEx,0
SERASNNaEx,0
SERCYSNaEx,0
SERGLNexR,-100
SERGLNNaEx,0
SERGLYexR,-100
SERt4,0
SERTHRNaEx,0
SO4HCOtex,-0
SPMDOX,0
SPMS,0
SPODM,0
SPODMm,0
SPODMx,0
SPRMS,0
SUCOASm,0
TALA,-0.00268583923070952
THD1m,18.5862856274557
THRALANaEx,0
THRASNNaEx,0
THRCYSNaEx,0
THRGLNexR,-100
THRGLNNaEx,0
THRGLYexR,-100
THRSERNaEx,0
THRt4,0
TKT1,-0.00268583923070953
TKT2,-0.00268583923070952
TPI,2.06311805513397
TRPO2,0
TRPt,100
TYRTA,-6.58738114062439e-31
UDPGLCAter,0
UMPK,100
UMPK2,-100
UMPK3,99.9959325345422
UMPK4,-100
UMPK5,-99.9915150297583
UMPK7,99.9996499606738
URCN,1.51171283824845
VALt4,0
VALt5m,6.39970351885844e-31
VALTA,0
VALTAm,6.39970351885844e-31
XYLUR,-0
r0010,0
r0021,100
r0022,4.71230074402606e-29
r0062,0
r0074,-0.0644172710518611
r0081,0
r0085,-0
r0086,-0
r0119,3.31937979669572
r0127,0
r0153,0
r0173,0
r0179,0
r0191,0
r0295,0.00164696721153675
r0301,0.00162730446494116
r0317,-100
r0354,0
r0355,0
r0365,0.00597581281274189
r0399,0
r0426,100
r0450,0.00432884560120513
r0464,-100
r0525,-99.9956711543988
r0541,0.00432884560120513
r0549,100
r0552,-98.6206707815468
r0553,98.6206707815468
r0560,6.39970351885844e-31
r0570,-0
r0596,0.00597581281274189
r0655,0
r0669,6.39970351885844e-31
r0683,0.00597581281274189
r0779,6.39970351885844e-31
r0801,2.50104953918389e-14
r0812,-0
r0885,100
r0899,0.00597581281274189
r0911,-0.0145873531441759
r0913,100
r0915,-100
r0917,-100
r0924,0.000721474266867522
r1050,0.000721474266867522
r1090,0
r1109,0.159959696736968
r1143,0
r1147,-100
r1155,0
r1291,0.00164696721153675
r1434,0
r1453,-0.625198178105123
r1454,0
r1544,-100
r1546,-100
r1547,-100
r1548,-100
r1549,-100
r1551,-100
r1552,6.26957221399602e-14
r1553,100
r1554,100
r1556,100
r1557,100
r1559,-100
r1560,-1.73817351734171
r1561,-100
r1562,100
r1563,-100
r1564,100
r1565,100
r1566,100
r1567,-100
r1568,-100
r1569,100
r1570,100
r1571,100
r1573,-100
r1574,-100
r1575,-4.47991239318119
r1576,-100
r1578,-100
r1579,100
r1580,-95.5200876068188
r1581,-100
r1583,-100
r1584,100
r1585,-100
r1586,-100
r1587,-97.2252280989669
r1588,-100
r1589,-100
r1590,100
r1591,-100
r1592,100
