Var1_1,Var1
34HPPOR,0
3SALAASPm,0
3SALATAi,0
3SALATAim,-0
4MOPt2im,0
5MTHFt,-0
AACOAT,0
AACTOOR,0
AACTtm,0
ABUTD,-0
ABUTt4_2_r,-0.882054588015974
ACACT10m,-0
ACACT1r,0
ACACt2,-100
ACACt2m,-99.8549306253815
ACETONEt2,-0
ACETONEt2m,-0
ACITL,0.159959696736943
ACOAD10m,-0
ACOAD9m,-0
ACONT,100
ACONTm,-0.0142248983017539
ACYP,0
ADK1,0.0336894992302058
ADK1m,-0.00432884560121105
ADK3m,0.00432884560121105
ADMDC,0
ADNK1,2.69210256887119
ADPT,0
AHC,0.00164696721152333
AKGMALtm,-100
ALAASNNaEx,0
ALACYSNaEx,0
ALAGLNexR,98.0274972178203
ALAGLNNaEx,100
ALAGLYexR,-100
ALASERNaEx,0
ALAt2r,-100
ALAt4,0
ALATHRNaEx,0
ALAtN1,-100
AOBUTDsm,0
ARGLYSex,0
ARGN,0.060845615446355
ARGNm,0
ARGtiDF,100
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPGLUm,0
ASPTA,-0.0228900893338287
ASPTAm,0
ATP1ter,0.000721474266867523
ATPS4m,0
ATPtm,0
CATm,0.0101193235106507
CATp,0
CBPS,0.00406746545775727
CHOLt4,0.00608091655867867
CHSTEROLt,0
CITtam,-100
CITtbm,0
CKc,0
CO2t,0
CO2ter,-0.00541105700150642
CO2tm,-0.13877857137318
COAtm,0.00432884560120514
CSm,0
CTPS1,0
CTPS2,0.00171440760302164
CYOR_u10m,2.71143457916402
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSSERNaEx,0
CYSt4,0
CYSTGL,0.00164696721152333
CYSTHRNaEx,0
CYSTS,0.00164696721152333
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DHPR,0
DPGase,0
DPGM,0
DTTPtn,0.000462958660240319
ECOAH12m,0
ECOAH1m,0
ECOAH9m,-0
ENO,3.94202590482837
EX_4abut_e,0.882054588015974
EX_arg_L_e,-0.075197687560276
EX_asn_L_e,-0.00988176790448789
EX_chol_e,-0.00608091655867867
EX_cit_e,-0.00066542381668161
EX_co2_e,0
EX_creat_e,0.00164696721152333
EX_glc_e,-2.1190990159136
EX_gln_L_e,-0.63978624638464
EX_gly_e,-0.0027310488762163
EX_gthrd_e,0
EX_hco3_e,1.89810656780257
EX_his_L_e,-0.236696666144169
EX_ile_L_e,-0.0101170489347118
EX_lac_L_e,3.77907524264262
EX_leu_L_e,-0.0236218193497457
EX_lys_L_e,-0.0209399055954094
EX_met_L_e,-0.00705839554187639
EX_mthgxl_e,-0
EX_nh4_e,1.07896792035492
EX_o2_e,-2
EX_orn_e,0
EX_phe_L_e,-0.00917592481383772
EX_pi_e,-0.0439021741841834
EX_pro_L_e,-0.00153661262406731
EX_ser_L_e,0
EX_succ_e,0
EX_thr_L_e,-0.0110581730555756
EX_trp_L_e,-0.000470562060435236
EX_tyr_L_e,-0.00564670936057077
EX_urea_e,0.060845615446355
EX_val_L_e,-0.0124698238722296
FBA,1.89171045164123
FDH,0.000721474266867522
FKYNH,0
FORtr,-0.000721474266867522
FTCD,0.232226361934655
FTHFDH,0.245746962093665
FUM,96.2067756258564
FUMAC,0
FUMm,-96.198775858641
G3PD1,-0.00989442844992873
G5SADrm,0.0130507405201209
G5SDym,0
G6PDA,0.596614246171797
G6PDH2r,-100
G6PDH2rer,0.00396810846777137
G6PPer,0
G6Pter,0.00324663420090385
GACMTRc,0.00164696721152333
GAPD,3.98230085448814
GCC2am,0
GCC2bim,0
GCC2cm,0
GCCam,0
GCCbim,0
GCCcm,0
GF6PTA,0.596614246171797
GHMT2r,0.0219636632880456
GHMT2rm,0
GK1,0.0016273044649665
GLCt1r,100
GLCt4,-97.8809009840864
GLNALANaEx,0
GLNASNNaEx,0
GLNCYSNaEx,0
GLNS,0
GLNSERNaEx,0
GLNt4,0
GLNTHRNaEx,0
GLU5Km,0
GLUDC,0.882054588015974
GLUDxm,100
GLUDym,-100
GluForTx,0.232226361934655
GLUNm,-0
GLUPRT,0.00399005223440418
GLUt2m,-0.129314010916968
GLYAMDTRc,0.00164696721152333
GLYATm,0
GLYt4,0
GLYtm,0
GMPS2,0
GND,0.63041254819122
GNDer,0.00396810846777137
GTHO,0
GTHOm,0
GTHP,0
GTHPm,0
GTHRDt,0.0608456154463356
GTHS,-0
H2CO3D,2.04811458071788
H2Oter,-0.00324663420090385
H2Otm,-100
HACD1m,-0
HACD9m,-0
HEX1,0
HGNTOR,0
HIBDm,0
HISD,0.232226361934655
HISt4,0
HISTAtu,0
HISTAVESSEC,0
HMGCOAtm,-0.00432884560120514
HMGLm,0
HOMt4,0
Htm,0
Htr,-0.00288589706747009
ICDHxm,0
ICDHy,0
ICDHyrm,-0.0142248983017451
ILETA,0
ILETAm,-0
IZPN,0.232226361934655
LDH_L,-5.11537006773887
LEUt4,0
LEUt5m,0.00432884560120514
LEUTA,0
LEUTAm,0.00432884560120514
L_LACDcm,1.33629482509627
L_LACt2r,96.2209247573573
L_LACt4r,-100
LYStiDF,100
MACACI,0
MCCCrm,0.00432884560120514
MDH,-0.137069607403114
MDHm,0.145069374618507
ME1m,0
ME2,0
ME2m,0
METAT,0.00164696721152333
METS,-0
METt4,0.80674464565427
MGCHrm,0.00432884560120514
MMEm,-0.00164696721152333
MMMm,0.00164696721152333
MTHFC,0.253727066562473
MTHFD,0.021500704627818
MTHGXLt,-0
NAt,100
NAt3_1,-96.2209247573573
NAt5,98.9210320796451
NDPK1,-99.9920311414905
NDPK1m,-100
NDPK2,100
NDPK3,-99.9990723851762
NDPK4,-100
NDPK5,-1.81258513298083
NDPK8,100
NDPK9,0
NKCC2t,-100
NRPPHRVESSEC,-0
NTD7,2.69045560165966
O2Stm,0
O2t,2
O2ter,0.0064932684018077
O2tm,1.99350673159819
OBDHc,0
OIVD1m,0.00432884560120513
OIVD2m,-0
OIVD3m,-0
ORNDC,0
ORNt3m,-0.0624925826578784
ORNTArm,0.0624925826578784
ORNtiDF,0.257636571739547
OXAHCOtex,-0
P5CRm,0.331331505885766
P5CRxm,0
PDHm,0.145069374618507
PE_HStm,-0.00195828224369012
PFK,1.89171045164123
PGCD,0.0402749496597667
PGI,1.47416169233001
PGK,-3.98230085448814
PGL,0
PGLer,0.00396810846777137
PGM,-3.94202590482837
PHEt4,0
PPA,0.0370461705459818
PPAm,0
PPCOACm,0.00164696721152333
PPCOAOm,0
PPItr,-0.00144294853373504
PPM,0
PRFGS,0.00399005223440418
PROD2m,1.50983603312959
PROt4,0.00153661262406731
PRPNCOAHYDm,0
PRPPS,0.00805751769216145
PSERT,0.0402749496597667
PSFLIPm,0.00195828224369012
PSP_L,0.0402749496597667
PUNP1,0
PYK,0
PYRt2m,100
PYRt2p,0
PYRt2r,100
RPE,-100
RPI,-0.21286378888
SACCD3m,-0
SACCD4m,100
SERALANaEx,0
SERASNNaEx,0
SERCYSNaEx,0
SERGLNexR,-100
SERGLNNaEx,0
SERGLYexR,-100
SERt4,0
SERTHRNaEx,0
SO4HCOtex,-0
SPMS,0
SPODM,0
SPODMm,0.0202386470213014
SPODMx,0
SPRMS,0
SUCCt4_2,-0
SUCD1m,-1.50983603312959
SUCOAS1m,-100
SUCOASm,99.9983530327885
TALA,0.20877437965561
THD1m,26.2419577578462
THRALANaEx,0
THRASNNaEx,0
THRCYSNaEx,0
THRGLNexR,1.33271653579511
THRGLNNaEx,0
THRGLYexR,98.6783416372605
THRSERNaEx,0
THRt4,0
TKT1,0.20877437965561
TKT2,0.20877437965561
TPI,1.8818160231913
TRPO2,0
TRPt,0.000470562060435236
TYRTA,0
UDPGLCAter,0
UMPK,100
UMPK2,-100
UMPK3,99.9959325345422
UMPK4,-100
UMPK5,1.82107010322254
UMPK7,-1.81293517230701
URCN,0.232226361934655
UREAt,-0.060845615446355
VALt4,0
VALTA,0
VALTAm,-0
XYLUR,-0
r0010,0
r0021,0
r0022,0
r0062,0.145069374618507
