Var1_1,Var1
10FTHFtm,-0.0315712047075553
2HBO,0
2HBt2,-100
2OXOADOXm,-0
34DHOXPEGOX,-0
34DHPHAMT,-0
3DSPHR,0.055921199910454
3HPCOAHYD,-0
3MOBt2im,0
3MOPt2im,0
3NTD7l,-0
3SALAASPm,0
3SALATAi,0
3SALATAim,-0
4MOPt2im,100
5ADTSTSTERONEGLCte,-0
5HOXINDACTOXm,-0
5HTRPVESSEC,-0
ABTD,1
ABUTD,0
ACACT10m,0
ACACT1r,1.5251652068796e-26
ACACT1rm,2.02835970812483
ACACT1x,0
ACACt2,-99
ACACt2m,-99
ACACT5p,0
ACCOAC,0
ACCOAgt,0
ACCOAL,0
ACCOAtr,0
ACETONEt2,-0
ACETONEt2m,-0
ACGAM6PSi,0
ACGAMK,-0
ACGAMPM,0
ACITL,4.57161325528015e-26
ACNAM9PL,0
ACNAM9PL2,0
ACNAMlt,0
ACNAMPH,0
ACOAD10m,100
ACOAD1fm,0
ACOAD8m,97.9716402918752
ACOAD9m,1.98129092549723e-25
ACOAO7p,-0
ACONT,-0.72340656880601
ACONTm,100
ACP1_FMN,0
ACTLMO,0
ACYP,0
ADA,0
ADAe,0
ADEt,1
ADK1,17.5349648047561
ADK1m,100
ADK3m,-100
ADKd,82.1513667056855
ADMDC,0.531267389427225
ADNK1,0
ADNt,14.4423975131333
ADPGLC,-0
ADPMAN,-0
ADPRDP,-0
ADPT,0
ADRNCPT1,0
ADRNLPVESSEC,-0
ADSELK,0
ADSK,0
ADSL1,18.0622985858172
ADSL2,0
ADSS,18.0622985858172
AG13T10g,0
AG13T11g,0
AG13T12g,0
AG13T13g,0
AG13T14g,0
AG13T15g,0
AG13T16g,0
AG13T17g,0
AG13T18g,0
AG13T1g,0
AG13T2g,0
AG13T3g,0
AG13T4g,0
AG13T5g,0
AG13T6g,0
AG13T7g,0
AG13T8g,0
AG13T9g,0
AGPAT1,0
AGPRim,-0
AHANDROSTANGLCte,-0
AHC,8.11343883249931
AHEXASE2ly,0
AHEXASEly,0
AICART,0
AIRCr,0
AKGDm,0
AKGMALtm,-100
ALAASNNaEx,0
ALACYSNaEx,0
ALADGLNexR,100
ALADGLYexR,-46.3362908959328
ALAGLNexR,100
ALAGLNNaEx,0
ALAGLYexR,-100
ALAR,46.3362908959328
ALASERNaEx,0
ALASm,0
ALAt4,0
ALATA_L,-46.9533109477413
ALATHRNaEx,0
ALCD1,0
ALCD21_D,0
ALCD21_L,100
ALCD22_D,0
ALCD22_L,100
ALCD2if,0
ALCD2yf,0
ALDD20x,-0
ALDD20xm,-0
ALDD21,-0
ALDD2x,-1.82994371905866e-14
ALDD2xm,-0
ALDD2y,0
ALR2,100
ALR3,100
AMANK,0
AMETt2m,0
AMPDA,0
AMY1e,-0
AMY2e,6.83383496412829e-16
ANDRSTRNGLCte,-0
ARAB_Lt,1
ARABR,1
ARACHCPT1,0
ARACHCPT2,0
ARACHCRNt,0
ARACHDt2,100
ARGLYSex,0
ARGN,0
ARGNm,0.85106655153666
ARGtiDF,100
ARGtm,0.85106655153666
ASAH1,0
ASCBt4,-100
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPCTr,0
ASPGLUm,0
ASPTA,-19.1899553704921
ASPTAm,0
ATPasel,0
ATPH1e,0
ATPH2e,0
ATPS4m,21.6726376580121
ATPtm,0
ATPtx,0
B_MANNASEly,0
B3GNT12g,0
B3GNT51g,0
BACCL,0
BACCLm,0
BAMPPALDOX,-0
BAMPPALDOXm,0
BDHm,-0.999999999999994
BHBtm,-0.999999999999994
BILDGLCURte,0
BILGLCURte,0
BILIRED,0
BPNT,-0
BPNT2,0
BTND1,-0
BTND1n,-0
BTNDe,0.89361348300233
BTNDm,-0
BTNPL,-0
BTNPLm,-0
BTNt2,0
BTNt2m,0
BTNt3i,0
BUTt2m,0
BUTt2r,-99.0000000000001
C160CPT1,0
C160CPT2,-0
C161CPT1,0
C161CPT12,-0
C161CPT22,-0
C161CRN2t,-0
C180CPT1,0
C181CPT1,0
C204CPT1,0
C226CPT1,-0
C2M26DCOAHLm,-0
C2M26DCOAHLx,-0
C3STDH1Pr,0
C3STDH1r,0
C3STKR2r,-0
C4STMO1r,0
C4STMO2Pr,0
C4STMO2r,0
CAATPS,-0
CAMPt,0
CAT2p,0
CATm,14.0016869657734
CATp,-0
CBPPer,0
CBPS,0
CBR1,-0
CBR2,0
CDIPTr,0.0745626658991327
CDPDAGtm,0
CDS,0.158447663820396
CDSm,0
CEPTC,-1.01868720859237e-24
CEPTE,0.177089129809074
CERK,0
CERT1gt,0
CERT1rt,0
CERT2gt,0
CERT2rt,0
CGMPt,0
CHLPCTD,0
CHLtm,0
CHOLK,0.177089129809074
CHOLtu,0.726991589113812
CHSTEROLt,0
CHSTEROLtg,-0
CITRtm,-0.999999999999999
CITtam,-100
CITtbm,0
CK,100
CKc,-100
CLPNDCPT1,-0
CLS_hs,0.0372829319773574
CMPACNAtg,-0
CMPSAS,0
CMPSASn,-0
CO2t,34.8976385354308
CO2tm,44.0104726837746
COAtm,2.02835970812482
COAtp,0
COKECBESr,0
COQ3m,-0
CPCTDTX,-0
CPPPGO,0
CREATtmdiffir,100
CRNt,2.02835970812482
CSm,0
CTPS1,0
CTPS2,0
CYOOm2,0
CYOR_u10m,12.292980227113
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSSERNaEx,0
CYSt4,0
CYSTA,0
CYSTAm,-0
CYSTGL,8.11343883249931
CYSTGLUex,0
CYSTHRNaEx,0
CYSTS,8.11343883249931
CYTDK1,0
CYTDK2m,0
CYTDtm,0
CYTK1,100
CYTK10,100
CYTK10n,-100
CYTK11,82.1513667056855
CYTK11n,-100
CYTK12,99.8449646614858
CYTK12n,100
CYTK13,-81.8412960286571
CYTK13n,-100
CYTK14,-100
CYTK14n,-100
CYTK1m,0
CYTK1n,100
CYTK2,100
CYTK2n,100
CYTK3n,-2.315903421397e-14
CYTK4n,100
CYTK5,-100
CYTK5n,100
CYTK6,-100
CYTK6n,100
CYTK7,-100
CYTK7n,-100
CYTK8,-99.6644632063705
CYTK8n,-1.1579517106985e-14
CYTK9,100
CYTK9n,-100
DADA,41.4044696399471
DADAe,-0
DADNK,0
DAGK_hs,0.726991589113813
DAGt,0.848159519012433
DALAt2r,-100
DASCBR,100
DATPtn,0.0421599667402216
DCIm,0
DCK1n,-100
DCK2n,100
DCMPDA,0.0418657456266586
DCSPTN1CPT1,-0
DCTPtn,0.0301960408072347
DCYTt,0.196901084140845
DESAT16_2,0
DESAT18_10,0
DESAT18_3,1
DESAT18_4,0
DESAT18_5,0
DESAT18_6,2
DESAT18_7,0
DESAT18_8,0
DESAT18_9,0
DESAT20_1,0
DESAT20_2,0
DESAT24_1,0
DGAT,0
DGK1,17.8486332943145
DGNSKm,0
DGTPtn,0.0316543541526749
DHAAt1r,100
DHCR241r,0
DHCR242r,0
DHCR243r,0
DHCR71r,-0
DHCR72r,-0
DHCRD1,0.055921199910454
DHCRD2,0
DHDPBMTm,-0
DHFR,0.0418657456266586
DHORTS,-0
DHPM1,0
DHPR,0
D_LACt2,-54.458281354966
D_LACtm,0
DLNLCGCPT1,0
DLNLCGt,0
DMATT,0
DMATTx,0
DNDPt12m,82.1092067389453
DOLPMT_L,0
DOLPMT_U,0
DOLPMT3_Ler,-0
DOLPMT3_Uer,-0
DOPAMT,0
DOPAVESSEC,0
DPCOAK,0
DPCOAtl,-0
DPGase,0
DPGM,0
DRPA,-1.82994371905866e-14
DSAT,0.055921199910454
DTMPK,0.0418657456266586
DTTPtn,0.0418657456266586
DURAD,-0
DURAD2,-0
DURIK1,0
DURIPP,4.06199104811781e-25
DUTPDPm,0.191796987431679
DUTPDPn,0
EBP1r,100
EBP2r,0
ECOAH12m,0
ECOAH1m,0
ECOAH1x,0
ECOAH9m,0
EHGLAT,-0
EHGLAT2m,0
EHGLATm,0
EICOSTETCPT1,0
ELAIDCPT1,0
ENO,91.546387193277
ESTRADIOLGLCt2,0
ESTRIOLGLCte,-0
ESTRONESt,-0
ETF,0
ETFQO,0
ETHAK,-0
EX_5thf_e,-0
EX_acac_e,-1
EX_ade_e,-1
EX_adn_e,-14.4423975131333
EX_akg_e,-1
EX_ala_D_e,46.3362908959328
EX_ala_L_e,-1
EX_arab_L_e,-1
EX_arach_e,-0
EX_arg_L_e,-1
EX_asn_L_e,-0.893616681057886
EX_bhb_e,0.999999999999988
EX_biocyt_e,-0.89361348300233
EX_btn_e,0.89361348300233
EX_chol_e,-0.726991589113812
EX_chsterol_e,-0.0652435319325844
EX_cit_e,0.723406568806028
EX_crn_e,-2.02835970812482
EX_cytd_e,-0
EX_dag_hs_e,-0.848159519012433
EX_dcyt_e,-0.196901084140845
EX_gln_L_e,-1
EX_glu_L_e,-1
EX_glygn2_e,-6.83383496412829e-16
EX_glygn5_e,6.83383496412826e-16
EX_gsn_e,-18.2094571134324
EX_h2o_e,45.1057709931168
EX_hco3_e,65.1023614645692
EX_hdca_e,-0.055921199910454
EX_his_L_e,-0.404253413924332
EX_hxan_e,41.4044696399471
EX_inost_e,-0.0745626658991327
EX_lac_D_e,54.458281354966
EX_lneldc_e,2
EX_lys_L_e,-1
EX_mercplaccys_e,-0
EX_met_L_e,-0.489360069077959
EX_no_e,-0.999999999999996
EX_o2_e,-100
EX_o2s_e,-1
EX_ocdcea_e,-1
EX_orn_e,-1
EX_phe_L_e,-0.829786689692659
EX_pi_e,-3.97011097252859
EX_pnto_R_e,3.85593622340595e-30
EX_ppa_e,3.72494666121861e-26
EX_pro_L_e,0.531919792765995
EX_pyr_e,-1
EX_Rtotal_e,-0.055921199910454
EX_sarcs_e,-0
EX_ser_L_e,-1
EX_strdnc_e,-1
EX_taur_e,-3.14080057451989e-15
EX_thf_e,-0
EX_thr_L_e,-1
EX_thym_e,-7.79136107030839e-27
EX_thymd_e,-0
EX_trp_L_e,-0.0425533275768329
EX_urea_e,0.85106655153666
EX_uri_e,-0.170923278646504
EX_xylt_e,-29.701151920888
FACOAL140i,-0
FACOAL150,-0
FACOAL160i,0
FACOAL170,-0
FACOAL180i,-0
FACOAL181i,0
FACOAL1821,0
FACOAL1822,-2
FACOAL1831,0
FACOAL204,0
FACOAL80i,-0
FADDP,0
FAEL183,0
FAEL184,0
FAEL204,0
FAEL205,0
FALDH,0
FAOXC11,0
FAOXC140,0
FAOXC150m,0
FAOXC160,0
FAOXC16080m,0
FAOXC16080x,0
FAOXC161802m,0
FAOXC16180m,0
FAOXC170m,0
FAOXC180,0
FAOXC180x,0
FAOXC1811601m,-0
FAOXC1811602m,-0
FAOXC1811603m,-0
FAOXC182806m,0
FAOXC18280m,0
FAOXC183803m,0
FAOXC183806m,0
FAOXC183806x,0
FAOXC18480m,0
FAOXC18480x,0
FAOXC200180m,0
FAOXC200180x,0
FAOXC2031836m,-0
FAOXC204,-0
FAOXC204184m,-0
FAOXC2051843m,-0
FAOXC2051843x,0
FAOXC2242046m,-0
FAOXC2242046x,0
FAOXC2251836m,0
FAOXC2251836x,0
FAOXC2252053m,0
FAOXC2252053x,0
FAOXC226,0
FAOXC226205m,0
FAOXC226205x,0
FAOXC240200x,0
FAOXC241181x,0
FAOXC2442246x,0
FAOXC2452253x,0
FAOXC2452256x,0
FAOXC246226x,0
FAOXC260240x,0
FAOXC80,0
FATP4t,-0
FATP5t,100
FATP6t,0
FATP7t,0
FATP8t,0
FATP9t,0
FBA,89.4165965730513
FBA2,-0
FBA4,-0
