Var1_1,Var1
10FTHFtm,-0.99999999999999
2HBO,6.55117412265473e-29
2HBt2,-100
34DHOXPEGOX,-0
34DHPHAMT,-0
3DSPHR,0.0559211999104538
3HBCDm,1.76595456629037
3HPCOAHYD,-0
3MOBt2im,0
3MOPt2im,0
3NTD7l,-0
3SALAASPm,0
3SALATAi,0
3SALATAim,-0
4MOPt2im,97.1479804278999
5ADTSTSTERONEGLCte,-0
5HOXINDACTOXm,-0
5HTRPVESSEC,-0
ABUTD,0
ACACT10m,0
ACACT1r,1.76595456629033
ACACT1rm,20.9092565145184
ACACT1x,0
ACACt2,-100
ACACt2m,-57.9474415372536
ACCOAC,0
ACCOAgt,0
ACCOAtr,0
ACETONEt2,-0
ACETONEt2m,-0
ACGAM6PSi,0
ACGAMK,-0
ACGAMPM,0
ACGPID,0
ACITL,5.29786369887098
ACNAM9PL,0
ACNAM9PL2,0
ACNAMlt,0
ACNAMPH,0
ACOAD10m,69.6438586335095
ACOAD1fm,0
ACOAD8m,0
ACOAD9m,14.1780706832453
ACOAO7p,-0
ACONT,-4.29786369887096
ACONTm,100
ACP1_FMN,0
ACS,0
ACYP,0
ADA,0
ADAe,0
ADEt,-0.147158527615143
ADK1,0.80413828392319
ADK1m,-100
ADK3m,100
ADKd,100
ADMDC,0.531267389427222
ADNK1,0.213665291502537
ADNt,0.360823819117698
ADNtm,0
ADPGLC,-0
ADPMAN,-0
ADPRDP,0
ADPT,0
ADRNCOAtx,0
ADRNCPT1,0
ADRNLPVESSEC,-0
ADSELK,0
ADSK,0
ADSL1,0
ADSL2,0
ADSS,0
AGPAT1,0
AGPRim,-0
AHANDROSTANGLCte,-0
AHC,0
AHEXASE2ly,0
AHEXASEly,0
AICART,0
AIRCr,0
AKGMALtm,-100
ALAASNNaEx,0
ALACYSNaEx,0
ALADGLNexR,100
ALADGLYexR,-100
ALAGLNexR,100
ALAGLNNaEx,0
ALAGLYexR,-100
ALAR,-1
ALASERNaEx,0
ALASm,0
ALAt4,0
ALATA_L,0.382979948191539
ALATHRNaEx,0
ALCD1,0
ALCD21_D,0
ALCD21_L,23.7938659954396
ALCD22_D,0
ALCD22_L,23.7938659954396
ALCD2if,0
ALCD2yf,0
ALDD20x,-0
ALDD20xm,-0
ALDD21,-0
ALDD2x,-1.82994371905866e-14
ALDD2xm,-0
ALDD2y,0
ALR2,23.7938659954396
ALR3,23.7938659954396
AMANK,0
AMETt2m,0
AMPDA,0
AMY1e,-0
AMY2e,-0
ANDRSTRNGLCte,-0
ARABR,0
ARACHCPT1,0
ARACHDt2,-50.6664206214635
ARACHt,-100
ARGLYSex,0
ARGN,0.851066551536688
ARGNm,0
ARGtiDF,17.4467875531675
ARGtm,0
ASAH1,0
ASCBt4,-50.517416631192
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPCTr,0
ASPGLUm,0
ASPTA,-1.1276567846749
ASPTAm,0
ATPasel,0
ATPH1e,0
ATPH2e,0
ATPS4m,90.24747218669
ATPtm,100
B_MANNASEly,0
B3GNT51g,0
BACCL,0
BACCLm,0
BAMPPALDOX,-0
BAMPPALDOXm,0
BDHm,-20.9092565145184
BHBtm,-20.9092565145184
BILDGLCURte,0
BILGLCURte,0
BILIRED,0
BPNT,-0
BPNT2,0
BTND1,-0
BTND1n,-0
BTNDe,0.893613483002314
BTNDm,-0
BTNPL,-0
BTNPLm,-0
BTNt2,0
BTNt2m,0
BTNt3i,0
BUTt2m,0
BUTt2r,-100
C160CPT1,0
C160CPT2,-0
C161CPT1,0
C161CPT12,0
C180CPT1,0
C181CPT1,0
C204CPT1,0
C226CPT1,-0
C2M26DCOAHLm,-0
C2M26DCOAHLx,-0
C3STDH1Pr,0
C3STDH1r,0
C3STKR2r,-0
C4STMO1r,0
C4STMO2Pr,0
C4STMO2r,0
CAATPS,-0
CAMPt,0
CAT2p,0
CATm,0
CATp,-0
CBPPer,0
CBPS,0
CBR1,-0
CBR2,0
CDIPTr,0.0745626658991324
CDPDAGtm,0
CDS,0.158447663820395
CDSm,0
CEPTC,-0
CEPTE,0.177089129809074
CERK,0
CERT1gt,0
CERT1rt,0
CERT2gt,0
CERT2rt,0
CGMPt,0
CHLtm,0
CHOLK,0.177089129809074
CHOLtu,0.72699158911381
CITRtm,0
CITtam,-100
CITtbm,0
CK,100
CKc,-100
CLPNDCPT1,0
CLS_hs,0.0372829319773573
CMPACNAtg,-0
CMPSAS,0
CMPSASn,-0
CO2tm,-33.2797739880202
COAtl,4.25460557966142e-14
COKECBESr,0
COQ3m,-0
COQ6m,0
COQ7m,-0
CREATtmdiffir,100
CRNt,2.76595456629033
CSm,0
CSNATm,-0
CTPS1,0
CTPS2,0
CYOOm2,0
CYOR_u10m,69.3168456401926
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,6.8936038888354
CYSSERNaEx,0
CYSt4,0
CYSTA,0
CYSTAm,-0
CYSTGL,0
CYSTGLUex,0
CYSTHRNaEx,0
CYSTS,0
CYTDK1,100
CYTDK2m,0
CYTDt,0.196901084140961
CYTDtm,0
CYTK1,100
CYTK10,1.15566706705137e-14
CYTK10n,-100
CYTK11,100
CYTK11n,-100
CYTK12,99.9581342543733
CYTK12n,100
CYTK13,-100
CYTK13n,-100
CYTK14,-100
CYTK14n,-100
CYTK1m,0
CYTK1n,100
CYTK2,100
CYTK2n,100
CYTK3n,-2.315903421397e-14
CYTK4n,100
CYTK5,-100
CYTK5n,100
CYTK6,-0.532437877770417
CYTK6n,100
CYTK7,-100
CYTK7n,-100
CYTK8,-0.0421599667401922
CYTK8n,-1.1579517106985e-14
CYTK9,1.10703572228103
CYTK9n,-100
D_3AIBt,0
DADA,0
DADAe,-0
DAGK_hs,0.72699158911381
DAGt,0.84815951901243
DALAt2r,0.999999999999983
DASCBR,50.517416631192
DATPtn,0.0421599667402214
DCIm,0
DCK1n,-100
DCK2n,100
DCMPDA,0.0418657456266595
DCSPTN1COAtx,-0
DCSPTN1CPT1,0
DCSPTN1CPT2,-0
DCTPtn,0.0301960408072272
DCYTt,0
DESAT16_2,0
DESAT18_10,0
DESAT18_3,1
DESAT18_4,0
DESAT18_5,0
DESAT18_6,1
DESAT18_7,0
DESAT18_8,0
DESAT18_9,0
DESAT20_1,0
DESAT20_2,0
DESAT22_1p,0
DESAT24_1,0
DGAT,0
DGK1,0
DGNSKm,-0
DGTPtn,0.0316543541526748
DHAAt1r,50.517416631192
DHCR241r,0
DHCR242r,0
DHCR243r,0
DHCR71r,-0
DHCR72r,-0
DHCRD1,0.0559211999104538
DHCRD2,0
DHDPBMTm,-0
DHFR,0.0418657456266594
DHORD9,0
DHORTS,0
DHPM1,0
D_LACt2,-56.9310160741543
D_LACtm,0
DLNLCGCPT1,0
DLNLCGt,-0
DMATT,0
DMATTx,0
DNDPt35m,0
DOLDPP_Ler,0
DOLDPP_Uer,0
DOLPMT_L,0
DOLPMT_U,0
DOLPMT3_Ler,-0
DOLPMT3_Uer,-0
DOPAMT,0
DOPAVESSEC,0
DPCOAK,0
DPCOAtl,4.25460557966142e-14
DPGase,0
DPGM,0
DRPA,-1.82994371905866e-14
DSAT,0.0559211999104538
DTMPK,0.0418657456266595
DTTPtn,0.0418657456266585
DURAD,-0
DURAD2,-0
DURIK1,-0
DURIPP,0
DUTPDPm,0
DUTPDPn,0
EBP1r,100
EBP2r,0
ECOAH12m,0
ECOAH1m,1.76595456629037
ECOAH1x,0
ECOAH9m,0
EHGLAT,-0
EHGLAT2m,0
EHGLATm,0
EICOSTETCPT1,0
ELAIDCPT1,0
ENO,77.1044708817024
ESTRADIOLGLCt2,0
ESTRIOLGLCte,-0
ESTRONESt,-0
ETF,0
ETFQO,0
ETHAK,-0
EX_3aib_D_e,-0
EX_5thf_e,-1
EX_6thf_e,-1
EX_acac_e,-1
EX_ade_e,0.147158527615143
EX_adn_e,-0.360823819117698
EX_akg_e,-1
EX_ala_D_e,-1
EX_ala_L_e,-1
EX_arg_L_e,-1
EX_asn_L_e,-0.893616681057881
EX_bhb_e,20.9092565145183
EX_biocyt_e,-0.893613483002314
EX_btn_e,0.893613483002314
EX_but_e,-0
EX_chol_e,-0.72699158911381
EX_chsterol_e,-0.0652435319325842
EX_cit_e,-1
EX_crn_e,-2.76595456629033
EX_cytd_e,-0.196901084140961
EX_dag_hs_e,-0.84815951901243
EX_dcyt_e,0
EX_gln_L_e,-1
EX_glu_L_e,-1
EX_h2o_e,60.6793071191759
EX_hco3_e,73.0507702504209
EX_hdca_e,-0.0559211999104538
EX_his_L_e,-0.404253413924329
EX_hxan_e,-0.147158527615183
EX_inost_e,-0.0745626658991334
EX_lac_D_e,56.9310160741543
EX_lneldc_e,1
EX_lnlnca_e,-0
EX_lnlncg_e,-0
EX_lys_L_e,-1
EX_mercplaccys_e,-0
EX_met_L_e,-0.489360069077986
EX_no_e,-1
EX_o2_e,-100
EX_o2s_e,-1
EX_ocdca_e,0
EX_orn_e,-1
EX_phe_L_e,-0.829786689692663
EX_pi_e,-3.97011097252804
EX_pnto_R_e,4.25478137798597e-14
EX_ppa_e,-1
EX_pro_L_e,4.10639611116454
EX_pyr_e,-1
EX_Rtotal_e,-0.0559211999104538
EX_sarcs_e,-1
EX_ser_L_e,-1
EX_strdnc_e,-1
EX_taur_e,0.331472064984551
EX_thf_e,2
EX_thr_L_e,-1
EX_thymd_e,-0
EX_tmndnc_e,-0
EX_trp_L_e,-0.0425533275768328
EX_urea_e,0.851066551536688
EX_uri_e,-0.170923278646538
FACOAL140i,-0
FACOAL150,-0
FACOAL160i,0
FACOAL170,-0
FACOAL180i,0
FACOAL181i,-0
FACOAL1821,-0
FACOAL1822,-1
FACOAL1831,0
FACOAL184,0
FACOAL204,0
FACOAL205,0
FACOAL224,-0
FACOAL40im,0
FACOAL80i,-0
FADDP,0
FAEL183,0
FAEL184,0
FAEL204,0
FAEL205,0
FALDH,0
FAOXC11,0
FAOXC140,0
FAOXC150m,0
FAOXC160,0
FAOXC16080m,0
FAOXC16080x,0
FAOXC161802m,0
FAOXC16180m,0
FAOXC170m,0
FAOXC180,0
FAOXC180x,0
FAOXC1811601m,-0
FAOXC1811602m,-0
FAOXC1811603m,-0
FAOXC182806m,0
FAOXC18280m,0
FAOXC183803m,0
FAOXC183806m,0
FAOXC183806x,0
FAOXC18480m,0
FAOXC18480x,0
FAOXC200180m,-0
FAOXC200180x,0
FAOXC2031836m,-0
FAOXC204,-0
FAOXC204184m,-0
FAOXC2051843m,0
FAOXC2051843x,0
FAOXC2242046m,-0
FAOXC2242046x,0
FAOXC2251836m,0
FAOXC2251836x,0
FAOXC2252053m,0
FAOXC2252053x,0
FAOXC226,0
FAOXC226205m,0
FAOXC226205x,0
FAOXC240200x,0
FAOXC241181x,0
FAOXC2442246x,0
FAOXC2452253x,0
FAOXC2452256x,0
FAOXC246226x,0
