Var1_1,Var1
10FTHFtm,-100
25VITD2Hm,0
25VITD3Hm,0
2AMADPTm,0
2HBO,0
2HBt2,100
2HCO3_NAt,-100
2OXOADOXm,-0
2OXOADPTm,-0
34DHOXPEGOX,0
34DHPHAMT,0
34DHPHEt,0
34DHPLACOX,0
34DHPLACOX_NADP,0
34DHXMANDACOX,0
34DHXMANDACOX_NADP,0
3AIBTm,0
3AIBtm,0
3DSPHR,0.0559211999104547
3HBCDm,0
3HKYNAKGAT,0
3HPCOAHYD,-0
3HXKYNOXDA,-0
3M4HDXPAC,0
3MOBt2im,86.21767495174
3MOPt2im,0
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP,0
3MOXTYROX,0
3NTD7l,-0
3SALAASPm,-0
3SALACBOXL,0
3SALATAi,0
3SALATAim,0
41R1H2MAE12BOOX,0
41R2A1H12BOOX,0
42A12BOOX,0
4HGLSDm,-0
4HOXPACDOX_NADP,0
4MOPt2im,100
4NPHSULT,0
5ADTSTSTERONEGLCte,-0
5FTHFt2,-0
5HOXINDACTO2OX,0
5HOXINDACTOXm,0
5HOXINOXDA,0
5HTRPVESSEC,0
5HXKYNOXDA,-0
5MTHFt2,14.8596214695067
A_MANASEly,0
A4GALTc,-0
A4GALTg,0
AACOAT,0
AATAi,-0
ABTArm,0
ABUTD,-0
ABUTt2r,-0
ABUTt2rL,-0
ACACT10m,0
ACACT1r,0
ACACT1rm,0
ACACT1x,0
ACACt2,-100
ACACt2m,-93.1276567846748
ACACT4p,0
ACACT5p,0
ACACT6p,0
ACACT7p,0
ACACT8p,-0
ACACT9p,-0
ACCOAC,0
ACCOACm,0
ACCOAgt,0
ACCOAL,0
ACCOALm,0
ACCOAtr,0
ACETONEt2,-0
ACETONEt2m,0
ACGAM6PSi,0
ACGAMK,-0
ACGAMPM,0
ACGPID,0
ACITL,0
ACNAM9PL,0
ACNAM9PL2,0
ACNAMlt,0
ACNAMPH,0
ACOAD10m,100
ACOAD1fm,0
ACOAD8m,0
ACOAD9m,0
ACOAO7p,0
ACOATA,0
ACONT,100
ACONTm,2.87234321532498
ACOX22x,0
ACOX2x,-0
ACP1_FMN,0
ACRNtm,-2.39812638049822e-30
ACS,0
ACS2,0
ACSm,-0
ACTLMO,0
ACTNMO,-0
ACYP,0
ADA,0
ADAe,0
ADEt,-66.5710777833073
ADEtl,-0
ADK1,-98.2265537175309
ADK1m,-100
ADK3,100
ADK3m,100
ADKd,100
ADMDC,0.531267389427231
ADNCYC,0
ADNK1,0
ADNt,51.9669873509301
ADNtl,-0
ADNtm,-1.41274913054285e-14
ADPGLC,-0
ADPMAN,-0
ADPRDP,-0
ADPT,0.213665291502882
ADRNCPT1,0
ADRNCPT2,-0
ADRNLPVESSEC,0
ADSELK,0
ADSK,0
ADSL1,0
ADSL2,0
ADSS,0
AG13T10g,0
AG13T11g,0
AG13T12g,0
AG13T13g,0
AG13T14g,0
AG13T15g,0
AG13T16g,0
AG13T17g,0
AG13T18g,0
AG13T1g,0
AG13T2g,0
AG13T3g,0
AG13T4g,0
AG13T5g,0
AG13T6g,0
AG13T7g,0
AG13T8g,0
AG13T9g,0
AGMTm,-0
AGPAT1,0
AGPRim,-0
AHANDROSTANGLCte,-0
AHC,14.81775572388
AHEXASE2ly,0
AHEXASEly,0
AICART,0
AIRCr,0
AKGDm,0
AKGMALtm,-100
AKR1C1,-0
ALAASNNaEx,42.0638299913655
ALACYSNaEx,0
ALADGLNexR,100
ALADGLYexR,-100
ALAGLNexR,-1
ALAGLNNaEx,0
ALAGLYexR,-100
ALAR,87.0748956371805
ALASERNaEx,0
ALASm,0
ALAt2r,-100
ALAt2rL,-0
ALAt4,37.122691080762
ALATA_L,-87.6919156889891
ALATHRNaEx,0
ALAtN1,62.8941096633651
ALCD1,0
ALCD21_D,0
ALCD21_L,100
ALCD22_D,1.77057436920669e-14
ALCD22_L,100
ALCD2if,0
ALCD2yf,0
ALDD20x,0
ALDD20xm,-0
ALDD21,-0
ALDD2x,0
ALDD2xm,-0
ALDD2y,0
ALKP,0
ALOX15,0
ALR2,100
ALR3,100
AMACR2p,0
AMACR2r,0
AMACRp,0
AMACRr,-0
AMANK,0
AMETt2m,0
AMPDA,0
AMY1e,-0
AMY2e,-0
ANDRSTRNGLCte,-0
APAT2rm,-0
APRTO2,0
ARABR,0
ARACHCPT1,0
ARACHCPT2,-0
ARACHDt2,-100
ARGLYSex,0
ARGN,0
ARGNm,0.851066551536651
ARGSL,0
ARGSS,0
ARGtiDF,0
ARGtm,0.851066551536651
ARSA,-0
ASAH1,0
ASCBt4,2.44585004958266e-14
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNNm,-0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASNtN1,-100
ASP1DC,0
ASPCTr,0
ASPDt6,-0
ASPGLUm,0
ASPt6,0
ASPTA,-0.127656784674923
ASPTAm,0
ATPasel,0
ATPH1e,0
ATPH2e,0
ATPS4m,100
ATPtm,100
AVITE1t,0
B_MANNASEly,0
B3GALT3g,-0
B3GNT12g,0
B3GNT51g,0
BACCL,0
BACCLm,0
BAMPPALDOX,-0
BAMPPALDOXm,-0
BBHOX,-0
BDHm,0.99999999999997
BHBtm,0.99999999999997
BILDGLCURte,0
BILGLCURte,0
BILIRED,-0
BMTer_L,0
BMTer_U,0
BPNT,0
BPNT2,0
BTND1,-0
BTND1n,-0
BTNDe,0.893613483002349
BTNDm,-0
BTNPL,-0
BTNPLm,-0
BTNt2,0
BTNt2m,0
BTNt3i,0
BUTt2m,0
BUTt2r,-98
C14STRr,0
C160CPT1,0
C160CPT2,-0
C161CPT1,0
C161CPT12,0
C161CPT2,-0
C161CPT22,-0
C180CPT1,0
C180CPT2,-0
C181CPT1,0
C181CPT2,-0
C204CPT1,0
C204CPT2,-0
C226CPT1,0
C226CPT2,-0
C2M26DCOAHLm,-0
C2M26DCOAHLx,-0
C3STDH1Pr,0
C3STDH1r,0
C3STKR2r,-0
C4STMO1r,0
C4STMO2Pr,0
C4STMO2r,0
CAATPS,100
CAMPt,0
CAT2p,0
CATm,0
CATp,0
CBL2tm,-0
CBLATm,-0
CBPPer,0
CBPS,0
CBPSam,0
CBR1,-0
CBR2,0
CDIPTr,-0.0838849979212643
CDPDAGtm,0
CDS,0
CDSm,0
CEPTC,0
CEPTE,0.177089129809077
CERK,0
CERT1gt,0
CERT1rt,0
CERT2gt,0
CERT2rt,0
CGLYt3_2,0
CGMPt,0
CH25H,0
CHLP,0
CHLPCTD,0
CHLtm,0
CHOLATEt,-100
CHOLATEt2,100
CHOLK,0.177089129809077
CHOLtu,0.726991589113822
CHSTEROLt,0
CHSTEROLt1,0
CHSTEROLtg,-0
CHTNASE,-0
CITL,7.75059001258814e-14
CITRtm,-91.8723304231029
CITtam,-100
CITtbm,0
CK,64.6695467809712
CKc,-64.6695467809712
CLHCO3tex2,100
CLOHtex2,100
CLOXAtex2,0
CLPNDCPT1,0
CLPNDCPT2,-0
CLS_hs,0.0372829319773579
CMPACNAtg,0
CMPSAS,0
CMPSASn,-0
CO2tm,-54.5421562869372
COAtl,0
COAtm,2
COKECBESr,0
COQ3m,-0
COQ6m,0
COQ7m,-0
CORE2GTg,0
CORE6GTg,0
CPCTDTX,-0
CPPPGO,0
CREATt4_2_r,-100
CREATtmdiffir,64.6695467809712
CRNCARtp,-0
CRNt,2.00000000000001
CRNtHa,0
CRNtuNa,0
CSm,1.87234321532514
CSNAT2m,-0
CSNAT2x,0
CSNATm,0
CSNATr,-2.39812638049822e-30
CSNt,0
CTPS1,0
CTPS2,0
CYOOm2,0
CYOR_u10m,80.6472148776673
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSO,0
CYSSERNaEx,0
CYSt4,0
CYSTA,0.425531676740522
CYSTAm,-0
CYSTGL,0
CYSTGLUex,-0
CYSTHRNaEx,0
CYSTS,0
CYTDK1,0.367824362787522
CYTDK2m,0
CYTDt,0.196901084140919
CYTDtl,-0
CYTDtm,0
CYTK1,100
CYTK10,100
CYTK10n,-100
CYTK11,100
CYTK11n,-100
CYTK12,100
CYTK12n,100
CYTK13,-100
CYTK13n,-100
CYTK14,-100
CYTK14n,-100
CYTK1m,0
CYTK1n,100
CYTK2,100
CYTK2n,100
CYTK3,-100
CYTK3n,3.36454409046116e-14
CYTK4,-99.6678755316767
CYTK4n,100
CYTK5,-0.373990213949973
CYTK5n,100
CYTK6,-100
CYTK6n,100
CYTK7,-33.4568942718746
CYTK7n,-100
CYTK8,-66.1691155141754
CYTK8n,0
CYTK9,100
CYTK9n,-100
DADA,0
DADAe,0
DADNK,0
DADNt4,0
DAGK_hs,0.726991589113822
DAGKn_hs,0
DAGt,0.848159519012444
DALAt2r,-87.0748956371805
DALAt2rL,-0
DASCBR,-2.44585004958266e-14
DASPO1p,-0
DATPtn,0.0421599667402221
DCIm,0
DCK1n,-100
DCK2n,100
DCMPDA,0.0418657456266592
DCSPTN1CPT1,0
DCSPTN1CPT2,-0
DCTPtn,0.0301960408072161
DCYTt,0
DESAT16_2,0
DESAT18_10,0
DESAT18_3,0
DESAT18_4,1.00000000000002
DESAT18_5,0
DESAT18_6,0
DESAT18_7,1.00000000000002
DESAT18_8,0
DESAT18_9,0
DESAT20_1,0
DESAT20_2,0
DESAT24_1,0
DGAT,0
DGK1,0
DGNSKm,0
DGSNt,-0
DGTPtn,0.0316543541526753
DHAAt1r,-2.44585004958266e-14
DHCR241r,0
DHCR242r,0
DHCR243r,0
DHCR71r,-0
DHCR72r,-0
DHCRD1,0.0559211999104547
DHCRD2,0
DHDPBMTm,-0
DHEASt,-0
DHEASULT,0
DHFR,0.0418657456266592
DHORD9,0
DHORTS,0
DHPM1,0
DHPR,0
DINt,0
D_LACt2,0.969107140936873
D_LACtm,0
DLNLCGCPT1,0
DLNLCGCPT2,-0
DLNLCGt,0
DMATT,0
DMATTx,0
DNDPt10m,0
DNDPt11m,0
DNDPt12m,0
DNDPt13m,32.8511702230903
DNDPt14m,0
DNDPt15m,0
DNDPt16m,0
DNDPt17m,0
DNDPt18m,0
DNDPt19m,0
DNDPt1m,0
DNDPt20m,0
DNDPt21m,0
DNDPt22m,0
DNDPt23m,0
DNDPt24m,0
DNDPt25m,0
DNDPt26m,0
DNDPt27m,0
DNDPt28m,0
DNDPt29m,0
DNDPt2m,0
DNDPt30m,0
DNDPt31m,0
DNDPt32m,-2.46503187711486e-30
DNDPt33m,0
DNDPt34m,0
DNDPt35m,0
DNDPt36m,0
DNDPt37m,0
DNDPt38m,0
DNDPt39m,0
DNDPt3m,0
DNDPt40m,0
DNDPt41m,0
DNDPt42m,0
DNDPt43m,0
DNDPt44m,0
DNDPt45m,0
DNDPt46m,0
DNDPt47m,0
DNDPt48m,0
DNDPt49m,0
DNDPt4m,0
DNDPt50m,0
DNDPt51m,0
DNDPt52m,0
DNDPt53m,0
DNDPt54m,0
DNDPt55m,0
DNDPt56m,0
DNDPt57m,0
DNDPt58m,0
DNDPt59m,0
DNDPt5m,0
DNDPt60m,0
DNDPt61m,0
DNDPt62m,0
DNDPt63m,0
DNDPt6m,0
DNDPt7m,0
DNDPt8m,0
DNDPt9m,0
DOLDPP_Ler,-0
DOLDPP_Uer,-0
DOLPGT3_Ler,-0
DOLPGT3_Uer,-0
DOLPMT_L,0
DOLPMT_U,0
DOLPMT3_Ler,-0
DOLPMT3_Uer,-0
DOPABMO,0
DOPAMT,0
DOPASULT,0
DOPAtu,-100
DOPAVESSEC,0
DPCOAK,-6.36735740201455e-15
DPCOAtl,-0
DPGase,0
DPGM,0
DPMVDx,0
DRBK,-0
DRPA,0
DSAT,0.0559211999104547
DTMPK,0.0418657456266592
DTTPtn,0.0418657456266592
DURAD,-0
DURAD2,-0
DURIK1,0
DURIK1m,0
DURIPP,0
DURIt,-0
DUTPDPm,0
DUTPDPn,0
EBP1r,100
EBP2r,0
ECOAH12m,0
ECOAH1m,0
ECOAH1x,0
ECOAH9m,0
EGMESTr,-0
EHGLAT,-0
EHGLAT2m,0
EHGLATm,0
EICOSTETCPT1,0
EICOSTETCPT2,-0
ELAIDCPT1,0
ELAIDCPT2,-0
ENO,100
EPCTX,-0
ESTRADIOLGLCt,0
ESTRADIOLGLCt2,0
ESTRIOLGLCte,-0
ESTRONESt,-100
ESTRONESt2,100
ESTSULT,0
ETF,0
ETFQO,0
ETHAK,0
ETHP,0
ETOHMO,0
EX_5mthf_e,-14.8596214695067
EX_5thf_e,-1
EX_acac_e,-1
EX_ade_e,66.5710777833073
EX_adn_e,-51.9669873509301
EX_akg_e,-1
EX_ala_D_e,87.0748956371805
EX_ala_L_e,-1
