Var1_1,Var1
1PPDCRp,0
25VITD2Hm,0
25VITD3Hm,0
2AMADPTm,0
2HBO,0
2HBt2,-100
2HCO3_NAt,-100
2OXOADOXm,-0
2OXOADPTm,-0
34DHOXPEGOX,0
34DHPHAMT,0
34DHPHEt,0
34DHPLACOX,0
34DHPLACOX_NADP,0
34DHXMANDACOX,0
34DHXMANDACOX_NADP,5.07977249783046e-24
34HPPOR,0
3AIBTm,0
3AIBtmi,0
3DSPHR,-0
3HKYNAKGAT,0
3M4HDXPAC,0
3MOBt2im,91.3067273740749
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP,-4.30244174320257e-30
3MOXTYROX,0
3SALAASPm,-10.9352199515939
3SALACBOXL,0
3SALATAi,0
3SALATAim,0
41R1H2MAE12BOOX,0
41R2A1H12BOOX,0
42A12BOOX,0
4ABUTtm,-100
4HGLSDm,-0
4HOXPACDOX_NADP,0
4NPHSULT,0
5ADTSTSTERONEGLCte,-0
5AOPtm,100
5FTHFt2,-0
5HOXINDACTO2OX,0.271942714052675
5HOXINOXDA,0
5HTRPVESSEC,-0
5MTHFt2,-0
5THFtl,0
5THFtm,0
A_MANASEly,0
A4GALTc,0
A4GALTg,0
AACTtm,17.0157847300192
AATAi,-0
ABTArm,-100
ABUTt2rL,-0
ABUTt4_2_r,-100
ACACT10m,-0
ACACT1rm,0
ACACT1x,0
ACACt2m,0
ACACT4p,0
ACACT5p,0
ACACT6p,-6.51505651827513e-31
ACACT7p,-6.51505651827513e-31
ACACT8p,0.543885428105344
ACACT9p,-0
ACALDtm,-65.6837729044309
ACCOACm,0
ACCOAgt,0
ACCOALm,0
ACCOAtr,0
ACETONEt2,100
ACETONEt2m,0
ACGAM6PSi,1.18489326463689e-13
ACGAMK,-0
ACGAMPM,1.18489326463689e-13
ACGPID,0
ACGSm,0
ACITL,0
ACNAM9PL,0
ACNAM9PL2,0
ACNAMlt,0
ACNAMPH,0
ACOAD10m,0
ACOAD1fm,0
ACOAD8m,0
ACOAD9m,1.90252613522025e-14
ACOAO7p,-6.51505651827513e-31
ACONTm,100
ACOX22x,0
ACOX2x,0
ACP1_FMN,0
ACS2,0
ACSm,0
ACt2m,-65.6837729044309
ACTLMO,1.02503833449646e-24
ACTNMO,100
ADA,0
ADAe,0
ADEt,-0
ADK1m,100
ADK3,98.5687471134469
ADK3m,-96.4906543914323
ADKd,-100
ADMDC,0
ADNCYC,0
ADNK1m,3.50934560856768
ADNt,100
ADNt4,0
ADNtl,-0
ADNtm,3.50934560856768
ADPMAN,-0
ADPRIBt,0
ADRNCPT1,0
ADRNCPT2,0
ADRNLPVESSEC,0
ADSK,0
ADSL1,0
ADSL2,0
AG13T16g,0
AG13T17g,0
AG13T18g,0
AG13T1g,0
AG13T2g,0
AG13T3g,0
AGMTm,-0
AGPAT1,0
AHANDROSTANGLCte,-0
AHEXASE2ly,0
AHEXASEly,0
AIRCr,0
AKGDm,1.61373483963231e-14
AKGMALtm,-100
AKGt4_3,-100
AKR1C1,-0
ALAASNNaEx,0
ALACYSNaEx,0
ALADGLNexR,-100
ALADGLYexR,-99.663994831788
ALAGLNexR,-100
ALAGLNNaEx,0
ALAGLYexR,-100
ALASERNaEx,0
ALASm,0
ALAt4,100
ALATA_L,-15.3910115006198
ALATHRNaEx,100
ALAtN1,-100
ALCD21_D,1.93764750314704e-14
ALCD21_L,100
ALCD22_D,0
ALCD22_L,100
ALCD2if,0
ALCD2yf,0
ALDD20x,0
ALDD20xm,-0
ALDD21,-0
ALDD2xm,65.6837729044309
ALDD2y,34.3162270955691
ALR2,0
ALR3,100
AMACR2p,0
AMACRp,0
AMETt2m,-0
AMPDA,1.43125288655308
AMPTASECGe,1.06917278118779e-14
AMPtp,-100
AMY1e,-0
AMY2e,-0
ANDRSTRNGLCte,-0
ANDRSTRNtr,1.48482460264898e-29
AOBUTDsm,17.0157847300192
APAT2rm,-0
APRTO2,0
ARABR,0
ARACHCPT1,0
ARACHCPT2,0
ARACHDt2,-1.19230310968917e-14
ARGLYSex,0
ARGNm,0
ARGSS,-6.21792996011604e-14
ARGtm,0
ARSA,-0
ARTCOAL1,0
ARTCOAL2,0
ASAH1,0
ASCBt4,-0
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNNm,-0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASNtN1,-100
ASPCTr,-4.13539881315232e-26
ASPDt6,-0
ASPGLUm,0
ASPt6,0
ASPTAm,-10.9352199515939
ATPasel,0
ATPH1e,0
ATPH2e,0
ATPtm,100
ATPtx,100
B_MANNASEly,0
B3GNT12g,0
B3GNT51g,0
BAAT1x,0
BAAT2x,0
BAAT3x,0
BAAT4x,0
BACCL,0
BACCLm,0
BAMPPALDOX,0
BBHOX,-0
BDHm,-0
BILDGLCURte,0
BILGLCURte,0
BILGLCURtr,0
BILIRED,0
BILIRUBt2,0
BILIRUBtr,0
BMTer_U,0
BPNT2,0
BTND1,-0
BTND1n,-0
BTNDe,-0
BTNDm,-0
BTNPL,-0
BTNPLm,-0
BTNt2,0
BTNt2m,0
BTNt3i,0
BUP2,-0
BUTt2m,0
C14STRr,-0
C160CPT1,0
C160CPT2,-0
C161CPT1,0
C161CPT12,0
C161CPT2,-0
C161CPT22,-1.76060299832369e-25
C180CPT1,0
C180CPT2,0
C181CPT1,0
C181CPT2,0
C204CPT1,0
C204CPT2,0
C226CPT1,0
C226CPT2,0
C3STDH1Pr,0
C3STDH1r,0
C3STKR2r,-0
C4STMO1r,-0
C4STMO2Pr,0
C4STMO2r,0
CAATPS,0
CAT2p,0
CATm,1.45618595237839e-24
CATp,25.407914071079
CBL2tm,-0
CBPPer,0
CBPSam,0
CBPter,0
CBR2,0
CDIPTr,-0.815859246208576
CDS,0
CDSm,-0
CEPTC,0
CEPTE,0
CERK,0
CERT1gt,0
CERT1rt,0
CERT2gt,0
CERT2rt,0
CGLYt3_2,0
CHLP,0
CHLPCTD,0
CHOLATEt2,-0
CHOLK,0
CHOLt4,-94.6516896101289
CHOLtu,100
CHSTEROLt1,-0
CHSTEROLtg,0
CHTNASE,-0
CITMCOAHm,0
CITMCOALm,0
CITRtm,-100
CITtam,-100
CITtbm,89.0647800484062
CK,-0
CKc,0
CLHCO3tex2,0
CLOHtex2,15.9136539964935
CLOXAtex2,0
CLPNDCPT1,0
CLPNDCPT2,0
CLS_hs,0.362611021437269
CMPACNAtg,0
CMPSAS,0
CMPSASn,0
CO2ter,0
CO2tm,-6.08056477842541
CO2tp,0
COAtm,-100
COKECBESr,0
COQ3m,-0
COQ6m,0
COQ7m,-0
CORE2GTg,0
CORE5GTg,0
CORE6GTg,0
CREATt4_2_r,-100
CRNCARtp,0.543885428105342
CRNt,-4.92242234927107e-15
CRNtHa,0
CRNtim,-1.57864796117931e-15
CRNtuNa,0
CSm,0
CSNAT2m,-0
CSNAT2x,0
CSNATm,0.543885428105225
CSNATp,0.543885428105342
CSNATr,-1.17001122557899e-13
CSNt,-0
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSO,0
CYSSERNaEx,0
CYSt4,0
CYSTA,0
CYSTGLUex,0
CYSTHRNaEx,0
CYSTSERex,0
CYTD,0
CYTDK1,-1.81168562226016e-14
CYTDt,100
CYTDtl,-0
CYTDtm,0
CYTK10,100
CYTK10n,-100
CYTK11,-100
CYTK11n,-100
CYTK12,100
CYTK12n,100
CYTK13,-100
CYTK13n,-100
CYTK14,100
CYTK14n,-100
CYTK1m,-0
CYTK1n,100
CYTK2n,100
CYTK3,-100
CYTK3n,2.03619627573839e-14
CYTK4,5.94639744446743e-14
CYTK4n,100
CYTK5,-100
CYTK5n,100
CYTK6,100
CYTK6n,100
CYTK7,-100
CYTK7n,-100
CYTK8,100
CYTK8n,0
CYTK9,-100
CYTK9n,-100
DADA,-2.84088911172137e-14
DADAe,0
DADNt4,1.5078621630842
DAGK_hs,0
DAGKn_hs,0
DAGt,-0.543885428105343
DALAt2r,100
DASCBR,-2.10771893393669e-14
DATPtn,0.410044698542419
DCIm,0
DCK1n,1.46284357932799e-15
DCK2n,-1.88991191780559e-14
DCSPTN1CPT1,0
