Var1_1,Var1
1PPDCRp,30.5457327383666
2HBO,0
2HBt2,-100
2HCO3_NAt,-72.7064727047418
2OXOADOXm,-0
34DHOXPEGOX,-0
34DHPHAMT,-0
3DSPHR,0.543610470734772
3MOBt2im,57.4188024463742
3SALAASPm,0
3SALATAi,0
3SALATAim,0
4ABUTtm,-42.5811975536258
5ADTSTSTERONEGLCte,-0
5AOPtm,100
5HTRPVESSEC,-0
AACTOOR,27.418742449657
AACTtm,27.418742449657
ABTArm,-42.5811975536258
ACACT10m,-0
ACACT1rm,0
ACACT1x,0
ACACt2m,0
ACACT4p,0
ACACT6p,0
ACACT7p,0
ACACT8p,2.54361047073477
ACALDtm,-98.9889143692264
ACCOAgt,0
ACCOAtr,0
ACETONEt2,53.2452564019617
ACETONEt2m,0
ACGAM6PSi,0
ACGAMK,-0
ACGAMPM,0
ACITL,0
ACNAM9PL,0
ACNAM9PL2,0
ACNAMlt,0
ACOAD10m,-0
ACOAD1fm,0
ACOAD8m,0
ACOAD9m,-2.85436197059112e-27
ACOAO7p,0
ACONTm,100
ACP1_FMN,0
ACt2m,-100
ACTNMO,53.2452564019617
ADA,39.4826312400246
ADAe,2.84642954728515
ADK1m,-97.2099781713321
ADK3,-1.12281707489007
ADK3m,100
ADKd,-99.5901625966089
ADMDC,0
ADNK1m,2.79002182866796
ADNt,-57.3175095279164
ADNtm,2.79002182866796
ADPMAN,-0
ADRNCPT1,0
ADRNLPVESSEC,-0
ADSK,0
ADSL1,0
ADSL2,0
AGPAT1,0.456389529265228
AHANDROSTANGLCte,-0
AHEXASE2ly,0
AHEXASEly,0
AIRCr,8.54907961365635e-30
AKGDm,38.0828012979929
AKGMALtm,-100
AKGt4_3,-100
ALAASNNaEx,0
ALACYSNaEx,0
ALADGLNexR,100
ALADGLYexR,9.12577994781193
ALAGLNexR,-40.8639260229258
ALAGLNNaEx,0
ALAGLYexR,-100
ALASERNaEx,0
ALASm,0
ALAt4,0
ALATA_L,80.4789444207567
ALATHRNaEx,0
ALCD21_D,0
ALCD21_L,100
ALCD22_D,19.3360011483813
ALCD22_L,100
ALCD2if,0
ALCD2yf,0
ALDD20x,-0
ALDD20xm,-0
ALDD21,-0
ALDD2xm,98.9889143692264
ALDD2y,0
ALR2,46.7547435980383
ALR3,100
AMPDA,1.12281707489007
AMY1e,-0
AMY2e,-0
ANDRSTRNGLCte,-0
ANDRSTRNtr,0
AOBUTDsm,27.418742449657
ARABR,0
ARACHCPT1,0
ARGLYSex,0
ARGNm,0
ARTCOAL1,0
ARTCOAL2,0.543610470734772
ASAH1,0
ASCBt,100
ASCBt4,-100
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPCTr,0
ASPDt6,-0
ASPGLUm,0
ASPt6,-0
ASPTAm,0
ATPasel,0
ATPtm,100
B_MANNASEly,0
BACCL,0
BACCLm,0
BAMPPALDOX,0
BILDGLCURte,0
BILGLCURte,0
BILGLCURtr,0
BILIRED,0
BILIRUBtr,0
BPNT2,0
BTND1,-0
BTND1n,-0
BTNDe,-0
BTNDm,-0
BTNPL,-0
BTNPLm,-0
BTNt2,3.68663408603481e-27
BTNt2m,0
BTNt3i,0
BUTt2m,0
C160CPT1,0
C160CPT2,-0
C161CPT1,0
C161CPT12,0
C180CPT1,0
C181CPT1,0
C204CPT1,0
C226CPT1,0
C3STDH1Pr,0
C3STDH1r,0
C3STKR2r,-0
C4STMO1r,-0
C4STMO2Pr,0
C4STMO2r,0
CAATPS,-0
CAT2p,0
CATm,0
CATp,42.1805742222344
CBPPer,0
CBPter,0
CBR2,0
CDIPTr,-0.815446794428289
CDS,0
CDSm,-0
CEPTC,0
CEPTE,0
CERK,0
CERT1gt,0
CERT1rt,0
CERT2gt,0
CERT2rt,0
CHLPCTD,0
CHOLt4,5.34560658997902
CITtam,-100
CITtbm,90.9152449845599
CKc,-0
CLHCO3tex2,0
CLPNDCPT1,0
CLS_hs,0.362427706040602
CMPSAS,0
CMPSASn,0
CO2ter,0
CO2tm,-68.4143870528862
CO2tp,0
COAtl,-2.49397812544857e-15
CRNCARtp,2.54361047073477
CRNt,-1.68621980212467e-28
CRNtim,0
CSm,0
CSNATm,2.54361047073477
CSNATp,2.54361047073477
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSSERNaEx,0
CYSt4,0
CYSTA,0
CYSTGLUex,0
CYSTHRNaEx,0
CYTDK1,0
CYTDt,1.21356389886773
CYTK10,100
CYTK10n,-100
CYTK11,100
CYTK11n,-100
CYTK12,99.7064640246667
CYTK12n,100
CYTK13,-100
CYTK13n,-100
CYTK14,-100
CYTK14n,-100
CYTK1n,100
CYTK2n,100
CYTK3,-100
CYTK3n,0
CYTK4,-100
CYTK4n,100
CYTK5,0.587071950666611
CYTK5n,100
CYTK6,-100
CYTK6n,100
CYTK7,1.21356389886771
CYTK7n,-100
CYTK8,100
CYTK8n,-1.1579517106985e-14
CYTK9,-100
CYTK9n,-100
DADA,0
DADAe,0
DADNK,0.409837403391068
DADNt4,100
DAGK_hs,0
DAGt,-0.543610470734772
DALAt2r,-100
DASCBR,0
DATPtn,0.409837403391084
DCIm,0
DCSPTN1CPT1,0
DCTPtn,0.293535975333278
DESAT16_2,0
DESAT18_3,0
DESAT18_4,0
DESAT18_5,0
DESAT18_9,0
DESAT20_1,0
DESAT20_2,0
DGAT,0
DGNSKm,0.307712252049225
DGSNtm,0.307712252049225
DGTPtn,0.307712252049226
DHAAt1r,0
DHCR241r,0
DHCR242r,0
DHCR243r,0
DHCR71r,-0
DHCR72r,-0
DHCRD1,0.543610470734772
DHCRD2,0
DHPM1,0
D_LACt2,-80.6639988516187
D_LACtm,-80.6639988516187
DLNLCGCPT1,0
DMATTx,0
DOPAMT,0
DOPAVESSEC,0
DPCOAtl,-2.49397812544857e-15
DPGase,0
DPGM,0
DRPA,98.9889143692264
DSAT,0.543610470734772
DTTPtn,0.406977277386989
DURAD,-0
DURAD2,100
DURIK1,100
DUTPDPm,0
DUTPDPn,0
EBP1r,0
EBP2r,-0
ECOAH12m,0
ECOAH1m,0
ECOAH1x,0
ECOAH9m,-0
EHGLAT2m,0
EHGLATm,0
EICOSTETCPT1,0
ELAIDCPT1,0
ESTRADIOLGLCt,0
ESTRADIOLGLCt2,0
ESTRIOLGLCte,-0
ESTRONESt,-0
ETF,0
ETFQO,0
ETHAK,0
EX_13_cis_retnglc_e,-0
EX_acetone_e,-53.2452564019617
EX_ala_D_e,-9.12577994781192
EX_bilglcur_e,-0
EX_bilirub_e,-0
EX_chol_e,-5.34560658997902
EX_crn_e,1.68621980212467e-28
EX_dag_hs_e,0.543610470734772
EX_gchola_e,-45.4129454094835
EX_gluala_e,1.04228615986114e-14
EX_gsn_e,-100
EX_gthrd_e,-0
EX_h2o2_e,-100
EX_hco3_e,-2.84642954728513
EX_inost_e,-0.724824323755073
EX_lac_D_e,80.6639988516187
EX_o2s_e,-100
EX_ocdca_e,-2.54361047073477
EX_ps_hs_e,-100
EX_retfa_e,91.6678129968789
EX_Rtotal_e,91.6678129968789
EX_Rtotal2_e,0.543610470734772
EX_tsul_e,-0
EX_urate_e,100
FACOAL140i,0
FACOAL150,0
FACOAL160i,-0
FACOAL170,0
FACOAL180i,0
FACOAL181i,-0
FACOAL1821,0
FACOAL1831,0
FACOAL204,0
FACOAL80i,-0
FAEL183,0
FAEL184,0
FAEL204,0
FAEL205,0
FALDH,0
FAOXC11,0
FAOXC140,0
FAOXC150m,0
FAOXC160,0
FAOXC16080m,0
FAOXC16080x,0
FAOXC161802m,0
FAOXC16180m,0
FAOXC170m,0
FAOXC180,0
FAOXC180x,0
FAOXC1811601m,0
FAOXC1811602m,0
FAOXC1811603m,-0
FAOXC182806m,0
FAOXC18280m,0
FAOXC183803m,0
FAOXC183806m,0
FAOXC183806x,-0
FAOXC18480m,0
FAOXC18480x,0
FAOXC200180m,0
FAOXC200180x,-0
FAOXC2031836m,0
FAOXC204,-0
FAOXC204184m,0
FAOXC2051843m,0
FAOXC2051843x,-0
FAOXC2242046m,0
FAOXC2242046x,-0
FAOXC2251836m,0
FAOXC2251836x,0
FAOXC2252053m,0
FAOXC2252053x,0
FAOXC226,0
FAOXC226205m,0
FAOXC226205x,-0
FAOXC240200x,0
FAOXC241181x,0
FAOXC2442246x,-0
FAOXC2452253x,0
FAOXC2452256x,-0
FAOXC246226x,-0
FAOXC260240x,-0
FAOXC80,0
FBA4,-0
FBP26,0
FE3R2e,0
FKYNH,0
FOLR2,0
FTHFLm,-0
FUMm,100
FUMtm,-78.762241177156
G14T18g,0
G14T19g,-0
G14T20g,0
G14T21g,0
G14T2g,0
G14T3g,-0
G14T4g,0
G14T5g,0
G5SDym,0
G6PDH2rer,0
G6PPer,0
G6Pter,0
GALASE10ly,0
GALASE11ly,0
GALASE12ly,0
GALASE13ly,0
GALASE14ly,0
GALASE15ly,0
GALASE16ly,0
GALASE17ly,0
GALASE18ly,0
GALASE19ly,-0
GALASE1ly,0
GALASE20ly,0
GALASE3ly,0
GALASE4ly,0
GALASE5ly,0
GALASE6ly,0
GALASE7ly,0
GALASE8ly,0
GALASE9ly,0
GALC,0
GALNACT1g,0
GALNACT2g,0
GALNACT3g,0
GALNACT4g,0
GALNACT5g,0
GALNTg,0
GALOR,0
GALt1r,100
GAMt1r,-0
GAO1,0
GAO1g,0
GAO2,0
GAO2g,0
GARFT,0
GASNASE2ly,0
GASNASE3ly,0
GASNASEly,0
GBA,0
GBAl,0
GCALDDm,-0
GCC2am,0
GCC2bim,0
GCC2cm,24.8751319789222
GCCam,-0
GCCbim,0
GCCcm,-0
GCHOLAte,45.4129454094835
GDPFUCtg,0
GFUCS,0
GGH_10FTHF5GLUe,0
GGH_10FTHF5GLUl,-0
GGH_10FTHF6GLUe,0
GGH_10FTHF6GLUl,-0
GGH_10FTHF7GLUe,0
GGH_10FTHF7GLUl,-0
GGH_5DHFe,-0
GGH_5DHFl,-0
GGH_5THFe,-0
GGH_5THFl,-0
GGH_6DHFe,-0
GGH_6DHFl,-0
GGH_6THFe,-0
GGH_6THFl,-0
GGH_7DHFe,-0
GGH_7DHFl,-0
GGH_7THFe,-0
GGH_7THFl,-0
GGLUCT,0
GGNG,0
GHMT2rm,-0
GLACO,-0
GLAl,0
GLB1,0
GLBRAN,0
GLCAASE1ly,-0
GLCAASE4ly,-0
GLCAASE5ly,-0
GLCAASE6ly,-0
GLCAASE7ly,-0
GLCAASE8ly,-0
GLCAASE9ly,0
GLCAE2g,-0
GLCAT2g,0
GLCAT3g,0
GLCAT4g,0
GLCAT5g,0
GLCAT6g,0
GLCAT7g,0
GLCAT8g,0
GLCAT9g,0
GLCATg,0
GLCNACT1g,0
GLCNACT2g,0
GLCNACT3g,0
GLCNACT4g,0
GLCNACT5g,0
GLCt1r,100
GLCter,0
GLCtg,0
GLCURtly,0
GLDBRAN,0
GLGNS1,0
GLNALANaEx,0
GLNASNNaEx,0
GLNCYSNaEx,0
GLNSERNaEx,0
GLNTHRNaEx,0
GLNtm,0
GLPASE1,0
GLPASE2,0
GLU5Km,0
GLUCYS,0
GLUDxm,-100
GLUDym,100
GLUNm,0
GLUt2m,100
GLUt6,-0
GLYATm,27.418742449657
GLYCLTDy,0
GLYOXm,80.6639988516187
GLYt4,0
GLYtm,-72.5812575503431
GNDer,0
GPAM_hs,0.456389529265228
GPIDA2er,0
GPIDAer,0
GPIMTer_U,-0
GRTTx,0
GSNt,100
GTHO,0
GTHOm,0
GTHP,0
GTHPe,0
GTHPm,45.9105918159394
GTHS,0
GTMLTe,1.04228615986114e-14
H2O2t,100
H2O2tp,51.2718052353674
H2Oter,1.24110316804109e-29
H2Otly,-2.49397812544857e-15
H2Otm,-100
H2Otp,-100
H4ET3er,0
H6_ET2er,0
H6ET3er,-0
H7ET2er,0
H7_TAer,0
H8TAer,0
HACD1m,0
HACD1x,0
HACD9m,-0
HEX10,0
HEX4,0
HIBDm,-2.85396092674031e-27
HISt4,0
HISTAVESSEC,0
HIStiDF,0
HMGCOASi,-8.42872908325552e-16
HMGCOAtx,0
HOMt4,0
HOXG,0
HPDCACRNCPT1,0
HPYRR2x,0
HPYRRy,87.0722304614922
HSD17B42x,0
HSD17B4x,0
HSD17B9r,0
HSD3A1r,0
HSD3B3r,0
Htx,36.364924052532
HYPTROX,-1.24698906272428e-15
ICDHxm,0
ICDHy,0
ICDHyp,0
ICDHyrm,-100
IDOURtly,0
ILETAm,-0
INSTt4,0.724824323755073
IPDDIx,0
ITCOAL1m,-100
ITCOALm,100
LACZe,-0
LALDO,-19.3360011483813
LAPCOAl,-2.49397812544857e-15
LCADi_D,0
LCADim,-0
LCYSTAT,-0
LDH_Lm,0
LEUt4,0
LEUTAm,-0
LIPOti,0
L_LACtm,0
LNELDCCPT1,0
LNLCCPT1,0
LNLNCACPT1,0
LNLNCGCPT1,0
LNSTLSr,0
LPASE,91.6678129968789
LPS3,-0
LRAT,91.6678129968789
LTA4H,-0
LTC4Sr,0
LYSOXp,30.5457327383666
LYStiDF,100
LYStip,30.5457327383666
M4BTAer,0
M4CET3er,0
MALTt1r,-0
MANt1r,0
MCCCrm,-0
MCLOR,-0
MCPST,-0
MDHm,89.9041593537863
ME2,0
