Var1_1,Var1
1PPDCRp,0
2HBO,0
2HBt2,-100
2HCO3_NAt,-100
2OXOADOXm,-0
34DHOXPEGOX,-0
34DHPHAMT,-0
3DSPHR,0.543610470734771
3MOBt2im,87.1054017054745
3SALAASPm,0
3SALATAi,0
3SALATAim,0
4ABUTtm,-100
5ADTSTSTERONEGLCte,-0
5AOPtm,80.0038133286258
5HTRPVESSEC,-0
AACTOOR,1.08722094146954
AACTtm,1.08722094146954
ABTArm,-100
ACACT10m,-0
ACACT1rm,0
ACACT1x,0
ACACt2m,0
ACACT4p,0
ACACT6p,0
ACACT7p,0
ACACT8p,1.08722094146954
ACALDtm,-98.9889143692264
ACCOAgt,0
ACCOAtr,0
ACETONEt2,98.9127790585305
ACETONEt2m,0
ACGAM6PSi,0
ACGAMK,-0
ACGAMPM,0
ACITL,0
ACNAM9PL,0
ACNAM9PL2,0
ACNAMlt,0
ACOAD10m,0
ACOAD1fm,0
ACOAD8m,0
ACOAD9m,0
ACOAO7p,0
ACONTm,56.9011567568915
ACP1_FMN,0
ACt2m,-100
ACTNMO,98.9127790585305
ADA,0
ADAe,0
ADK1m,94.0129790652764
ADK3,-3.99792765218015
ADK3m,-91.2229572366082
ADKd,-99.5901625966089
ADMDC,0
ADNK1m,2.7900218286683
ADNt,-96.8001407679406
ADNtm,2.7900218286683
ADPMAN,-0
ADRNCPT1,0
ADRNLPVESSEC,-0
ADSK,0
ADSL1,0
ADSL2,0
AGPAT1,0
AHANDROSTANGLCte,-0
AHEXASE2ly,0
AHEXASEly,0
AIRCr,0
AKGDm,19.9961866713742
AKGMALtm,-100
AKGt4_3,-100
ALAASNNaEx,0
ALACYSNaEx,0
ALADGLNexR,100
ALADGLYexR,-100
ALAGLNexR,-100
ALAGLNNaEx,100
ALAGLYexR,-2.92940324922549e-14
ALASERNaEx,0
ALASm,0
ALAt4,0
ALATA_L,-56.0823109721387
ALATHRNaEx,100
ALCD21_D,100
ALCD21_L,100
ALCD22_D,100
ALCD22_L,0
ALCD2if,0
ALCD2yf,0
ALDD20x,-0
ALDD20xm,-0
ALDD21,-0
ALDD2xm,98.9889143692264
ALDD2y,0
ALR2,1.08722094146956
ALR3,100
AMPDA,1.12281707489007
AMY1e,-0
AMY2e,-0
ANDRSTRNGLCte,-0
ANDRSTRNtr,-1.28463408337516e-16
AOBUTDsm,1.08722094146954
ARABR,0
ARACHCPT1,0
ARGLYSex,0
ARGNm,0
ARTCOAL1,0
ARTCOAL2,0
ASAH1,0
ASCBt,100
ASCBt4,-100
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPCTr,0
ASPDt6,-0
ASPGLUm,0
ASPt6,0
ASPTAm,0
ATPasel,0
ATPtm,100
B_MANNASEly,0
BACCL,0
BACCLm,0
BAMPPALDOX,0
BILDGLCURte,0
BILGLCURte,0
