Var1_1,Var1
2HBO,0
2HBt2,-100
34DHOXPEGOX,-0
34DHPHAMT,-0
3DSPHR,0
3HBCOAHLm,0
3MOBt2im,100
3SALAASPm,0
3SALATAi,0
3SALATAim,0
4ABUTtm,-72.5711004704191
5ADTSTSTERONEGLCte,-0
5AOPtm,100
5HTRPVESSEC,-0
AACTOOR,47.0145827467304
AACTtm,47.0145827467304
ABTArm,-72.5711004704191
ACACT10m,-0
ACACT1rm,2.0915438277031e-15
ACACT1x,0
ACACt2m,-2.09154382770321e-15
ACACT5p,1.94722724741665
ACALDtm,-100
ACCOAgt,0
ACCOAtr,0
ACETONEt2,-0
ACETONEt2m,-0
ACGAM6PSi,0
ACGAMK,-0
ACGAMPM,0
ACITL,0
ACNAM9PL,0
ACNAM9PL2,0
ACNAMlt,0
ACNAMPH,0
ACOAD10m,0
ACOAD1fm,0
ACOAD8m,0
ACOAD9m,-4.22621263941021e-15
ACOAO7p,0
ACONTm,4.86735544980944
ACP1_FMN,0
ACt2m,-100
ADA,0
ADAe,0
ADCim,0
ADK1m,99.6921321075497
ADK3,95.6751372897801
ADK3m,-99.6921321075497
ADMDC,0
ADPMAN,-0
ADRNCPT1,0
ADRNLPVESSEC,-0
ADSK,0
ADSL1,0
ADSL2,0
AG13T16g,0
AG13T17g,0
AG13T18g,0
AG13T1g,0
AG13T2g,0
AG13T3g,0
AGPAT1,-0
AHANDROSTANGLCte,-0
AHEXASE2ly,0
AHEXASEly,0
AIRCr,4.20130008225354e-23
AKGMALtm,-27.7367674220312
AKGt4_3,-100
ALAASNNaEx,100
ALACYSNaEx,0
ALADGLNexR,-100
ALADGLYexR,100
ALAGLNexR,100
ALAGLNNaEx,0
ALAGLYexR,-100
ALASERNaEx,0
ALASm,0
ALAt4,0
ALATA_L,-17.2680668538643
ALATHRNaEx,0
ALCD21_D,100
ALCD21_L,100
ALCD22_D,52.9854172532696
ALCD22_L,-9.14971859486131e-15
ALCD2if,0
ALCD2yf,0
ALDD20x,-0
ALDD20xm,-0
ALDD21,-0
ALDD2xm,100
ALDD2y,-1.82994371905866e-14
ALR2,100
ALR3,100
AMETt2m,-0
AMPDA,1.12338499410276
AMY1e,-0
AMY2e,-0
ANDRSTRNGLCte,-0
ANDRSTRNtr,-2.01199385805791e-15
AOBUTDsm,47.0145827467304
ARABR,0
ARACHCPT1,0
ARACHDt2,100
ARGLYSex,0
ARGNm,0
ASAH1,0
ASCBt4,0
ASNALANaEx,0
ASNCYSNaEx,0
ASNGLNNaEx,0
ASNS1,0
ASNSERNaEx,0
ASNt4,0
ASNTHRNaEx,0
ASPCTr,0
ASPGLUm,0
ASPTAm,0
ATPasel,0
ATPH1e,0
ATPH2e,0
ATPtm,100
B_MANNASEly,0
B3GNT12g,0
B3GNT51g,0
BACCL,0
BACCLm,0
BAMPPALDOX,0
BILDGLCURt,1.54105018503258
BILDGLCURte,0
BILGLCURte,0
BILGLCURtr,1.54105018503257
BILIRED,0
BILIRUBtr,-1.54105018503257
BPNT2,-2.03114310486445e-14
BTND1,-0
BTND1n,-0
BTNDe,-0
BTNDm,-0
BTNPL,-0
BTNPLm,-0
BTNt2,0
BTNt2m,0
BTNt3i,0
BUTt2m,0
C160CPT1,0
C160CPT2,-0
C161CPT1,0
C161CPT12,0
C180CPT1,0
C181CPT1,0
C204CPT1,0
C226CPT1,0
C3STDH1Pr,0
C3STDH1r,0
C3STKR2r,-0
C4STMO1r,-0
C4STMO2Pr,0
C4STMO2r,0
CAATPS,-0
CAT2p,0
CATm,0
CATp,35.7097498607916
CBPPer,50
CBPter,50
CBR2,0
CDIPTr,-0.815859246208576
CDS,0
CDSm,-0
CEPTC,0
CEPTE,0
CERK,0
CERT1gt,0.543885428105344
CERT1rt,0
CERT2gt,0
CERT2rt,0
CHOLt4,5.34831038987106
CHSTEROLtg,0
CITtam,-100
CITtbm,100
CKc,0
CLHCO3tex2,0
CLPNDCPT1,0
CLS_hs,0.36261102143727
CMPACNAtg,-0
CMPSAS,0
CMPSASn,0
CO2ter,-50
CO2tm,-77.1691533292368
CO2tp,0
COKECBESr,0
COQ3m,-0
CRNCARtp,13.6305907319166
CRNt,-1.07918067335979e-26
CSm,0
CSNAT2x,-0
CSNATm,13.6305907319166
CSNATp,13.6305907319166
CYSALANaEx,0
CYSASNNaEx,0
CYSGLNNaEx,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSSERNaEx,0
CYSt4,0
CYSTA,0
CYSTGLUex,0
CYSTHRNaEx,0
CYTDK1,1.21417771768965
CYTK10,100
CYTK10n,-100
CYTK11,-100
CYTK11n,-100
CYTK12,100
CYTK12n,100
CYTK13,-100
CYTK13n,-100
CYTK14,-1.66238708627004
CYTK14n,-100
CYTK1n,100
CYTK2n,100
CYTK3,-100
CYTK3n,-2.315903421397e-14
CYTK4n,100
CYTK5,1.95607153166476
CYTK5n,100
CYTK6,96.8297507506457
CYTK6n,100
CYTK7,-100
CYTK7n,-100
CYTK8,100
CYTK8n,-1.1579517106985e-14
CYTK9,-100
CYTK9n,-100
DADA,10.2566595406447
DADAe,0
DADNK,0
DADNt4,100
DAGK_hs,0
DAGt,-0.543885428105344
DASCBR,-0
DATPtn,0.410044698542419
DCIm,0
DCK1n,-100
DCK2n,100
DCSPTN1COAtx,-1.5596581062126e-24
DCSPTN1CPT1,0
DCSPTN1t,-1.5596316713374e-24
DCTPtn,0.293684445394682
DESAT16_2,0
DESAT18_3,0
DESAT18_4,0
DESAT18_5,0
DESAT18_9,0
DESAT20_1,0
DESAT20_2,0
DGAT,0
DGNSKm,0.307867892450343
DGSNtm,0.307867892450343
DGTPtn,0.307867892450343
DHAAt1r,-0
DHCR241r,0
DHCR242r,0
DHCR243r,0
DHCR71r,-0
DHCR72r,-0
DHCRD1,-0
DHCRD2,0
DHDPBMTm,-0
DHPM1,62.570712658773
D_LACt2,-36.6680810899237
D_LACtm,-47.0145827467304
DLNLCGCPT1,0
DLNLCGt,0
DMATTx,-3.36893854111816e-14
DMHPTCRNCPT2,0
DMHPTCRNt,0
DMHPTCRNte,-0
DMNONCRNCPT2,-0
DMNONCRNt,-0
DNDPt42m,-2.41322260353303e-22
DOPAMT,0
DOPAVESSEC,0
DPGase,0
DPGM,0
DRPA,100
DSAT,0
DTTPtn,0.40718312589083
DURAD,-62.570712658773
DURAD2,100
DURIK1,99.6921321075497
DUTPDPm,0
DUTPDPn,0
EBP1r,0
EBP2r,-0
ECOAH12m,0
ECOAH1m,0
ECOAH1x,0
ECOAH9m,-0
EHGLAT2m,0
EHGLATm,0
EICOSTETCPT1,0
ELAIDCPT1,0
ESTRADIOLGLCt2,0
ESTRIOLGLCte,-0
ESTRONESt,-100
ETF,0
ETFQO,0
ETHAK,0
EX_13_cis_retnglc_e,1.54105018503257
EX_bilglcur_e,-1.54105018503257
EX_bilirub_e,1.54105018503257
EX_chol_e,-5.34831038987106
EX_crn_e,1.07918067335979e-26
EX_dag_hs_e,0.543885428105344
EX_dcsptn1_e,1.5596316713374e-24
EX_dmhptcrn_e,-0
EX_gluala_e,1.54105018503256
EX_gsn_e,-0.307867892450343
EX_gthrd_e,-1.54105018503257
EX_h2o2_e,-100
EX_inost_e,4.29973763577833
EX_lac_D_e,36.6680810899237
EX_nrvnc_e,-1.94722724741665
EX_o2s_e,-100
EX_ps_hs_e,-100
EX_retfa_e,91.2069782186265
EX_Rtotal_e,91.2069782186266
EX_Rtotal2_e,-0
EX_urate_e,100
FACOAL140i,0
