Var1_1,Var1
2AMADPTm,-0
2OXOADOXm,0.0487715127491605
2OXOADPTm,-0
3AIBTm,0
3AIBtm,0
3HAO,-0
3SALAASPm,-0
3SALATAi,-0
4ABUTtm,-1.16088909457513
4MOPt2im,0
AACOAT,0.0444426671479561
AASAD3m,0.0487715127491605
ABTArm,-1.16088909457513
ABUTt2r,-1.16088909457513
ACACT1r,-0.0444426671479561
ACACt2,-100
ACACt2m,-99.4126247365135
ACETONEt2,-0
ACETONEt2m,0
ACITL,0
ACONT,0.05949602548146
ACONTm,100
ACS,0.0710743624410305
ACt2m,0.367679156821444
ACTLMO,0
ACTNMO,-0
ACYP,0
ADK1,2.08706195644077
ADK1m,-0
ADMDC,0
ADPT,1.87700981217534
AHC,0.0624925826578152
AKGDm,0.722012537240465
AKGt4_3,-3.6059099704507e-14
ALAGLNexR,0.0137504293306287
ALAGLYexR,-100
ALAt2r,-100
ALAt4,0
ALATA_L,-0.00413085823660611
ALAtN1,100
AMETt2m,-0
APAT2rm,-0
ARGLYSex,0
ARGN,0
ARGNm,0
ARGtiDF,100
ASNt4,0
ASNtN1,98.208909637829
ASPGLUm,0
ASPTA,-0.00787672914313949
ASPTAm,0
ATP1ter,0.000721474266867523
ATPtm,0
CATm,0
CATp,0
CBPS,0.00406746545774896
CHOLt4,0.00608091655867867
CHSTEROLt,0
CHSTEROLt1,-0
CITL,0.438753519262499
CITtam,-100
CITtbm,5.06634725049012e-27
CKc,0
CO2t,0
CO2ter,-0.00541105700150642
CO2tm,-1.01524368017106
COAtm,0.00268187838967808
CREATt4_2_r,-100
CTPS1,0.00171440760301964
CTPS2,0
CYSGLUexR,-100
CYSGLYexR,-100
CYSt4,0
CYSTGL,0.00164696721152701
CYSTS,0.00164696721152701
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DNDPt11m,0
DNDPt23m,0
DNDPt24m,0
DNDPt34m,0
DNDPt35m,0
DNDPt9m,0
DPGase,0
DPGM,0
DTTPtn,0.000462958660240319
ECOAH1m,-0.0487715127491605
ENO,0.930377661484792
EX_4abut_e,1.16088909457513
EX_ala_L_e,-0.0137504293306603
EX_arg_L_e,-0.075197687560276
EX_asn_L_e,-0.0151136368654567
EX_asp_L_e,-0.00978149122964655
EX_chol_e,-0.00608091655867867
EX_cit_e,-0.00066542381668161
EX_co2_e,0
EX_creat_e,0.0624925826578201
EX_glc_e,-0.497860232081181
EX_gln_L_e,-0.63978624638464
EX_gly_e,0
EX_gthrd_e,-0
EX_h_e,-0.827220414673181
EX_h2o_e,-0
EX_hco3_e,0.599750343427303
EX_his_L_e,-0.00447030420948248
EX_ile_L_e,-0.0101170489347055
EX_lac_L_e,0.294428872613715
EX_leu_L_e,-0.050761231401297
EX_lys_L_e,-0.069711418344568
EX_met_L_e,-0.00705839554188016
EX_nh4_e,0.30087076105958
EX_o2_e,-0.0121399777623772
EX_orn_e,0
EX_phe_L_e,-0.0148226341744112
EX_pi_e,-0.0439021741840434
EX_ser_L_e,-0.103851613982258
EX_thr_L_e,-0.0110581730555727
EX_trp_L_e,-0.000470562060435236
EX_val_L_e,-0.0124698238722296
FBA,0.461026042470228
FDH,0.00072147426684306
FKYNH,0
FORtr,-0.000721474266867522
FTHFDH,0.0162516490352366
FUM,1.103896454275
FUMAC,-0
FUMm,-1.53477324439436
G3PD1,-0.00989442844992873
G3PD2m,0
G5SADrm,0.0145873531441882
G6PDH1rer,-0
G6PDH2r,0.0587494242071307
G6PDH2rer,0.00396810846777137
G6PPer,0
G6Pter,0.00324663420090385
GACMTRc,0.0624925826578152
GAPD,0.930377661484791
GCC2am,0
GCC2bim,0
GCC2cm,0
GCCam,0
GCCbim,0
GCCcm,0
GHMT2r,0.085540327610508
GHMT2rm,0
GK1,0.00162730446497275
GLCt1r,100
GLCt4,-99.5021397679188
GLNt4,0
GLNtm,0.614582636877179
GLNtN1,-100
GLUCYS,0
GLUDxm,-100
GLUDym,99.6811236956129
GLUNm,0.614582636877179
GLUPRT,0.00399005223437789
GLUt2m,0.00490196249697632
GLUTCOADHm,0.437229590123142
GLUVESSEC,0
GLYAMDTRc,0.0624925826578152
GLYATm,0
GLYt4,0
GLYtm,0
GMPS2,0.00162730446497275
GND,0.0587494242071307
GNDer,0.00396810846777137
GTHRDt,-3.9767280147957
H2CO3D,1.24301363166879
H2O2syn,0
H2Oter,-0.00324663420090385
HACD1m,-0.0487715127491605
HACD9m,0
HEX1,0.497860232081184
HIBDm,-0
HISt4,0
HISTAtu,0
HIStiDF,0
HMGCOASim,0.0487715127491605
HMGCOAtm,-0.00432884560120513
HMGLm,0.0444426671479554
HOMt4,0
Htm,0
Htr,-0.00288589706747009
ICDHy,0
ICDHyrm,0.0594960254814791
ILETA,0
ILEtec,100
KCC2t,99.8961483860177
KYN3OX,0
LDH_L,-0.294428872613715
LEUt4,0
LEUt5m,0
LEUTA,0.0314682576527503
LEUTAm,0
LEUtec,0.704297907116563
L_LACDcm,0
L_LACt2r,-100
L_LACt4r,99.7055711273862
LYStiDF,100
LYStm,0.0487715127491605
MACACI,-0
MALtm,3.95640883920002
MCCCrm,0
MDH,-0.430876790119359
ME1m,0
ME2,0
ME2m,0
METAT,0.0624925826578152
METS,0.0608456154462882
METt4,0
METtec,0.00705839554188016
MGCHrm,0
MMEm,-0.00164696721152701
MMMm,0.00164696721152701
MMSAD3m,-0
MTHFC,0.0242317535039924
MTHFD,0.0242317535039923
NADH2_u10m,0
NAHCO3_HCLt,-100
NAt,4.3318350142371
NDPK1,-0.220788403404932
NDPK1m,0.224428416313127
NDPK2,100
