Var1_1,Var1
10FTHFtm,-1.47339777415316
24_25VITD2Hm,0
24_25VITD3Hm,0
2AMACHYD,0
2AMADPTm,0
2HBO,-0.99999999999997
2HBt2,-100
2OXOADOXm,-0
2OXOADPTm,-0
3DSPHR,0.0559211999104523
3HAO,-0
3HBCDm,0
3HKYNAKGAT,0
3HPCOAHYD,-0
3MOBt2im,1.12765678467487
3MOPt2im,0.914893344846298
3NTD7l,-0
3SALAASPm,0
3SALATAi,0
3SALATAim,-0
3SPYRSPm,-0
4HGLSDm,-0
4MOPt2im,-0
4NPHSULT,0
5DHFtl,0
5HOXINDACTOXm,-0
6DHFtm,0
A4GALTc,-0
A4GALTg,0
ABUTD,0
ACACT1r,0.28191419616872
ACACT1x,0
ACACt2,-100
ACACt2m,-100
ACCOAC,0
ACCOACm,0
ACCOAgt,0
ACCOAL,0
ACCOALm,0
ACCOAtr,0
ACETONEt2,-0
ACETONEt2m,-0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,-0
ACGAM6PSi,0
ACGAMK,-0
ACGAMPM,0
ACGPID,0
ACHVESSEC,0
ACITL,0
ACNAM9PL,0
ACNAM9PL2,0
ACNMLr,-0
ACOAD10m,0
ACOAD1fm,0
ACOAD8m,49.9363817465651
ACOAD9m,0
ACOAO7p,0
ACOATA,0
ACODA,-0
ACONT,0.154257411493844
ACP1_FMN,0
ACS,0
ACS2,0
ACSm,-0
ACYP,0
ADAe,1.14834180818065
ADEt,-98.6379929003166
ADEtl,-0
ADK1,0.0834486632131915
ADK1m,1.83351322957362e-28
ADKd,99.9578400332598
ADMDC,0.531267389427208
ADNCYC,0
ADNK1,0.213665291502743
ADNt,98.8516581918193
ADNtl,-0
ADNtm,0
ADPGLC,-0
ADPMAN,-0
ADPRDP,0
ADRNCPT1,0
ADSS,0
AG13T10g,-0
AG13T11g,-0
AG13T12g,-0
AG13T13g,-0
AG13T14g,-0
AG13T15g,-0
AG13T16g,0
AG13T17g,-0
AG13T18g,-0
AG13T1g,-0
AG13T2g,-0
AG13T3g,-0
AG13T4g,-0
AG13T5g,-0
AG13T6g,-0
AG13T7g,-0
AG13T8g,-0
AG13T9g,-0
AGPAT1,0
AHC,0
AHEXASE2ly,0
AHEXASEly,0
AICART,-0
AIRCr,-0
AKGDm,0
AKGMALtm,-100
AKR1C1,-0
ALAASNNaEx,100
ALACYSNaEx,0
ALADGLNexR,-100
ALADGLYexR,69.3005105895603
ALAGLNexR,-100
ALAGLNNaEx,0
ALAGLYexR,100
ALAR,100
ALASERNaEx,0
ALASm,0
ALAt4,100
ALATA_L,-2.89894704019976
ALATHRNaEx,0
ALAtN1,-100
ALCD1,-0
ALCD21_D,-0
ALCD21_L,-0
ALCD22_D,0
ALCD22_L,0
ALCD2if,-0
ALDD20x,-0
ALDD20xm,-0
ALDD21,-0
ALDD2x,0
ALDD2xm,-0
ALDD2y,0
AMANK,0
AMY1e,-0
AMY2e,-0
ANDRSTRNte,-0
ARACHCPT1,0
ARACHDt2,-5.78154931802413
ARGLYSex,0
ARGN,0.851066551536694
ARGNm,0
ARGSS,0
ARGtiDF,100
ARGtm,0
ARSA,-0
ASCBt4,-100
