Var1_1,Var1
10FTHFtm,-5.41481339345717
2AMACSULT,-0
2AMADPTm,0
2HBO,0
2HBt2,-100
2OXOADOXm,-0
2OXOADPTm,-0
34DHOXPEGOX,0
34DHPHAMT,0
34DHPHEt,-1.8187249124751e-14
34DHPLACOX,0
34DHPLACOX_NADP,0
34DHXMANDACOX,-0
3AIBTm,0
3AIBtm,0
3DSPHR,0.0559211999104526
3HAO,0
3HBCDm,0
3HKYNAKGAT,0
3HLYTCL,-1.8187249124751e-14
3HPCOAHYD,-0
3HXKYNDCL,0
3M4HDXPAC,-0
3MOBt2im,0
3MOPt2im,0
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP,0
3NTD7l,-0
3SALAASPm,-0
3SALACBOXL,-0
3SALATAi,0
3SALATAim,0
4HGLSDm,-0
4HOXPACDOX_NADP,-0
4MOPt2im,0
4NPHSULT,0
5ADTSTSTERONEGLCte,-0
5ADTSTSTERONESULT,0
5FTHFt2,-0
5HLTDL,-0
5HOXINDACTO2OX,0
5HOXINDACTOXm,0
5HXKYNDCL,-0
5MTHFt2,-0
A4GALTc,-0
A4GALTg,0
AACOAT,0.999999999999948
AACTOOR,0
AACTtm,0
ABTArm,0
ABUTD,-0
ABUTt2r,-0
ABUTt2rL,0
ACACT10m,0
ACACT1r,-0.999999999999948
ACACT1rm,0
ACACT1x,2.99999999999997
ACACt2,-12.9787329303786
ACACt2m,7.4881218876637e-28
ACACT4p,-0
ACACT5p,-0
ACACT6p,-0
ACACT7p,-0
ACACT8p,-0
ACACT9p,-0
ACCOAC,0
ACCOACm,0
ACCOAgt,0
ACCOAL,0
ACCOALm,0
ACCOAtr,0
ACETONEt2,-0
ACETONEt2m,-0
ACGAM2E,0
ACGAM6PSi,1.9999999999999
ACGAMK,0
ACGAMPM,0
ACGPID,0
ACGSm,0
ACHVESSEC,0
ACITL,0
ACNAM9PL,0
ACNAM9PL2,0
ACNAMlt,0
ACNAMPH,0
ACOAD10m,0
ACOAD1fm,0
ACOAD8m,42.875637617962
ACOAD9m,0
ACOAO7p,0
ACOATA,0
ACONT,100
ACONTm,-1.38269644732105
ACP1_FMN,0
ACRNtm,0
ACS,0
ACS2,0
ACSm,-0
ACYP,0
ADA,0
ADAe,0
ADEt,-5.16899771136327
ADK1,100
ADK1m,0.147158527615195
ADK3m,-0.147158527615204
ADKd,52.3977051248616
ADMDC,0.53126738942721
ADNCYC,0
ADNK1,0
ADNt,76.1967724187058
ADNtm,-8.8210216325781e-15
ADPGLC,-0
ADPMAN,-0
ADPRDP,-0
ADPRIBt,0
ADPT,47.9631186942565
ADRNCOAtx,0.99999999999999
ADRNCPT1,0
ADRNCPT2,0
ADRNCRNt,0
ADRNt,-99
ADSELK,0
ADSK,0
ADSL1,2.15465589434039e-24
ADSL2,0
ADSS,0
AG13T10g,0
AG13T11g,0
AG13T12g,0
AG13T13g,0
AG13T14g,0
AG13T15g,0
AG13T16g,0
AG13T17g,0
AG13T18g,0
AG13T1g,0
AG13T2g,0
AG13T3g,0
AG13T4g,0
AG13T5g,0
AG13T6g,0
AG13T7g,0
AG13T8g,0
AG13T9g,0
