Var1_1,Var1
2AMADPTm,0
2OXOADOXm,0.00432884560120513
2OXOADPTm,0
34DHPHEt,0
3AIBTm,0
3AIBtmi,0
3HAO,-0
3SALAASPm,0
3SALATAi,0
AATAi,0
ABTArm,-0
ACACT10m,-1.94924389174908e-29
ACACt2m,0
ACETONEt2,-0
ACETONEt2m,0
ACITL,0.0915234366383569
ACOAD10m,-9.69855180369926e-30
ACONTm,100
ACTLMO,0
ACTNMO,-0
ADK1m,-0
ADMDC,0
AKGt4_3,-100
ALAGLNexR,-100
ALAGLYexR,-100
ALASm,0
ALAt4,0
ALAtN1,26.3693121375669
ALDD2xm,-0
ALDD2y,0
ALR2,0
AMETt2m,0
ARGLYSex,0
ARGNm,0
ARGt4,0
ASNt4,0
ASNtN1,-100
ASPGLUm,0
ATPtm,0
BHMT,0
CATm,-0
CATp,-0
CBPPer,0
CHOLK,0
CHOLt4,0.00608091655867867
CHSTEROLt1,-0
CITtam,-100
CITtbm,0
CKc,0
CO2ter,-0.00144294853373504
CO2tm,-0.508395038803242
COAtm,0.00432884560120514
CREATt4_2_r,-100
CSm,0.0951868584228633
CYSGLUexR,-100
CYSGLYexR,-100
CYSt4,0
CYSTA,0
DATPtn,0.000466212208230702
DCTPtn,0.000333913044839133
DGTPtn,0.000350039326182772
DPGase,0.156614071117699
DPGM,0.156614071117699
DTTPtn,0.000462958660240318
ECOAH1m,-0.00432884560120513
ECOAH9m,-9.47868237856156e-30
EX_chol_e,-0.00608091655867867
EX_hco3_e,1.62363972587958
EX_lnlc_e,-0.00855453251232387
FADH2tru,0.000721474266867522
FADtru,0.000721474266867522
FDH,0.000721474266867522
FKYNH,0
FORtr,-0.000721474266867522
FUMAC,-0
FUMm,1.00287914295307
FUMtm,0.69993444928982
G3PD2m,0
G6PDH1rer,0
G6PDH2rer,0.00288589706747009
G6PPer,0
G6Pter,0.00288589706747009
GCC2am,0
GCC2bim,0
GCC2cm,0
GCCam,99.9934324002883
GCCbim,99.9934324002882
GCCcm,99.9934324002882
GLCt1r,100
GLNtm,0.598328653775059
GLNtN1,100
GLUDxm,-0.591761054063311
GLUNm,0.598328653775059
GLUt2m,-0.882751964857393
GLUTCOADHm,0.00432884560120513
GLUVESSEC,0
GLYAMDTRc,0
GLYATm,0
GLYt4,0
GLYtm,-0.00656759971174778
GNDer,0
H2O2syn,0
H2Oter,-0.00360737133433761
H2Otp,0
HACD1m,-0.00432884560120513
HACD9m,-9.47868237856156e-30
HIBDm,-0
HISt4,0
HIStiDF,0
HMGCOASim,0.00432884560120513
HMGCOAtm,-0.00432884560120513
HMGLm,0
HOMt4,0
ICDHy,0
ICDHyrm,0.00432884560120513
ILEt5m,-1.02351328170698e-29
ILETAm,-8.5204808848961e-30
ILEtec,-100
KCC2t,100
KYN3OX,0
LEUt4,0
LEUtec,-100
L_LACDcm,0
LYStiDF,100
MACACI,-0
MDHm,1.12026718212142
ME1m,0.0995157040240684
ME2,0.198241638715232
ME2m,0
MELATNOX,1.11200526146548
METAT,0.316658284435708
METLEUex,0
METS,0.31501131722418
METt4,0
METtec,100
MMSAD1m,-0
NADPHtru,0.00288589706747009
NADPtru,0.00288589706747009
NAHCO3_HCLt,-100
NAt,-100
NDPK1m,0
NKCC2t,-100
O2ter,0.00577179413494018
O2tm,0.87657623503906
O2tp,0
OIVD1m,-0
OIVD2m,-0
OIVD3m,0
ORNt3m,-0.00432884560120513
ORNTArm,0
ORNtiDF,0
OXAHCOtex,-0
