""	"symbol"	"gene_number"
"AOC1"	"AOC1"	"26.1"
"AOC2"	"AOC2"	"314.1"
"AOC3"	"AOC3"	"8639.1"
"AOC2"	"AOC2"	"314.2"
"CYP24A1"	"CYP24A1"	"1591.1"
"CYP27B1"	"CYP27B1"	"1594.1"
"SDS"	"SDS"	"10993.1"
"SULT1A3"	"SULT1A3"	"6818.1"
"SLC25A21"	"SLC25A21"	"89874.1"
"UEVLD"	"UEVLD"	"55293.1"
"LDHB"	"LDHB"	"3945.1"
"LDHAL6B"	"LDHAL6B"	"92483.1"
"LDHAL6A"	"LDHAL6A"	"160287.1"
"LDHC"	"LDHC"	"3948.2"
"LDHC"	"LDHC"	"3948.1"
"LDHA"	"LDHA"	"3939.1"
"ACOT12"	"ACOT12"	"134526.1"
"ACOX1"	"ACOX1"	"51.2"
"ACOX1"	"ACOX1"	"51.1"
"ACY1"	"ACY1"	"95.1"
"ACO2"	"ACO2"	"50.1"
"ACO1"	"ACO1"	"48.1"
"ACOX2"	"ACOX2"	"8309.1"
"ACP1"	"ACP1"	"52.3"
"ACPP"	"ACPP"	"55.1"
"ACP1"	"ACP1"	"52.1"
"ACP1"	"ACP1"	"52.2"
"SLC25A20"	"SLC25A20"	"788.1"
"SLC16A7"	"SLC16A7"	"9194.1"
"ACSS2"	"ACSS2"	"55902.1"
"ACSS2"	"ACSS2"	"55902.2"
"SLC16A3"	"SLC16A3"	"9123.1"
"SLC16A1"	"SLC16A1"	"6566.1"
"SLC4A5"	"SLC4A5"	"57835.2"
"AACS"	"AACS"	"65985.1"
"SLC4A4"	"SLC4A4"	"8671.1"
"SLC4A5"	"SLC4A5"	"57835.3"
"ASMT"	"ASMT"	"438.1"
"SLC4A5"	"SLC4A5"	"57835.4"
"CYP2E1"	"CYP2E1"	"1571.1"
"SLC4A5"	"SLC4A5"	"57835.1"
"OGDH"	"OGDH"	"4967.2"
"ADA"	"ADA"	"100.1"
"PDHX"	"PDHX"	"8050.1"
"DLD"	"DLD"	"1738.1"
"SLC29A2"	"SLC29A2"	"3177.1"
