Var1,ASP14_i10_plus_high
2AMACHYD,NaN
2AMADPTm,0.363135416666667
2DR1PP,NaN
2HCO3_NAt,0.05696875
2OXOADOXm,0.487697916666667
2OXOADPTm,0.363135416666667
34HPPOR,0.0154375
3AIBt,NaN
3AIBTm,0.320135416666667
3AIBtm,0.320135416666667
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.666229166666667
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,0.9936875
3SALATAi,1.88575
3SALATAim,1.81370833333333
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,0.505395833333333
AACOAT,0.329
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,0.666229166666667
ABTArm,0.320135416666667
ABUTD,1.76061458333333
ABUTt2r,0.223520833333333
ABUTt4_2_r,0.0146041666666667
ACACT10m,2.4249375
ACACT1r,1.869
ACACt2,2.45577083333333
ACACt2m,2.45577083333333
ACETONEt2,2.45577083333333
ACETONEt2m,2.45577083333333
ACITL,1.98171875
ACOAD10m,1.89155208333333
ACOAD9m,1.89155208333333
ACOAHi,NaN
ACONT,1.77859375
ACONTm,1.39436458333333
ACS,0.329
ACSm,0.0421770833333333
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.0448541666666667
ACTNMO,0.0448541666666667
ACYP,1.362875
ADCim,NaN
ADEt,0.396489583333333
ADK1,2.17594791666667
ADK1m,2.17594791666667
ADK3,0.08875
ADK3m,2.02517708333333
ADMDC,1.84854166666667
ADNK1,1.80752083333333
ADPT,1.81516666666667
ADPtx,NaN
AGTim,NaN
AHC,2.28611458333333
AKGDm,0.487697916666667
AKGMALtm,1.67865625
AKGt4_3,0.00803125
ALAASNNaEx,2.07786458333333
ALACYSNaEx,2.07786458333333
ALAGLNexR,0.0331875
ALAGLNNaEx,2.07786458333333
ALAGLYexR,0.0331875
ALASERNaEx,2.07786458333333
ALAt2r,0.223520833333333
ALAt4,3.14527083333333
ALATA_L,1.0310625
ALATHRNaEx,2.07786458333333
ALAtN1,0.154583333333333
AMCOXO,NaN
AMETt2m,0.7603125
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.320135416666667
ARGLYSex,0.832416666666667
ARGN,1.24352083333333
ARGNm,1.24352083333333
ARGt4,NaN
ARGtiDF,1.54390625
ARGtm,0.327270833333333
ASNALANaEx,2.07786458333333
ASNCYSNaEx,2.07786458333333
ASNGLNNaEx,2.07786458333333
ASNS1,2.53566666666667
ASNSERNaEx,2.07786458333333
ASNt4,3.14527083333333
ASNTHRNaEx,2.07786458333333
ASNtN1,0.154583333333333
ASPGLUm,0.9936875
ASPTA,1.88575
ASPTAm,1.81370833333333
ATP1ter,NaN
ATPS4m,1.19658333333333
ATPtm,2.81172916666667
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.90147916666667
CATp,1.90147916666667
CBPS,1.54346875
CBPSam,0.437885416666667
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,0.384364583333333
CHSTEROLt,0.524291666666667
CHSTEROLt1,0.0503333333333333
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,0.112572916666667
CITRtm,0.327270833333333
CITt4_2,NaN
CITtam,1.15980208333333
CITtbm,1.15980208333333
CK,0.106072916666667
CKc,1.85282291666667
CLFORtex,NaN
CLHCO3tex2,0.12171875
CLOHtex2,0.12171875
CLOXAtex2,0.12171875
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,0.376291666666667
CREATt4_2_r,0.298104166666667
CREATtmdiffir,NaN
CSm,2.418875
CTPS1,1.82569791666667
CTPS2,1.82569791666667
CYOR_u10m,1.45448958333333
CYSALANaEx,2.07786458333333
CYSASNNaEx,2.07786458333333
CYSGLNNaEx,2.07786458333333
CYSGLUexR,1.14954166666667
CYSGLYexR,2.349
CYSO,0.0411041666666667
CYSSERNaEx,2.07786458333333
CYSt4,3.14527083333333
CYStec,NaN
CYSTGL,1.7185625
CYSTHRNaEx,2.07786458333333
CYSTS,1.45255208333333
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.550208333333333
ATPM,NaN
DMGDHm,0.0172708333333333
DMGtm,NaN
DNDPt11m,0.537333333333333
DNDPt23m,0.537333333333333
DNDPt24m,0.537333333333333
DNDPt34m,0.537333333333333
DNDPt35m,0.537333333333333
DNDPt9m,0.537333333333333
DPGase,2.05951041666667
DPGM,2.05951041666667
DRBK,0.0329270833333333
DTTPtn,NaN
ECOAH12m,2.4249375
ECOAH1m,2.4249375
ECOAH9m,2.4249375
ENO,3.70241666666667
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
EX_leu_L_e,NaN
EX_lys_L_e,NaN
EX_met_L_e,NaN
EX_mthgxl_e,NaN
EX_nh4_e,NaN
EX_o2_e,NaN
EX_o2s_e,NaN
EX_orn_e,NaN
EX_phe_L_e,NaN
EX_pi_e,NaN
EX_pro_L_e,NaN
EX_pyr_e,NaN
EX_ser_L_e,NaN
EX_so4_e,NaN
EX_succ_e,NaN
EX_thr_L_e,NaN
EX_trp_L_e,NaN
EX_tyr_L_e,NaN
EX_urea_e,NaN
EX_val_L_e,NaN
FALDtm,NaN
FBA,3.17370833333333
FBP,NaN
FDH,0.00572916666666667
FKYNH,1.61132291666667
FORtr,NaN
FTCD,NaN
FTHFDH,0.379010416666667
FUM,1.41785416666667
FUMAC,0.1595625
FUMm,1.41785416666667
FUMSO3tm,0.24915625
FUMSO4tm,0.24915625
FUMtm,0.24915625
FUMTSULtm,0.24915625
G3PD1,0.0165208333333333
G3PD2m,0.0668958333333333
G5SADrm,NaN
G5SADs,NaN
G5SDym,1.46075
G6PDA,1.73122916666667
G6PDH1rer,0.439333333333333
G6PDH2r,0.928729166666667
G6PDH2rer,0.928729166666667
G6PPer,1.43583333333333
G6Pter,0.994520833333333
GABAVESSEC,NaN
GACMTRc,0.75271875
GAPD,3.7493125
GCC2am,0.029625
GCC2bim,0.029625
GCC2cm,0.029625
GCCam,0.029625
