Var1,ASP14_i10_plus_low
2AMACHYD,NaN
2AMADPTm,0.129479166666667
2DR1PP,NaN
2HCO3_NAt,0.03
2OXOADOXm,0.465229166666667
2OXOADPTm,0.129479166666667
34HPPOR,0.0262708333333333
3AIBt,NaN
3AIBTm,0.2516875
3AIBtm,0.2516875
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.216177083333333
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.04008333333333
3SALATAi,1.4343125
3SALATAim,1.90154166666667
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,0.0162708333333333
5MTHFt2,0.26353125
AACOAT,0.419145833333333
AACTOOR,0.0144375
AACTtm,NaN
AASAD3m,NaN
AATAi,0.216177083333333
ABTArm,0.2516875
ABUTD,1.23071875
ABUTt2r,0.255083333333333
ABUTt4_2_r,0.019375
ACACT10m,2.29941666666667
ACACT1r,1.30432291666667
ACACt2,2.34516666666667
ACACt2m,2.34516666666667
ACETONEt2,2.34516666666667
ACETONEt2m,2.34516666666667
ACITL,1.88853125
ACOAD10m,1.59416666666667
ACOAD9m,1.59416666666667
ACOAHi,NaN
ACONT,1.54338541666667
ACONTm,1.21852083333333
ACS,0.419145833333333
ACSm,0.0272708333333333
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.025375
ACTNMO,0.025375
ACYP,0.752739583333333
ADCim,NaN
ADEt,0.220333333333333
ADK1,2.26242708333333
ADK1m,2.26242708333333
ADK3,0.7958125
ADK3m,1.72854166666667
ADMDC,2.085375
ADNK1,1.87260416666667
ADPT,1.82752083333333
ADPtx,NaN
AGTim,NaN
AHC,2.11702083333333
AKGDm,0.465229166666667
AKGMALtm,1.01126041666667
AKGt4_3,NaN
ALAASNNaEx,1.91769791666667
ALACYSNaEx,1.91769791666667
ALAGLNexR,0.080875
ALAGLNNaEx,1.91769791666667
ALAGLYexR,0.080875
ALASERNaEx,1.91769791666667
ALAt2r,0.255083333333333
ALAt4,3.18886458333333
ALATA_L,0.741291666666667
ALATHRNaEx,1.91769791666667
ALAtN1,0.018375
AMCOXO,NaN
AMETt2m,0.434552083333333
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.2516875
ARGLYSex,0.8515625
ARGN,0.78921875
ARGNm,0.78921875
ARGt4,NaN
ARGtiDF,1.33767708333333
ARGtm,0.167041666666667
ASNALANaEx,1.91769791666667
ASNCYSNaEx,1.91769791666667
ASNGLNNaEx,1.91769791666667
ASNS1,1.80817708333333
ASNSERNaEx,1.91769791666667
ASNt4,3.18886458333333
ASNTHRNaEx,1.91769791666667
ASNtN1,0.018375
ASPGLUm,1.04008333333333
ASPTA,1.4343125
ASPTAm,1.90154166666667
ATP1ter,NaN
ATPS4m,1.22240625
ATPtm,2.78991666666667
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.59028125
CATp,1.59028125
CBPS,0.915770833333333
CBPSam,0.159885416666667
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,0.301822916666667
CHSTEROLt,0.7273125
CHSTEROLt1,0.0602395833333333
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,0.0444270833333333
CITRtm,0.167041666666667
CITt4_2,NaN
CITtam,1.0805
CITtbm,1.0805
CK,0.03421875
CKc,1.73998958333333
CLFORtex,NaN
CLHCO3tex2,0.265270833333333
CLOHtex2,0.265270833333333
CLOXAtex2,0.265270833333333
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,0.348625
CREATt4_2_r,0.328697916666667
CREATtmdiffir,NaN
CSm,2.27929166666667
CTPS1,1.20046875
CTPS2,1.20046875
CYOR_u10m,1.46125
CYSALANaEx,1.91769791666667
CYSASNNaEx,1.91769791666667
CYSGLNNaEx,1.91769791666667
CYSGLUexR,0.75975
CYSGLYexR,1.95089583333333
CYSO,0.0177395833333333
CYSSERNaEx,1.91769791666667
CYSt4,3.18886458333333
CYStec,NaN
CYSTGL,0.945364583333333
CYSTHRNaEx,1.91769791666667
CYSTS,0.791489583333333
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.602697916666667
ATPM,NaN
DMGDHm,0.06478125
DMGtm,NaN
DNDPt11m,0.401125
DNDPt23m,0.401125
DNDPt24m,0.401125
DNDPt34m,0.401125
DNDPt35m,0.401125
DNDPt9m,0.401125
DPGase,2.19135416666667
DPGM,2.19135416666667
DRBK,0.109322916666667
DTTPtn,NaN
ECOAH12m,2.29941666666667
ECOAH1m,2.29941666666667
ECOAH9m,2.29941666666667
ENO,3.61897916666667
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
EX_leu_L_e,NaN
EX_lys_L_e,NaN
EX_met_L_e,NaN
EX_mthgxl_e,NaN
EX_nh4_e,NaN
EX_o2_e,NaN
EX_o2s_e,NaN
EX_orn_e,NaN
EX_phe_L_e,NaN
EX_pi_e,NaN
EX_pro_L_e,NaN
EX_pyr_e,NaN
EX_ser_L_e,NaN
EX_so4_e,NaN
EX_succ_e,NaN
EX_thr_L_e,NaN
EX_trp_L_e,NaN
EX_tyr_L_e,NaN
EX_urea_e,NaN
EX_val_L_e,NaN
FALDtm,NaN
FBA,3.2653125
FBP,NaN
FDH,NaN
FKYNH,1.5104375
FORtr,NaN
FTCD,NaN
FTHFDH,0.0955104166666667
FUM,0.928979166666667
FUMAC,0.4978125
FUMm,0.928979166666667
FUMSO3tm,0.119270833333333
FUMSO4tm,0.119270833333333
FUMtm,0.119270833333333
FUMTSULtm,0.119270833333333
G3PD1,0.00525
G3PD2m,0.128729166666667
G5SADrm,NaN
G5SADs,NaN
G5SDym,1.70891666666667
G6PDA,1.532375
G6PDH1rer,0.410197916666667
G6PDH2r,0.944885416666667
G6PDH2rer,0.944885416666667
G6PPer,1.28935416666667
G6Pter,0.167802083333333
GABAVESSEC,NaN
GACMTRc,0.477333333333333
GAPD,3.8005
GCC2am,0.03571875
GCC2bim,0.03571875
GCC2cm,0.03571875
GCCam,0.03571875
GCCbim,0.03571875
GCCcm,0.03571875
GF6PTA,2.19592708333333
GHMT2r,0.508197916666667
GHMT2rm,2.07978125
GK1,1.60315625
GLCMter,NaN
GLCt1r,1.52466666666667
GLCt2_2,NaN
GLCt4,2.09991666666667
GLCter,NaN
GLCURter,NaN
GLNALANaEx,1.91769791666667
GLNASNNaEx,1.91769791666667
GLNCYSNaEx,1.91769791666667
GLNS,2.04259375
GLNSERNaEx,1.91769791666667
GLNt4,3.18886458333333
GLNTHRNaEx,1.91769791666667
GLNtm,NaN
GLNtN1,0.018375
GLU5Km,1.70891666666667
GLUCYS,0.747770833333333
GLUDC,0.324635416666667
GLUDxm,1.72244791666667
GLUDym,1.72244791666667
GluForTx,NaN
GLUNm,2.19452083333333
GLUPRT,1.22979166666667
GLUt2m,1.04008333333333
GLUTCOADHm,0.483125
GLUVESSEC,0.00310416666666667
GLXtm,NaN
GLXtp,NaN
GLYAMDTRc,0.00782291666666667
GLYATm,0.709270833333333
GLYBt4_2_r,NaN
GLYBtm,NaN
GLYC3Ptm,NaN
GLYOp,NaN
GLYt2r,0.255083333333333
GLYt4,3.18886458333333
GLYt7_211_r,0.35425
GLYtm,NaN
GLYtp,NaN
GLYVESSEC,NaN
GMPS2,1.96639583333333
GND,2.35391666666667
GNDer,2.35391666666667
GNMT,NaN
GTHO,1.05221875
GTHOm,1.05221875
GTHP,3.17959375
GTHPm,2.60845833333333
GTHRDt,NaN
GTHS,1.14611458333333
GULNDer,NaN
GULNter,NaN
H2CO3D,0.61721875
H2O2syn,0.01125
H2O2t,NaN
H2O2tm,NaN
H2O2tp,NaN
H2Ot,0.27165625
H2Oter,NaN
H2Otm,NaN
H2Otp,NaN
HACD1m,2.29941666666667
HACD9m,1.54505208333333
HCO3_CLt,0.358354166666667
HEX1,1.66810416666667
HGNTOR,0.05659375
HIBDm,1.263625
HISD,NaN
HISDC,NaN
HISt4,3.18886458333333
HISTAtu,0.301822916666667
HISTAVESSEC,0.821666666666667
HIStiDF,0.156729166666667
HIStN1,NaN
HKYNH,0.323197916666667
HMGCOASim,0.00883333333333333
HMGCOAtm,NaN
HMGLm,0.68953125
HOMt4,1.33767708333333
Htm,0.7715625
Htr,NaN
Htx,NaN
ICDHxm,1.24470833333333
ICDHy,1.91676041666667
ICDHyrm,0.9054375
ILEt4,NaN
ILEt5m,NaN
ILETA,2.9358125
ILETAm,0.949958333333333
ILEtec,0.200375
IZPN,0.00586458333333333
KCC2t,0.312322916666667
KYN3OX,NaN
KYNAKGAT,0.216177083333333
KYNATESYN,NaN
LDH_L,3.096125
LEUt4,1.95089583333333
LEUt5m,NaN
LEUTA,2.9358125
LEUTAm,0.949958333333333
LEUtec,0.200375
L_LACDcm,0.628375
L_LACt2r,2.34516666666667
L_LACt4r,NaN
LYSt4,0.301822916666667
LYStiDF,1.33767708333333
LYStm,0.167041666666667
MACACI,0.3456875
MALSO3tm,0.119270833333333
MALSO4tm,0.119270833333333
MALtm,0.119270833333333
MALTSULtm,0.119270833333333
MCCCrm,0.406302083333333
MDH,2.52677083333333
MDHm,2.52677083333333
ME1m,0.684677083333333
ME2,1.21178125
ME2m,0.684677083333333
METAT,2.1298125
METLEUex,0.75975
METS,1.302125
METt4,3.18886458333333
METtec,0.200375
MGCHrm,0.263572916666667
MGSA,NaN
MGSA2,NaN
MMEm,1.04575
MMMm,1.07160416666667
MMSAD3m,0.518020833333333
MMTSADm,NaN
MTHFC,1.6241875
MTHFD,1.6241875
MTHGXLt,NaN
NADH2_u10m,0.363239583333333
NADHtpu,NaN
NADHtru,NaN
NADPHtru,NaN
NADPtru,NaN
NADtpu,NaN
NADtru,NaN
NAHCO3_HCLt,0.149145833333333
NAt,2.09991666666667
NAt3_1,0.850927083333333
NAt5,0.850927083333333
NCCt,0.00565625
NDPK1,1.85904166666667
NDPK1m,1.66207291666667
NDPK2,1.85904166666667
NDPK3,1.85904166666667
NDPK4,1.85904166666667
NDPK5,1.85904166666667
NDPK8,1.85904166666667
NDPK9,1.85904166666667
NH4t3r,NaN
NH4tp,NaN
NKCC2t,1.43360416666667
NRPPHRt4_2_r,NaN
NRPPHRtu,0.0609270833333333
NRPPHRVESSEC,0.821666666666667
NTD7,1.1185625
O2St,NaN
O2Stm,NaN
O2Stx,NaN
O2t,NaN
O2ter,NaN
O2tm,NaN
O2tp,NaN
OBDHc,NaN
OCBTm,NaN
OIVD1m,0.779666666666667
OIVD2m,0.779666666666667
OIVD3m,0.779666666666667
ORNDC,1.44213541666667
ORNt3m,0.167041666666667
ORNt4m,0.167041666666667
ORNTArm,2.4368125
ORNtiDF,1.33767708333333
OXAHCOtex,1.27484375
P5CDm,0.03009375
P5CRm,1.0155
P5CRxm,1.0155
PCLAD,0.0111979166666667
PCm,0.15325
PCREATtmdiffir,NaN
PDHm,1.27684375
PE_HStm,NaN
PEPCK,NaN
PEPCKm,0.667041666666667
PFK,1.80011458333333
PGCD,1.96328125
PGI,2.37219791666667
PGK,2.74171875
PGL,0.690666666666667
PGLer,0.410197916666667
PGM,2.19135416666667
PHEt4,3.18886458333333
PHEtec,0.200375
PIt7,NaN
PIter,0.167802083333333
PPA,2.34241666666667
PPAm,2.09666666666667
PPCOACm,NaN
PPCOAOm,1.59416666666667
PPItr,NaN
PPM,1.05328125
PRFGS,0.86465625
PRO1xm,NaN
PROD2m,NaN
PROt2r,0.255083333333333
PROt4,3.18886458333333
PRPNCOAHYDm,2.29941666666667
PRPPS,1.28559375
PSERT,1.91515625
PSFLIPm,0.00241666666666667
PSP_L,1.3815625
PTRCOX1,0.0144375
PUNP1,1.00405208333333
PYK,3.03658333333333
PYRt2m,2.34516666666667
PYRt2p,2.34516666666667
PYRt2r,2.34516666666667
RETNt,NaN
RPE,1.56982291666667
RPI,0.319364583333333
SACCD3m,1.08130208333333
SACCD4m,1.08130208333333
SARCStm,NaN
SARDHm,0.0161354166666667
SERALANaEx,1.91769791666667
SERASNNaEx,1.91769791666667
SERCYSNaEx,1.91769791666667
SERGLNexR,0.080875
SERGLNNaEx,1.91769791666667
SERGLYexR,0.080875
SERHL,NaN
SERLYSNaex,0.0117708333333333
SERt4,3.18886458333333
SERTHRNaEx,1.91769791666667
SERtN1,0.018375
SO4CLtex2,0.265270833333333
SO4HCOtex,1.27484375
SO4OXAtex2,0.265270833333333
SO4t4_2,0.113833333333333
SPMDOX,NaN
SPMS,1.44122916666667
SPODM,2.67378125
SPODMe,NaN
SPODMm,1.76270833333333
SPODMx,2.67378125
SPRMS,2.28415625
SUCCt2m,0.119270833333333
SUCCt4_2,NaN
SUCD1m,0.652270833333333
SUCOAS1m,0.694072916666667
SUCOASm,1.37614583333333
SULFOX,0.0186666666666667
TALA,1.90626041666667
THD1m,1.23760416666667
THRALANaEx,1.91769791666667
THRASNNaEx,1.91769791666667
THRCYSNaEx,1.91769791666667
THRD_L,0.0455625
