Var1,ASP14_i10_plus_midlow
2AMACHYD,NaN
2AMADPTm,0.2064
2DR1PP,NaN
2HCO3_NAt,0.0833052631578947
2OXOADOXm,0.439505263157895
2OXOADPTm,0.2064
34HPPOR,0.0253473684210526
3AIBt,NaN
3AIBTm,0.274821052631579
3AIBtm,0.274821052631579
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.372515789473684
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.13018947368421
3SALATAi,1.59111578947368
3SALATAim,1.89822105263158
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,0.243915789473684
AACOAT,0.538621052631579
AACTOOR,0.0141894736842105
AACTtm,NaN
AASAD3m,NaN
AATAi,0.372515789473684
ABTArm,0.274821052631579
ABUTD,1.61146315789474
ABUTt2r,0.420442105263158
ABUTt4_2_r,0.0293263157894737
ACACT10m,2.38391578947368
ACACT1r,1.68256842105263
ACACt2,2.39971578947368
ACACt2m,2.39971578947368
ACETONEt2,2.39971578947368
ACETONEt2m,2.39971578947368
ACITL,1.95026315789474
ACOAD10m,1.76982105263158
ACOAD9m,1.76982105263158
ACOAHi,NaN
ACONT,1.74112631578947
ACONTm,1.21681052631579
ACS,0.556189473684211
ACSm,0.0221578947368421
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.0600421052631579
ACTNMO,0.0600421052631579
ACYP,0.9898
ADCim,NaN
ADEt,0.275052631578947
ADK1,2.18323157894737
ADK1m,2.18323157894737
ADK3,0.663884210526316
ADK3m,1.79905263157895
ADMDC,2.11742105263158
ADNK1,2.03243157894737
ADPT,1.66951578947368
ADPtx,NaN
AGTim,NaN
AHC,2.10438947368421
AKGDm,0.439505263157895
AKGMALtm,1.29306315789474
AKGt4_3,0.0348210526315789
ALAASNNaEx,1.84869473684211
ALACYSNaEx,1.84869473684211
ALAGLNexR,0.0962736842105263
ALAGLNNaEx,1.84869473684211
ALAGLYexR,0.0962736842105263
ALASERNaEx,1.84869473684211
ALAt2r,0.420442105263158
ALAt4,3.17155789473684
ALATA_L,0.694578947368421
ALATHRNaEx,1.84869473684211
ALAtN1,0.0760315789473684
AMCOXO,NaN
AMETt2m,0.575505263157895
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.274821052631579
ARGLYSex,0.981673684210526
ARGN,1.02794736842105
ARGNm,1.02794736842105
ARGt4,NaN
ARGtiDF,1.33255789473684
ARGtm,0.309189473684211
ASNALANaEx,1.84869473684211
ASNCYSNaEx,1.84869473684211
ASNGLNNaEx,1.84869473684211
ASNS1,1.62910526315789
ASNSERNaEx,1.84869473684211
ASNt4,3.17155789473684
ASNTHRNaEx,1.84869473684211
ASNtN1,0.0760315789473684
ASPGLUm,1.13018947368421
ASPTA,1.59111578947368
ASPTAm,1.89822105263158
ATP1ter,NaN
ATPS4m,1.35928421052632
ATPtm,2.78423157894737
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.69693684210526
CATp,1.69693684210526
CBPS,1.0442
CBPSam,0.461536842105263
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,0.306652631578947
CHSTEROLt,1.02141052631579
CHSTEROLt1,0.0760631578947368
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,0.0185473684210526
CITRtm,0.309189473684211
CITt4_2,NaN
CITtam,1.33595789473684
CITtbm,1.33595789473684
CK,0.0547263157894737
CKc,1.7636
CLFORtex,0.0110736842105263
CLHCO3tex2,0.300252631578947
CLOHtex2,0.300252631578947
CLOXAtex2,0.300252631578947
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,0.400557894736842
CREATt4_2_r,0.321442105263158
CREATtmdiffir,NaN
CSm,2.26070526315789
CTPS1,1.22585263157895
CTPS2,1.22585263157895
CYOR_u10m,1.50725263157895
CYSALANaEx,1.84869473684211
CYSASNNaEx,1.84869473684211
CYSGLNNaEx,1.84869473684211
CYSGLUexR,0.699063157894737
CYSGLYexR,1.94206315789474
CYSO,0.0744421052631579
CYSSERNaEx,1.84869473684211
CYSt4,3.17155789473684
CYStec,NaN
CYSTGL,0.799568421052632
CYSTHRNaEx,1.84869473684211
CYSTS,0.845231578947368
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.711368421052632
ATPM,NaN
DMGDHm,0.0123263157894737
DMGtm,NaN
DNDPt11m,0.381410526315789
DNDPt23m,0.381410526315789
DNDPt24m,0.381410526315789
DNDPt34m,0.381410526315789
DNDPt35m,0.381410526315789
DNDPt9m,0.381410526315789
DPGase,2.19456842105263
DPGM,2.19456842105263
DRBK,0.153357894736842
DTTPtn,NaN
ECOAH12m,2.3742
ECOAH1m,2.3742
ECOAH9m,2.3742
ENO,3.67255789473684
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
