Var1,ASP14_i10_plus_high
2AMACHYD,NaN
2AMADPTm,NaN
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,0.2465
2OXOADPTm,NaN
34HPPOR,NaN
3AIBt,NaN
3AIBTm,NaN
3AIBtm,NaN
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.4045
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.0135
3SALATAi,2.0925
3SALATAim,1.9325
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,0.2235
AACOAT,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,0.4045
ABTArm,NaN
ABUTD,1.9025
ABUTt2r,NaN
ABUTt4_2_r,NaN
ACACT10m,2.451
ACACT1r,2.0195
ACACt2,2.4555
ACACt2m,2.4555
ACETONEt2,2.4555
ACETONEt2m,2.4555
ACITL,2.006
ACOAD10m,2.004
ACOAD9m,2.004
ACOAHi,NaN
ACONT,1.9185
ACONTm,1.5835
ACS,NaN
ACSm,NaN
ACt2m,NaN
ACt2r,NaN
ACTLMO,NaN
ACTNMO,NaN
ACYP,1.459
ADCim,NaN
ADEt,NaN
ADK1,2.2505
ADK1m,2.2505
ADK3,NaN
ADK3m,2.0435
ADMDC,1.9885
ADNK1,1.926
ADPT,1.8675
ADPtx,NaN
AGTim,NaN
AHC,2.342
AKGDm,0.2465
AKGMALtm,1.8465
AKGt4_3,NaN
ALAASNNaEx,2.1775
ALACYSNaEx,2.1775
ALAGLNexR,2.405
ALAGLNNaEx,2.1775
ALAGLYexR,2.405
ALASERNaEx,2.1775
ALAt2r,NaN
ALAt4,3.1405
ALATA_L,1.168
ALATHRNaEx,2.1775
ALAtN1,NaN
AMCOXO,NaN
AMETt2m,0.782
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,NaN
ARGLYSex,0.899
ARGN,1.4075
ARGNm,1.4075
ARGt4,NaN
ARGtiDF,1.6
ARGtm,NaN
ASNALANaEx,2.1775
ASNCYSNaEx,2.1775
ASNGLNNaEx,2.1775
ASNS1,2.7205
ASNSERNaEx,2.1775
ASNt4,3.1405
ASNTHRNaEx,2.1775
ASNtN1,NaN
ASPGLUm,1.0135
ASPTA,2.0925
ASPTAm,1.9325
ATP1ter,NaN
ATPS4m,1.201
ATPtm,2.8475
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.977
CATp,1.977
CBPS,1.7285
CBPSam,NaN
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,NaN
CHSTEROLt,NaN
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,NaN
CITRtm,NaN
CITt4_2,NaN
CITtam,1.3095
CITtbm,1.3095
CK,NaN
CKc,1.959
CLFORtex,NaN
CLHCO3tex2,NaN
CLOHtex2,NaN
CLOXAtex2,NaN
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,NaN
CREATt4_2_r,NaN
CREATtmdiffir,NaN
CSm,2.451
CTPS1,2.0125
CTPS2,2.0125
CYOR_u10m,1.5395
CYSALANaEx,2.1775
CYSASNNaEx,2.1775
CYSGLNNaEx,2.1775
CYSGLUexR,2.405
CYSGLYexR,2.405
CYSO,NaN
CYSSERNaEx,2.1775
CYSt4,3.1405
CYStec,NaN
CYSTGL,2.056
CYSTHRNaEx,2.1775
CYSTS,1.5495
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.244
ATPM,NaN
DMGDHm,NaN
DMGtm,NaN
DNDPt11m,NaN
DNDPt23m,NaN
DNDPt24m,NaN
DNDPt34m,NaN
DNDPt35m,NaN
DNDPt9m,NaN
DPGase,2.1
DPGM,2.1
DRBK,NaN
DTTPtn,NaN
ECOAH12m,2.451
ECOAH1m,2.451
ECOAH9m,2.451
ENO,3.73
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
