Var1,ASP14_i10_plus_low
2AMACHYD,NaN
2AMADPTm,NaN
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,1.635
2OXOADPTm,NaN
34HPPOR,NaN
3AIBt,NaN
3AIBTm,NaN
3AIBtm,NaN
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.1645
3SALATAi,1.6925
3SALATAim,2.0515
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACOAT,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABTArm,NaN
ABUTD,1.4565
ABUTt2r,NaN
ABUTt4_2_r,NaN
ACACT10m,2.375
ACACT1r,1.7065
ACACt2,2.384
ACACt2m,2.384
ACETONEt2,2.384
ACETONEt2m,2.384
ACITL,2.008
ACOAD10m,1.756
ACOAD9m,1.756
ACOAHi,NaN
ACONT,1.732
ACONTm,1.3735
ACS,NaN
ACSm,NaN
ACt2m,NaN
ACt2r,NaN
ACTLMO,NaN
ACTNMO,NaN
ACYP,0.878
ADCim,NaN
ADEt,NaN
ADK1,2.316
ADK1m,2.316
ADK3,0.549
ADK3m,1.8485
ADMDC,2.2005
ADNK1,2.085
ADPT,1.9075
ADPtx,NaN
AGTim,NaN
AHC,2.2325
AKGDm,1.635
AKGMALtm,1.1365
AKGt4_3,NaN
ALAASNNaEx,2.0425
ALACYSNaEx,2.0425
ALAGLNexR,2.085
ALAGLNNaEx,2.0425
ALAGLYexR,2.085
ALASERNaEx,2.0425
ALAt2r,NaN
ALAt4,3.207
ALATA_L,0.4915
ALATHRNaEx,2.0425
ALAtN1,NaN
AMCOXO,NaN
AMETt2m,NaN
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,NaN
ARGLYSex,0.8365
ARGN,0.792
ARGNm,0.792
ARGt4,NaN
ARGtiDF,1.5115
ARGtm,NaN
ASNALANaEx,2.0425
ASNCYSNaEx,2.0425
ASNGLNNaEx,2.0425
ASNS1,2.096
ASNSERNaEx,2.0425
ASNt4,3.207
ASNTHRNaEx,2.0425
ASNtN1,NaN
ASPGLUm,1.1645
ASPTA,1.6925
ASPTAm,2.0515
ATP1ter,NaN
ATPS4m,1.338
ATPtm,2.817
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.884
CATp,1.884
CBPS,1.051
CBPSam,NaN
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,NaN
CHSTEROLt,NaN
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,NaN
CITRtm,NaN
CITt4_2,NaN
CITtam,1.2615
CITtbm,1.2615
CK,NaN
CKc,2.02
CLFORtex,NaN
CLHCO3tex2,NaN
CLOHtex2,NaN
CLOXAtex2,NaN
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,NaN
CREATt4_2_r,NaN
CREATtmdiffir,NaN
CSm,2.3175
CTPS1,1.432
CTPS2,1.432
CYOR_u10m,1.5475
CYSALANaEx,2.0425
CYSASNNaEx,2.0425
CYSGLNNaEx,2.0425
CYSGLUexR,2.085
CYSGLYexR,2.085
CYSO,NaN
CYSSERNaEx,2.0425
CYSt4,3.207
CYStec,NaN
CYSTGL,0.949
CYSTHRNaEx,2.0425
CYSTS,0.8245
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.303
ATPM,NaN
DMGDHm,NaN
DMGtm,NaN
DNDPt11m,NaN
DNDPt23m,NaN
DNDPt24m,NaN
DNDPt34m,NaN
DNDPt35m,NaN
DNDPt9m,NaN
DPGase,2.25
DPGM,2.25
DRBK,NaN
DTTPtn,NaN
ECOAH12m,2.383
ECOAH1m,2.383
ECOAH9m,2.383
ENO,3.659
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
EX_leu_L_e,NaN
