Var1,ASP14_i10_plus_midhigh
2AMACHYD,NaN
2AMADPTm,NaN
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,0.459
2OXOADPTm,NaN
34HPPOR,NaN
3AIBt,NaN
3AIBTm,NaN
3AIBtm,NaN
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.1265
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.2415
3SALATAi,1.7385
3SALATAim,1.961
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACOAT,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,0.1265
ABTArm,NaN
ABUTD,1.782
ABUTt2r,NaN
ABUTt4_2_r,NaN
ACACT10m,2.4335
ACACT1r,1.938
ACACt2,2.4145
ACACt2m,2.4145
ACETONEt2,2.4145
ACETONEt2m,2.4145
ACITL,2.114
ACOAD10m,1.9445
ACOAD9m,1.9445
ACOAHi,NaN
ACONT,1.743
ACONTm,1.328
ACS,NaN
ACSm,NaN
ACt2m,NaN
ACt2r,NaN
ACTLMO,NaN
ACTNMO,NaN
ACYP,1.3925
ADCim,NaN
ADEt,NaN
ADK1,2.25
ADK1m,2.25
ADK3,NaN
ADK3m,1.9615
ADMDC,2.126
ADNK1,2.074
ADPT,1.7855
ADPtx,NaN
AGTim,NaN
AHC,2.1775
AKGDm,0.459
AKGMALtm,1.539
AKGt4_3,NaN
ALAASNNaEx,1.976
ALACYSNaEx,1.976
ALAGLNexR,2.012
ALAGLNNaEx,1.976
ALAGLYexR,2.012
ALASERNaEx,1.976
ALAt2r,NaN
ALAt4,3.135
ALATA_L,0.775
ALATHRNaEx,1.976
ALAtN1,NaN
AMCOXO,NaN
AMETt2m,0.7275
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,NaN
ARGLYSex,1.077
ARGN,1.1095
ARGNm,1.1095
ARGt4,NaN
ARGtiDF,1.455
ARGtm,NaN
ASNALANaEx,1.976
ASNCYSNaEx,1.976
ASNGLNNaEx,1.976
ASNS1,2.0555
ASNSERNaEx,1.976
ASNt4,3.135
ASNTHRNaEx,1.976
ASNtN1,NaN
ASPGLUm,1.2415
ASPTA,1.7385
ASPTAm,1.961
ATP1ter,NaN
ATPS4m,1.2815
ATPtm,2.8195
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.949
CATp,1.949
CBPS,1.221
CBPSam,NaN
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,NaN
CHSTEROLt,0.718
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,NaN
CITRtm,NaN
CITt4_2,NaN
CITtam,1.2435
CITtbm,1.2435
CK,NaN
CKc,1.9575
CLFORtex,NaN
CLHCO3tex2,NaN
CLOHtex2,NaN
CLOXAtex2,NaN
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,NaN
CREATt4_2_r,NaN
CREATtmdiffir,NaN
CSm,2.3585
CTPS1,1.646
CTPS2,1.646
CYOR_u10m,1.4805
CYSALANaEx,1.976
CYSASNNaEx,1.976
CYSGLNNaEx,1.976
CYSGLUexR,2.012
CYSGLYexR,2.012
CYSO,NaN
CYSSERNaEx,1.976
CYSt4,3.135
CYStec,NaN
CYSTGL,1.2965
CYSTHRNaEx,1.976
CYSTS,1.162
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.408
ATPM,NaN
DMGDHm,NaN
DMGtm,NaN
DNDPt11m,NaN
DNDPt23m,NaN
DNDPt24m,NaN
DNDPt34m,NaN
DNDPt35m,NaN
DNDPt9m,NaN
DPGase,2.2035
DPGM,2.2035
DRBK,NaN
DTTPtn,NaN
ECOAH12m,2.4335
ECOAH1m,2.4335
ECOAH9m,2.4335
ENO,3.7215
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
EX_leu_L_e,NaN
