Var1,ASP14_i10_plus_high
2AMACHYD,NaN
2AMADPTm,0.350510416666667
2DR1PP,NaN
2HCO3_NAt,0.0592291666666667
2OXOADOXm,0.5125625
2OXOADPTm,0.350510416666667
34HPPOR,0.0154375
3AIBt,NaN
3AIBTm,0.350625
3AIBtm,0.350625
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.64484375
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,0.984666666666667
3SALATAi,1.88136458333333
3SALATAim,1.79711458333333
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,0.465229166666667
AACOAT,0.306479166666667
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,0.64484375
ABTArm,0.350625
ABUTD,1.76177083333333
ABUTt2r,0.265885416666667
ABUTt4_2_r,0.0146041666666667
ACACT10m,2.4219375
ACACT1r,1.85933333333333
ACACt2,2.45922916666667
ACACt2m,2.45922916666667
ACETONEt2,2.45922916666667
ACETONEt2m,2.45922916666667
ACITL,1.99960416666667
ACOAD10m,1.87095833333333
ACOAD9m,1.87095833333333
ACOAHi,NaN
ACONT,1.790625
ACONTm,1.37886458333333
ACS,0.306479166666667
ACSm,0.0444375
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.0448541666666667
ACTNMO,0.0448541666666667
ACYP,1.34032291666667
ADCim,NaN
ADEt,0.394645833333333
ADK1,2.18873958333333
ADK1m,2.18873958333333
ADK3,0.106375
ADK3m,2.00953125
ADMDC,1.85273958333333
ADNK1,1.81413541666667
ADPT,1.803375
ADPtx,NaN
AGTim,NaN
AHC,2.28142708333333
AKGDm,0.5125625
AKGMALtm,1.65939583333333
AKGt4_3,0.00803125
ALAASNNaEx,2.06103125
ALACYSNaEx,2.06103125
ALAGLNexR,0.0356145833333333
ALAGLNNaEx,2.06103125
ALAGLYexR,0.0356145833333333
ALASERNaEx,2.06103125
ALAt2r,0.265885416666667
ALAt4,3.14876041666667
ALATA_L,0.984291666666667
ALATHRNaEx,2.06103125
ALAtN1,0.154583333333333
AMCOXO,NaN
