Var1,ASP14_i10_plus_midhigh
2AMACHYD,NaN
2AMADPTm,0.2348125
2DR1PP,NaN
2HCO3_NAt,0.0344479166666667
2OXOADOXm,0.51496875
2OXOADPTm,0.2348125
34HPPOR,0.0147395833333333
3AIBt,NaN
3AIBTm,0.167166666666667
3AIBtm,0.167166666666667
3HAO,0.0114583333333333
3HBCOAHLm,NaN
3HKYNAKGAT,0.52896875
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.13011458333333
3SALATAi,1.58329166666667
3SALATAim,1.81172916666667
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,0.00490625
5MTHFt2,0.339291666666667
AACOAT,0.458427083333333
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,0.52896875
ABTArm,0.167166666666667
ABUTD,1.56342708333333
ABUTt2r,0.312322916666667
ABUTt4_2_r,0.0118958333333333
ACACT10m,2.39553125
ACACT1r,1.78111458333333
ACACt2,2.42169791666667
ACACt2m,2.42169791666667
ACETONEt2,2.42169791666667
ACETONEt2m,2.42169791666667
ACITL,1.90455208333333
ACOAD10m,1.82166666666667
ACOAD9m,1.82166666666667
ACOAHi,NaN
ACONT,1.58536458333333
ACONTm,1.14579166666667
ACS,0.474083333333333
ACSm,0.0112604166666667
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.0769791666666667
ACTNMO,0.0769791666666667
ACYP,1.27995833333333
ADCim,NaN
ADEt,0.282385416666667
ADK1,2.17315625
ADK1m,2.17315625
ADK3,0.2145
ADK3m,1.94002083333333
ADMDC,1.89188541666667
ADNK1,1.95375
ADPT,1.67417708333333
ADPtx,NaN
AGTim,NaN
AHC,2.07455208333333
AKGDm,0.51496875
AKGMALtm,1.41583333333333
AKGt4_3,NaN
ALAASNNaEx,1.9723125
ALACYSNaEx,1.9723125
ALAGLNexR,0.140677083333333
ALAGLNNaEx,1.9723125
ALAGLYexR,0.140677083333333
ALASERNaEx,1.9723125
ALAt2r,0.312322916666667
ALAt4,3.11886458333333
ALATA_L,0.847302083333333
ALATHRNaEx,1.9723125
ALAtN1,0.0576458333333333
