Var1,ASP14_i10_plus_midlow
2AMACHYD,NaN
2AMADPTm,0.227757894736842
2DR1PP,NaN
2HCO3_NAt,0.0608315789473684
2OXOADOXm,0.451589473684211
2OXOADPTm,0.227757894736842
34HPPOR,0.0253473684210526
3AIBt,NaN
3AIBTm,0.264810526315789
3AIBtm,0.264810526315789
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.372273684210526
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.10985263157895
3SALATAi,1.59597894736842
3SALATAim,1.9316
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,0.220178947368421
AACOAT,0.480021052631579
AACTOOR,0.0141894736842105
AACTtm,NaN
AASAD3m,NaN
AATAi,0.372273684210526
ABTArm,0.264810526315789
ABUTD,1.64349473684211
ABUTt2r,0.411031578947368
ABUTt4_2_r,0.0293263157894737
ACACT10m,2.35851578947368
ACACT1r,1.70430526315789
ACACt2,2.38487368421053
ACACt2m,2.38487368421053
ACETONEt2,2.38487368421053
ACETONEt2m,2.38487368421053
ACITL,1.97995789473684
ACOAD10m,1.75251578947368
ACOAD9m,1.75251578947368
ACOAHi,NaN
ACONT,1.75092631578947
ACONTm,1.26042105263158
ACS,0.564315789473684
ACSm,0.0221578947368421
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.0677157894736842
ACTNMO,0.0677157894736842
ACYP,0.989368421052632
ADCim,NaN
ADEt,0.256315789473684
ADK1,2.18412631578947
ADK1m,2.18412631578947
ADK3,0.724673684210526
ADK3m,1.81824210526316
ADMDC,2.16815789473684
ADNK1,2.09029473684211
ADPT,1.71394736842105
ADPtx,NaN
AGTim,NaN
AHC,2.12251578947368
AKGDm,0.451589473684211
AKGMALtm,1.35352631578947
AKGt4_3,0.0166526315789474
ALAASNNaEx,1.84793684210526
ALACYSNaEx,1.84793684210526
ALAGLNexR,0.110642105263158
ALAGLNNaEx,1.84793684210526
ALAGLYexR,0.110642105263158
ALASERNaEx,1.84793684210526
ALAt2r,0.411031578947368
ALAt4,3.15443157894737
ALATA_L,0.7244
ALATHRNaEx,1.84793684210526
ALAtN1,0.0760315789473684
AMCOXO,NaN
AMETt2m,0.615715789473684
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.264810526315789
ARGLYSex,1.00576842105263
