Var1,ASP14_i10_plus_high
2AMACHYD,NaN
2AMADPTm,NaN
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,0.263
2OXOADPTm,NaN
34HPPOR,NaN
3AIBt,NaN
3AIBTm,NaN
3AIBtm,NaN
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.12
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.044
3SALATAi,2.0955
3SALATAim,1.927
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACOAT,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,0.12
ABTArm,NaN
ABUTD,1.9025
ABUTt2r,NaN
ABUTt4_2_r,NaN
ACACT10m,2.451
ACACT1r,2.0155
ACACt2,2.457
ACACt2m,2.457
ACETONEt2,2.457
ACETONEt2m,2.457
ACITL,2.0185
ACOAD10m,1.997
ACOAD9m,1.997
ACOAHi,NaN
ACONT,1.942
ACONTm,1.587
ACS,NaN
ACSm,NaN
ACt2m,NaN
ACt2r,NaN
ACTLMO,NaN
ACTNMO,NaN
ACYP,1.4565
ADCim,NaN
ADEt,NaN
ADK1,2.256
ADK1m,2.256
ADK3,NaN
ADK3m,2.0435
ADMDC,1.997
ADNK1,1.983
ADPT,1.848
ADPtx,NaN
AGTim,NaN
AHC,2.342
AKGDm,0.263
AKGMALtm,1.841
AKGt4_3,NaN
ALAASNNaEx,2.165
ALACYSNaEx,2.165
ALAGLNexR,2.396
ALAGLNNaEx,2.165
ALAGLYexR,2.396
ALASERNaEx,2.165
ALAt2r,NaN
ALAt4,3.1405
ALATA_L,1.127
ALATHRNaEx,2.165
ALAtN1,NaN
AMCOXO,NaN
AMETt2m,0.763
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,NaN
ARGLYSex,0.928
ARGN,1.3935
ARGNm,1.3935
ARGt4,NaN
ARGtiDF,1.551
ARGtm,NaN
ASNALANaEx,2.165
ASNCYSNaEx,2.165
ASNGLNNaEx,2.165
ASNS1,2.679
ASNSERNaEx,2.165
ASNt4,3.1405
ASNTHRNaEx,2.165
ASNtN1,NaN
ASPGLUm,1.044
ASPTA,2.0955
ASPTAm,1.927
ATP1ter,NaN
ATPS4m,1.206
ATPtm,2.8475
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.9645
CATp,1.9645
CBPS,1.688
CBPSam,NaN
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,NaN
CHSTEROLt,NaN
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,NaN
CITRtm,NaN
CITt4_2,NaN
CITtam,1.2445
CITtbm,1.2445
CK,NaN
CKc,1.931
CLFORtex,NaN
CLHCO3tex2,NaN
CLOHtex2,NaN
CLOXAtex2,NaN
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,NaN
CREATt4_2_r,NaN
CREATtmdiffir,NaN
CSm,2.451
CTPS1,1.9945
CTPS2,1.9945
CYOR_u10m,1.522
CYSALANaEx,2.165
CYSASNNaEx,2.165
CYSGLNNaEx,2.165
CYSGLUexR,2.396
CYSGLYexR,2.396
CYSO,NaN
CYSSERNaEx,2.165
CYSt4,3.1405
CYStec,NaN
CYSTGL,1.9565
CYSTHRNaEx,2.165
CYSTS,1.5005
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,NaN
ATPM,NaN
DMGDHm,NaN
DMGtm,NaN
DNDPt11m,NaN
DNDPt23m,NaN
DNDPt24m,NaN
DNDPt34m,NaN
DNDPt35m,NaN
DNDPt9m,NaN
DPGase,2.093
DPGM,2.093
DRBK,NaN
DTTPtn,NaN
ECOAH12m,2.451
ECOAH1m,2.451
ECOAH9m,2.451
ENO,3.73
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
EX_leu_L_e,NaN
EX_lys_L_e,NaN
EX_met_L_e,NaN
