Var1,ASP14_i10_plus_midhigh
2AMACHYD,NaN
2AMADPTm,NaN
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,0.4015
2OXOADPTm,NaN
34HPPOR,NaN
3AIBt,NaN
3AIBTm,NaN
3AIBtm,NaN
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.1265
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.2185
3SALATAi,1.7385
3SALATAim,1.9675
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACOAT,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,0.1265
ABTArm,NaN
ABUTD,1.7665
ABUTt2r,NaN
ABUTt4_2_r,NaN
ACACT10m,2.4505
ACACT1r,1.9785
ACACt2,2.449
ACACt2m,2.449
ACETONEt2,2.449
ACETONEt2m,2.449
ACITL,2.049
ACOAD10m,1.9595
ACOAD9m,1.9595
ACOAHi,NaN
ACONT,1.724
ACONTm,1.342
ACS,NaN
ACSm,NaN
ACt2m,NaN
ACt2r,NaN
ACTLMO,NaN
ACTNMO,NaN
ACYP,1.424
ADCim,NaN
ADEt,NaN
ADK1,2.2405
ADK1m,2.2405
ADK3,NaN
ADK3m,1.9675
ADMDC,1.9975
ADNK1,2.0165
ADPT,1.7415
ADPtx,NaN
AGTim,NaN
AHC,2.1745
AKGDm,0.4015
AKGMALtm,1.566
AKGt4_3,NaN
ALAASNNaEx,1.993
ALACYSNaEx,1.993
ALAGLNexR,2.017
ALAGLNNaEx,1.993
ALAGLYexR,2.017
ALASERNaEx,1.993
ALAt2r,NaN
ALAt4,3.1335
ALATA_L,0.8815
ALATHRNaEx,1.993
ALAtN1,NaN
AMCOXO,NaN
AMETt2m,0.7275
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,NaN
ARGLYSex,1.0515
ARGN,1.189
ARGNm,1.189
ARGt4,NaN
ARGtiDF,1.5065
ARGtm,NaN
ASNALANaEx,1.993
ASNCYSNaEx,1.993
ASNGLNNaEx,1.993
ASNS1,2.122
ASNSERNaEx,1.993
ASNt4,3.1335
ASNTHRNaEx,1.993
ASNtN1,NaN
ASPGLUm,1.2185
ASPTA,1.7385
ASPTAm,1.9675
ATP1ter,NaN
ATPS4m,1.2795
ATPtm,2.8155
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.9505
CATp,1.9505
CBPS,1.2515
CBPSam,NaN
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,NaN
CHSTEROLt,0.4815
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,NaN
CITRtm,NaN
CITt4_2,NaN
CITtam,1.3255
CITtbm,1.3255
CK,NaN
CKc,1.9785
CLFORtex,NaN
CLHCO3tex2,NaN
CLOHtex2,NaN
CLOXAtex2,NaN
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,NaN
CREATt4_2_r,NaN
CREATtmdiffir,NaN
CSm,2.34
CTPS1,1.6375
CTPS2,1.6375
CYOR_u10m,1.501
CYSALANaEx,1.993
CYSASNNaEx,1.993
CYSGLNNaEx,1.993
CYSGLUexR,2.017
CYSGLYexR,2.017
CYSO,NaN
CYSSERNaEx,1.993
CYSt4,3.1335
CYStec,NaN
CYSTGL,1.3005
CYSTHRNaEx,1.993
CYSTS,1.142
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.408
ATPM,NaN
DMGDHm,NaN
DMGtm,NaN
DNDPt11m,NaN
DNDPt23m,NaN
DNDPt24m,NaN
DNDPt34m,NaN
DNDPt35m,NaN
DNDPt9m,NaN
DPGase,2.2035
DPGM,2.2035
DRBK,NaN
DTTPtn,NaN
ECOAH12m,2.431
ECOAH1m,2.431
ECOAH9m,2.431
ENO,3.72
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
EX_leu_L_e,NaN
