Var1,ASP14_i10_plus_midlow
2AMACHYD,NaN
2AMADPTm,NaN
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,0.313
2OXOADPTm,NaN
34HPPOR,NaN
3AIBt,NaN
3AIBTm,NaN
3AIBtm,NaN
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.206
3SALATAi,1.861
3SALATAim,2.022
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACOAT,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABTArm,NaN
ABUTD,1.75
ABUTt2r,NaN
ABUTt4_2_r,NaN
ACACT10m,2.379
ACACT1r,1.964
ACACt2,2.421
ACACt2m,2.421
ACETONEt2,2.421
ACETONEt2m,2.421
ACITL,2.097
ACOAD10m,1.83
ACOAD9m,1.83
ACOAHi,NaN
ACONT,1.878
ACONTm,1.463
ACS,0.273
ACSm,NaN
ACt2m,NaN
ACt2r,NaN
ACTLMO,NaN
ACTNMO,NaN
ACYP,1.053
ADCim,NaN
ADEt,NaN
ADK1,2.236
ADK1m,2.236
ADK3,0.423
ADK3m,1.899
ADMDC,2.225
ADNK1,2.168
ADPT,1.745
ADPtx,NaN
AGTim,NaN
AHC,2.193
AKGDm,0.313
AKGMALtm,1.446
AKGt4_3,NaN
ALAASNNaEx,1.977
ALACYSNaEx,1.977
ALAGLNexR,1.981
ALAGLNNaEx,1.977
ALAGLYexR,1.981
ALASERNaEx,1.977
ALAt2r,NaN
ALAt4,3.159
ALATA_L,0.578
ALATHRNaEx,1.977
ALAtN1,NaN
AMCOXO,NaN
AMETt2m,0.273
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,NaN
ARGLYSex,1.053
ARGN,1.158
ARGNm,1.158
ARGt4,NaN
ARGtiDF,1.439
ARGtm,NaN
ASNALANaEx,1.977
ASNCYSNaEx,1.977
ASNGLNNaEx,1.977
ASNS1,1.732
ASNSERNaEx,1.977
ASNt4,3.159
ASNTHRNaEx,1.977
ASNtN1,NaN
ASPGLUm,1.206
ASPTA,1.861
ASPTAm,2.022
ATP1ter,NaN
ATPS4m,1.373
ATPtm,2.825
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.868
CATp,1.868
CBPS,1.222
CBPSam,NaN
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,NaN
CHSTEROLt,0.78
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,NaN
CITRtm,NaN
CITt4_2,NaN
CITtam,1.499
CITtbm,1.499
CK,NaN
CKc,1.923
CLFORtex,NaN
CLHCO3tex2,NaN
CLOHtex2,NaN
CLOXAtex2,NaN
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,NaN
CREATt4_2_r,NaN
CREATtmdiffir,NaN
CSm,2.303
CTPS1,1.555
CTPS2,1.555
CYOR_u10m,1.614
CYSALANaEx,1.977
CYSASNNaEx,1.977
CYSGLNNaEx,1.977
CYSGLUexR,1.981
CYSGLYexR,1.981
CYSO,NaN
CYSSERNaEx,1.977
CYSt4,3.159
CYStec,NaN
CYSTGL,0.317
CYSTHRNaEx,1.977
CYSTS,1.024
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.857
ATPM,NaN
DMGDHm,NaN
DMGtm,NaN
DNDPt11m,NaN
DNDPt23m,NaN
DNDPt24m,NaN
DNDPt34m,NaN
DNDPt35m,NaN
DNDPt9m,NaN
DPGase,2.257
DPGM,2.257
DRBK,NaN
DTTPtn,NaN
ECOAH12m,2.379
ECOAH1m,2.379
ECOAH9m,2.379
ENO,3.689
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
EX_leu_L_e,NaN
EX_lys_L_e,NaN
EX_met_L_e,NaN
EX_mthgxl_e,NaN
