Var1,ASP14_i10_plus_midhigh
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,NaN
1a_24_25VITD2Hm,NaN
1a_24_25VITD3Hm,NaN
1a_25VITD2Hm,NaN
1a_25VITD3Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,NaN
24_25VITD3Hm,NaN
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin,NaN
25HVITD2tin_m,NaN
25HVITD2tm,NaN
25HVITD3t,NaN
25HVITD3tin,NaN
25HVITD3tin_m,NaN
25HVITD3tm,NaN
25VITD2Hm,0.0685
25VITD3Hm,0.0685
2AMACHYD,NaN
2AMACSULT,NaN
2AMADPTm,0.2348125
2DR1PP,NaN
2HBO,3.19583333333333
2HBt2,2.42169791666667
2HCO3_NAt,0.0344479166666667
2MCITt,NaN
2OXOADOXm,0.51496875
2OXOADPTm,0.2348125
34DHOXPEGOX,2.43546875
34DHOXPEGt,NaN
34DHPHAMT,1.71076041666667
34DHPHEt,0.0124375
34DHPLACOX,0.0660208333333333
34DHPLACOX_NADP,0.0165208333333333
34DHXMANDACOX,0.0660208333333333
34DHXMANDACOX_NADP,0.0165208333333333
34HPLFM,NaN
34HPPOR,0.0147395833333333
35CGMPtn,NaN
3AIBt,NaN
3AIBTm,0.167166666666667
3AIBtm,0.167166666666667
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,1.41686458333333
3HAO,0.0114583333333333
3HBCDm,0.00905208333333333
3HBCOAHLm,NaN
3HKYNAKGAT,0.52896875
3HLYTCL,NaN
3HPCOAHYD,1.73783333333333
3HPPD,NaN
3HXKYNDCL,NaN
3HXKYNOXDA,0.14959375
3M4HDXPAC,0.0660208333333333
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
