Var1,ASP14_i10_plus_midhigh
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,NaN
1a_24_25VITD2Hm,NaN
1a_24_25VITD3Hm,NaN
1a_25VITD2Hm,NaN
1a_25VITD3Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,NaN
24_25VITD3Hm,NaN
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin,NaN
25HVITD2tin_m,NaN
25HVITD2tm,NaN
25HVITD3t,NaN
25HVITD3tin,NaN
25HVITD3tin_m,NaN
25HVITD3tm,NaN
25VITD2Hm,0.0685
25VITD3Hm,0.0685
2AMACHYD,NaN
2AMACSULT,NaN
2AMADPTm,0.225510416666667
2DR1PP,NaN
2HBO,3.21302083333333
2HBt2,2.415625
2HCO3_NAt,0.0367083333333333
2MCITt,NaN
2OXOADOXm,0.542114583333333
2OXOADPTm,0.225510416666667
34DHOXPEGOX,2.44457291666667
34DHOXPEGt,NaN
34DHPHAMT,1.71164583333333
34DHPHEt,0.0285520833333333
34DHPLACOX,0.0503333333333333
34DHPLACOX_NADP,0.0165208333333333
34DHXMANDACOX,0.0503333333333333
34DHXMANDACOX_NADP,0.0165208333333333
34HPLFM,NaN
34HPPOR,0.0147395833333333
35CGMPtn,NaN
3AIBt,NaN
3AIBTm,0.19765625
3AIBtm,0.19765625
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,1.39866666666667
3HAO,0.0114583333333333
3HBCDm,0.00905208333333333
3HBCOAHLm,NaN
3HKYNAKGAT,0.5226875
3HLYTCL,NaN
3HPCOAHYD,1.77226041666667
3HPPD,NaN
3HXKYNDCL,NaN
3HXKYNOXDA,0.14515625
3M4HDXPAC,0.0503333333333333
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
