Var1,ASP14_i10_plus_low
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,0.0144375
1a_24_25VITD2Hm,NaN
1a_24_25VITD3Hm,NaN
1a_25VITD2Hm,NaN
1a_25VITD3Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,NaN
24_25VITD3Hm,NaN
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin,NaN
25HVITD2tin_m,NaN
25HVITD2tm,NaN
25HVITD3t,NaN
25HVITD3tin,NaN
25HVITD3tin_m,NaN
25HVITD3tm,NaN
25VITD2Hm,0.0219479166666667
25VITD3Hm,0.0219479166666667
2AMACHYD,NaN
2AMACSULT,NaN
2AMADPTm,0.111666666666667
2DR1PP,NaN
2HBO,3.09003125
2HBt2,2.35032291666667
2HCO3_NAt,0.0159375
2MCITt,NaN
2OXOADOXm,0.455552083333333
2OXOADPTm,0.111666666666667
34DHOXPEGOX,2.34097916666667
34DHOXPEGt,NaN
34DHPHAMT,1.78252083333333
34DHPHEt,0.01834375
34DHPLACOX,0.0692708333333333
34DHPLACOX_NADP,0.0252291666666667
34DHXMANDACOX,0.0692708333333333
34DHXMANDACOX_NADP,0.0252291666666667
34HPLFM,NaN
34HPPOR,0.0262708333333333
35CGMPtn,NaN
3AIBt,NaN
3AIBTm,0.26159375
3AIBtm,0.26159375
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,1.0605
3HAO,NaN
3HBCDm,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.231520833333333
3HLYTCL,NaN
3HPCOAHYD,1.483375
3HPPD,NaN
3HXKYNDCL,NaN
3HXKYNOXDA,0.1529375
3M4HDXPAC,0.0692708333333333
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
