Var1,ASP14_i10_plus_high
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,NaN
1a_24_25VITD2Hm,NaN
1a_25VITD2Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,NaN
24_25VITD3Hm,NaN
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin_m,NaN
25HVITD3t,NaN
25HVITD3tin_m,NaN
25VITD2Hm,0.0715729166666667
25VITD3Hm,0.0715729166666667
2AMACHYD,NaN
2AMACSULT,NaN
2AMADPTm,0.363135416666667
2DR1PP,NaN
2HBO,3.30155208333333
2HBt2,2.45577083333333
2HCO3_NAt,0.05696875
2MCITt,NaN
2OXOADOXm,0.487697916666667
2OXOADPTm,0.363135416666667
34DHOXPEGOX,2.47317708333333
34DHOXPEGt,NaN
34DHPHAMT,1.71280208333333
34DHPHEt,0.103427083333333
34DHPLACOX,0.0835520833333333
34DHPLACOX_NADP,0.0450833333333333
34DHXMANDACOX,0.0835520833333333
34DHXMANDACOX_NADP,0.0450833333333333
34HPLFM,NaN
34HPPOR,0.0154375
35CGMPtn,NaN
3AIBTm,0.320135416666667
3AIBtmi,0.320135416666667
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,1.97880208333333
3HAO,NaN
3HBCDm,0.0212708333333333
3HBCOAHLm,NaN
3HKYNAKGAT,0.666229166666667
3HLYTCL,NaN
3M4HDXPAC,0.0835520833333333
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3MOX4HOXPGALDOX,0.0835520833333333
3MOX4HOXPGALDOX_NADP,0.0835520833333333
3MOXTYROX,0.249614583333333
3SALAASPm,0.9936875
3SALACBOXL,0.375770833333333
3SALAOX,NaN
3SALATAi,1.88575
3SALATAim,1.81370833333333
3SPYRSP,NaN
