Var1,ASP14_i10_plus_low
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,0.0144375
1a_24_25VITD2Hm,NaN
1a_25VITD2Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,NaN
24_25VITD3Hm,NaN
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin_m,NaN
25HVITD3t,NaN
25HVITD3tin_m,NaN
25VITD2Hm,0.0219479166666667
25VITD3Hm,0.0219479166666667
2AMACHYD,NaN
2AMACSULT,NaN
2AMADPTm,0.129479166666667
2DR1PP,NaN
2HBO,3.096125
2HBt2,2.34516666666667
2HCO3_NAt,0.03
2MCITt,NaN
2OXOADOXm,0.465229166666667
2OXOADPTm,0.129479166666667
34DHOXPEGOX,2.34501041666667
34DHOXPEGt,NaN
34DHPHAMT,1.7833125
34DHPHEt,0.01834375
34DHPLACOX,0.0560208333333333
34DHPLACOX_NADP,0.0252291666666667
34DHXMANDACOX,0.0560208333333333
34DHXMANDACOX_NADP,0.0252291666666667
34HPLFM,NaN
34HPPOR,0.0262708333333333
35CGMPtn,NaN
3AIBTm,0.2516875
3AIBtmi,0.2516875
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,1.05034375
3HAO,NaN
3HBCDm,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.216177083333333
3HLYTCL,NaN
3M4HDXPAC,0.0560208333333333
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3MOX4HOXPGALDOX,0.0560208333333333
3MOX4HOXPGALDOX_NADP,0.0560208333333333
3MOXTYROX,0.139333333333333
3SALAASPm,1.04008333333333
3SALACBOXL,0.324635416666667
3SALAOX,NaN
3SALATAi,1.4343125
3SALATAim,1.90154166666667
3SPYRSP,NaN
3SPYRSPm,NaN
