Var1,ASP14_i10_plus_high
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,NaN
1a_24_25VITD2Hm,NaN
1a_25VITD2Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,NaN
24_25VITD3Hm,NaN
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin_m,NaN
25HVITD3t,NaN
25HVITD3tin_m,NaN
25VITD2Hm,0.0715729166666667
25VITD3Hm,0.0715729166666667
2AMACHYD,NaN
2AMACSULT,NaN
2AMADPTm,0.350510416666667
2DR1PP,NaN
2HBO,3.30658333333333
2HBt2,2.45922916666667
2HCO3_NAt,0.0592291666666667
2MCITt,NaN
2OXOADOXm,0.5125625
2OXOADPTm,0.350510416666667
34DHOXPEGOX,2.47523958333333
34DHOXPEGt,NaN
34DHPHAMT,1.70739583333333
34DHPHEt,0.103427083333333
34DHPLACOX,0.0757604166666667
34DHPLACOX_NADP,0.0450833333333333
34DHXMANDACOX,0.0757604166666667
34DHXMANDACOX_NADP,0.0450833333333333
34HPLFM,NaN
34HPPOR,0.0154375
35CGMPtn,NaN
3AIBTm,0.350625
3AIBtmi,0.350625
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,1.98854166666667
3HAO,NaN
3HBCDm,0.0212708333333333
3HBCOAHLm,NaN
3HKYNAKGAT,0.64484375
3HLYTCL,NaN
3M4HDXPAC,0.0757604166666667
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3MOX4HOXPGALDOX,0.0757604166666667
3MOX4HOXPGALDOX_NADP,0.0757604166666667
3MOXTYROX,0.26125
3SALAASPm,0.984666666666667
3SALACBOXL,0.400614583333333
3SALAOX,NaN
3SALATAi,1.88136458333333
3SALATAim,1.79711458333333
3SPYRSP,NaN
