Var1,PDX-3360_cluster_5
2AMACHYD,0.0281493811750076
2AMADPTm,0.00182217926206723
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,NaN
2OXOADPTm,0.00182217926206723
34HPPOR,NaN
3AIBt,NaN
3AIBTm,0.0696290799114905
3AIBtm,0.0696290799114905
3HAO,0.0416490288556252
3HBCOAHLm,NaN
3HKYNAKGAT,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,0.079165365022253
3SALATAi,0.250662504367425
3SALATAim,NaN
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACOAT,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABTArm,0.0696290799114905
ABUTD,NaN
ABUTt2r,NaN
ABUTt4_2_r,NaN
ACACT10m,NaN
ACACT1r,0.353899294851531
ACACt2,0.132053646508237
ACACt2m,NaN
ACETONEt2,0.132053646508237
ACETONEt2m,NaN
ACITL,NaN
ACOAD10m,0.0551086481608135
ACOAD9m,0.034816025008618
ACOAHi,NaN
ACONT,NaN
ACONTm,NaN
ACS,0.123234869479399
ACSm,0.0452088867904435
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.00265097353135196
ACTNMO,0.00265097353135196
ACYP,0.871815589951797
ADCim,NaN
ADEt,0.0457373009338765
ADK1,0.11643142344981
ADK1m,0.18385071155261
ADK3,NaN
ADK3m,NaN
ADMDC,0.737929121079579
ADNK1,NaN
ADPT,0.673629217794244
ADPtx,NaN
AGTim,0.00670034110441174
AHC,NaN
AKGDm,NaN
AKGMALtm,0.113683116923965
AKGt4_3,NaN
ALAASNNaEx,NaN
ALACYSNaEx,0.041426734447899
ALAGLNexR,0.393581601410684
ALAGLNNaEx,NaN
ALAGLYexR,0.393581601410684
ALASERNaEx,0.041426734447899
ALAt2r,NaN
ALAt4,1.01940302235979
ALATA_L,0.0602915080159273
ALATHRNaEx,0.041426734447899
ALAtN1,0.542268553984837
AMCOXO,NaN
AMETt2m,NaN
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.0696290799114905
ARGLYSex,0.393581601410684
ARGN,0.127454012094564
ARGNm,0.127454012094564
ARGt4,NaN
ARGtiDF,0.0786710512155378
ARGtm,NaN
ASNALANaEx,NaN
ASNCYSNaEx,NaN
ASNGLNNaEx,NaN
ASNS1,0.210103257257544
ASNSERNaEx,NaN
ASNt4,1.01940302235979
ASNTHRNaEx,NaN
ASNtN1,0.542268553984837
ASPGLUm,0.079165365022253
ASPTA,0.250662504367425
ASPTAm,NaN
ATP1ter,NaN
ATPS4m,NaN
ATPtm,1.75518411481884
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,NaN
CATp,NaN
CBPS,NaN
CBPSam,0.184843570741654
CHLtm,NaN
CHOLD2m,0.00766184422331797
CHOLt4,0.0015698255787433
CHOLtu,NaN
CHSTEROLt,0.00348110176937681
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,0.0534795591161704
CITRtm,NaN
CITt4_2,NaN
CITtam,0.488821223483119
CITtbm,0.488821223483119
CK,NaN
CKc,0.39336692526097
CLFORtex,NaN
