Var1,pdx184_cluster_3
2AMACHYD,NaN
2AMADPTm,0.37389416487439
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,0.246782910229262
2OXOADPTm,0.37389416487439
34HPPOR,NaN
3AIBt,NaN
3AIBTm,0.278115853743848
3AIBtm,0.278115853743848
3HAO,0.0657850717085908
3HBCOAHLm,NaN
3HKYNAKGAT,0.0555027925415116
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,0.125517447002507
3SALATAi,0.379132629975338
3SALATAim,0.25762232083435
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,0.15491303351404
AACOAT,0.2409084749013
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABTArm,0.278115853743848
ABUTD,0.774430150870884
ABUTt2r,NaN
ABUTt4_2_r,0.0810726279772388
ACACT10m,0.785191658086285
ACACT1r,0.543880201653168
ACACt2,0.452712679170853
ACACt2m,0.452712679170853
ACETONEt2,0.575050034181147
ACETONEt2m,0.452712679170853
ACITL,0.526766375197453
ACOAD10m,0.573206598705013
ACOAD9m,0.573206598705013
ACOAHi,NaN
ACONT,0.404909079080587
ACONTm,0.522334266741021
ACS,0.2409084749013
ACSm,0.142712948174915
ACt2m,NaN
ACt2r,NaN
ACTLMO,NaN
ACTNMO,NaN
ACYP,0.418732737583929
ADCim,NaN
ADEt,0.050852928028252
ADK1,0.652255977442508
ADK1m,0.652255977442508
ADK3,NaN
ADK3m,0.979810219929708
ADMDC,0.658148453580442
ADNK1,0.610877384475039
ADPT,1.05864083685455
ADPtx,NaN
AGTim,NaN
AHC,0.865183298796005
AKGDm,0.246782910229262
AKGMALtm,0.682374952787544
AKGt4_3,NaN
ALAASNNaEx,0.559627794582364
ALACYSNaEx,0.559627794582364
ALAGLNexR,0.922374066551975
ALAGLNNaEx,0.559627794582364
ALAGLYexR,0.922374066551975
ALASERNaEx,0.559627794582364
ALAt2r,NaN
ALAt4,1.02743471627741
ALATA_L,0.0345877148257556
ALATHRNaEx,0.559627794582364
ALAtN1,NaN
AMCOXO,NaN
AMETt2m,0.195856088841398
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.278115853743848
ARGLYSex,0.0214185729491111
ARGN,0.0731063595761383
ARGNm,0.0731063595761383
ARGt4,NaN
ARGtiDF,0.259495021363081
ARGtm,0.0207751322343399
ASNALANaEx,0.559627794582364
ASNCYSNaEx,0.559627794582364
ASNGLNNaEx,0.559627794582364
ASNS1,0.431393344282622
ASNSERNaEx,0.559627794582364
ASNt4,1.02743471627741
ASNTHRNaEx,0.559627794582364
ASNtN1,NaN
ASPGLUm,0.125517447002507
ASPTA,0.379132629975338
ASPTAm,0.25762232083435
ATP1ter,NaN
ATPS4m,0.277632505853866
ATPtm,1.85060983254256
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,0.788011068790831
CATp,0.788011068790831
CBPS,0.4664699353424
CBPSam,NaN
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,0.0177518753391502
CHSTEROLt,0.0579176358425549
CHSTEROLt1,0.30785974763955
CHSTEROLt2,NaN
