Var1,PDX-3360_cluster_4
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,0.004253488534721
1a_24_25VITD2Hm,NaN
1a_24_25VITD3Hm,NaN
1a_25VITD2Hm,NaN
1a_25VITD3Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,0.0220072332128722
24_25VITD3Hm,0.0220072332128722
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin,NaN
25HVITD2tin_m,NaN
25HVITD2tm,NaN
25HVITD3t,NaN
25HVITD3tin,NaN
25HVITD3tin_m,NaN
25HVITD3tm,NaN
25VITD2Hm,0.00924485226872788
25VITD3Hm,0.00924485226872788
2AMACHYD,0.00560357223355001
2AMACSULT,NaN
2AMADPTm,0.00159074664516474
2DR1PP,NaN
2HBO,1.44277521294932
2HBt2,0.232820834984542
2HCO3_NAt,NaN
2MCITt,NaN
2OXOADOXm,NaN
2OXOADPTm,0.00159074664516474
34DHOXPEGOX,NaN
34DHOXPEGt,NaN
34DHPHAMT,NaN
34DHPHEt,0.030578657143539
34DHPLACOX,0.014249575074001
34DHPLACOX_NADP,0.014249575074001
34DHXMANDACOX,0.014249575074001
34DHXMANDACOX_NADP,NaN
34HPLFM,NaN
34HPPOR,NaN
35CGMPtn,NaN
3AIBt,NaN
3AIBTm,0.0720374581994869
3AIBtm,0.0720374581994869
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,0.870234170748341
3HAO,0.075569814151173
3HBCDm,0.0570903377988005
3HBCOAHLm,NaN
3HKYNAKGAT,NaN
3HLYTCL,NaN
3HPCOAHYD,NaN
3HPPD,NaN
3HXKYNDCL,NaN
3HXKYNOXDA,0.0518294990423225
3M4HDXPAC,0.014249575074001
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
