Var1,PDX-3686_cluster_4
2AMACHYD,NaN
2AMADPTm,NaN
2DR1PP,NaN
2HCO3_NAt,0.00488656623068676
2OXOADOXm,0.0351571038125022
2OXOADPTm,NaN
34DHPHEt,0.0164356162791611
34HPPOR,NaN
3AIBTm,0.00157012189588239
3AIBtmi,0.00157012189588239
3HAO,0.0180673056872942
3HBCOAHLm,NaN
3HKYNAKGAT,NaN
3HLYTCL,0.0222893221884645
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,0.26547194744951
3SALAOX,NaN
3SALATAi,0.127679081934114
3SALATAim,0.0839926829982189
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5AOPtm,NaN
5MTHFt,NaN
5MTHFt2,0.00959741748789308
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABTArm,0.00157012189588239
ABUTt4_2_r,0.147932643491414
ACACT10m,NaN
ACACt2m,0.0513526451203131
ACALDtm,NaN
ACETONEt2,0.0723568531934934
ACETONEt2m,0.0513526451203131
ACGSm,NaN
ACITL,NaN
ACOAD10m,0.0494598304071734
ACOAD8m,0.0166802563334024
ACOAD9m,0.0494598304071734
ACOAHi,NaN
ACONTm,0.033559406156181
ACSm,0.0592035579104577
ACt2m,NaN
ACt2r,NaN
ACTLMO,NaN
ACTNMO,NaN
ADCim,NaN
ADK1m,0.979448241572227
ADK3,NaN
ADK3m,0.0761226412429604
ADMDC,0.770664180158287
ADNt,0.0175537129723898
ADPtx,NaN
AGTim,NaN
AGTix,NaN
AKGDm,0.0351571038125022
AKGMALtm,NaN
AKGt4_3,NaN
AKGtp,NaN
ALAASNNaEx,NaN
ALACYSNaEx,NaN
ALAGLNexR,NaN
ALAGLNNaEx,NaN
ALAGLYexR,NaN
ALASERNaEx,NaN
ALASm,0.22078650508837
ALAt4,0.617908728859758
ALATA_L,0.0155272528689395
ALATHRNaEx,NaN
ALAtN1,NaN
ALDD2xm,0.0136388514631538
ALDD2y,0.0178508834653003
ALR2,1.27798459606786
AMCOXO,NaN
AMETt2m,0.00516963149270704
AMPtp,NaN
AOBUTDsm,NaN
ARGLYSex,0.0459245473787349
ARGNm,NaN
ARGt4,NaN
ARGtm,0.0089657510160118
ASNALANaEx,NaN
ASNCYSNaEx,NaN
ASNGLNNaEx,NaN
ASNS1,NaN
ASNSERNaEx,NaN
ASNt4,0.617908728859758
ASNTHRNaEx,NaN
ASNtN1,NaN
ASPGLUm,0.26547194744951
ASPTAm,0.0839926829982189
ATP1ter,NaN
ATPtm,1.97217819254885
ATPtx,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,NaN
CATp,NaN
CBPPer,NaN
CBPSam,NaN
CBPter,NaN
CHLP,0.0127750416436503
CHLtm,NaN
CHOLD2m,NaN
CHOLK,0.0397044496350391
CHOLt4,NaN
CHOLtu,NaN
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITRtm,0.0089657510160118
CITt4_2,NaN
CITtam,NaN
CITtbm,NaN
CK,0.0017882167331634
CKc,NaN
CLFORtex,NaN
CLHCO3tex2,NaN
CLOHtex2,NaN
CLOXAtex2,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,0.0626362838171503
CREATt4_2_r,NaN
CREATtmdiffir,NaN
CRTNsyn,NaN
CSm,0.300784688963685
CYSALANaEx,NaN
CYSASNNaEx,NaN
CYSGLNNaEx,NaN
CYSGLUexR,NaN
CYSGLYexR,0.00758935527134967
CYSO,NaN
CYSSERNaEx,NaN
CYSt4,0.617908728859758
CYSTA,0.127679081934114
CYStec,0.0920149220093604
CYSTHRNaEx,NaN
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DMGDHm,NaN
DMGtm,NaN
DOPAMT,NaN
DOPAt4_2_r,NaN
DOPAtu,NaN
DOPAVESSEC,NaN
DPGase,0.0061634500981659
DPGM,0.0061634500981659
DTTPtn,NaN
ECOAH12m,0.0449911808214521
ECOAH1m,0.0449911808214521
ECOAH9m,0.0449911808214521
EX_34dhphe_e,NaN
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_acetone_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_creat_e,NaN
EX_dopa_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_hista_e,NaN
EX_lnlc_e,NaN
EX_mthgxl_e,NaN
EX_o2s_e,NaN
EX_oxa_e,NaN
EX_ps_hs_e,NaN
EX_tsul_e,NaN
FADH2tru,NaN
FADtru,NaN
FALDtm,NaN
FDH,0.00351162927766
FKYNH,NaN
FORtr,NaN
FUMAC,0.0567513262071917
FUMm,0.328388838918619
FUMSO3tm,NaN
FUMSO4tm,NaN
FUMtm,NaN
FUMTSULtm,NaN
G3PD2m,0.172192470000316
