Var1,pdx856_cluster_0
2AMACHYD,NaN
2AMADPTm,0.147677209088877
2DR1PP,NaN
2HCO3_NAt,0.0292176101081814
2OXOADOXm,0.297365478382142
2OXOADPTm,0.147677209088877
34DHPHEt,0.0913212193532803
34HPPOR,NaN
3AIBTm,0.246671357936205
3AIBtmi,0.246671357936205
3HAO,0.256694492846187
3HBCOAHLm,NaN
3HKYNAKGAT,NaN
3HLYTCL,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,0.276350825883401
3SALAOX,NaN
3SALATAi,0.461535291351576
3SALATAim,0.507251358452352
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5AOPtm,NaN
5MTHFt,0.0271000235127325
5MTHFt2,0.206558946244292
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABTArm,0.246671357936205
ABUTt4_2_r,0.073376027830795
ACACT10m,1.15660430238808
ACACt2m,0.630830016796691
ACALDtm,NaN
ACETONEt2,0.691245911202647
ACETONEt2m,0.630830016796691
ACGSm,0.0923016873143133
ACITL,0.619577073465655
ACOAD10m,0.576219838307741
ACOAD8m,0.455594872405047
ACOAD9m,0.576219838307741
ACOAHi,NaN
ACONTm,0.825494941725968
ACSm,0.28257364368124
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.00149944580758641
ACTNMO,0.00149944580758641
ADCim,NaN
ADK1m,0.773002254453455
ADK3,NaN
ADK3m,1.17731942273415
ADMDC,0.731969407677986
ADNt,0.0940269144583082
ADPtx,NaN
AGTim,NaN
AGTix,NaN
AKGDm,0.297365478382142
AKGMALtm,0.880480680761951
AKGt4_3,0.0608082229629205
AKGtp,NaN
ALAASNNaEx,0.475862420767375
ALACYSNaEx,0.687755287828869
ALAGLNexR,0.000963430782073497
ALAGLNNaEx,0.475862420767375
ALAGLYexR,0.000963430782073497
ALASERNaEx,0.687755287828869
ALASm,0.295618745935681
ALAt4,0.496969524253223
ALATA_L,0.0632279186036202
ALATHRNaEx,0.687755287828869
ALAtN1,0.16540856025488
ALDD2xm,0.479858013825317
ALDD2y,0.874844586520629
ALR2,0.866717336515438
AMCOXO,NaN
AMETt2m,0.376850035956842
AMPtp,NaN
AOBUTDsm,NaN
ARGLYSex,0.214432920554778
ARGNm,0.128436157390989
ARGt4,NaN
ARGtm,0.0666016357678133
ASNALANaEx,0.475862420767375
ASNCYSNaEx,0.475862420767375
ASNGLNNaEx,0.475862420767375
ASNS1,0.37601933404841
ASNSERNaEx,0.475862420767375
ASNt4,0.496969524253223
ASNTHRNaEx,0.475862420767375
ASNtN1,0.16540856025488
ASPGLUm,0.276350825883401
ASPTAm,0.507251358452352
ATP1ter,NaN
ATPtm,1.92582403460498
ATPtx,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,0.00999372281535248
CATm,0.651306592604513
CATp,0.651306592604513
CBPPer,0.885943394631142
CBPSam,0.110784054609283
CBPter,NaN
CHLP,0.510526425591366
CHLtm,NaN
CHOLD2m,0.0491252729257427
CHOLK,0.297850908023432
CHOLt4,NaN
CHOLtu,0.119786106873147
CHSTEROLt1,0.469090184850017
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITRtm,0.0666016357678133
CITt4_2,NaN
CITtam,0.669356291234291
CITtbm,0.669356291234291
CK,0.00880608477686732
CKc,1.69177444283241
CLFORtex,0.0303088573779956
CLHCO3tex2,0.076140295130063
CLOHtex2,0.076140295130063
CLOXAtex2,0.076140295130063
CO2ter,NaN
CO2tm,NaN
COAtm,0.202253837598075
CREATt4_2_r,0.239404290130189
CREATtmdiffir,NaN
CRTNsyn,NaN
CSm,0.440307254688854
CYSALANaEx,0.687755287828869
CYSASNNaEx,0.475862420767375
CYSGLNNaEx,0.475862420767375
CYSGLUexR,0.182875460199671
CYSGLYexR,0.90189509893121
CYSO,NaN
CYSSERNaEx,0.687755287828869
CYSt4,0.496969524253223
CYSTA,0.461535291351576
CYStec,0.0408280921287579
CYSTHRNaEx,0.687755287828869
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DMGDHm,0.0161393015049456
DMGtm,NaN
DOPAMT,0.988121519788773
DOPAt4_2_r,NaN
DOPAtu,0.119786106873147
DOPAVESSEC,0.0142368669553509
DPGase,1.59672612974911
DPGM,1.59672612974911
DTTPtn,NaN
ECOAH12m,1.15660430238808
ECOAH1m,1.15660430238808
ECOAH9m,1.15660430238808
EX_34dhphe_e,NaN
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_acetone_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_creat_e,NaN
EX_dopa_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
