Var1,pdx184_cluster_0
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,0.00141973349576988
1a_24_25VITD2Hm,NaN
1a_25VITD2Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,0.0618533175444327
24_25VITD3Hm,0.0618533175444327
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin_m,NaN
25HVITD3t,NaN
25HVITD3tin_m,NaN
25VITD2Hm,0.00878302013037155
25VITD3Hm,0.00878302013037155
2AMACHYD,0.0110084394907506
2AMACSULT,0.0255669689060442
2AMADPTm,0.294126430588201
2DR1PP,NaN
2HBO,1.8769662997112
2HBt2,0.463696172922763
2HCO3_NAt,NaN
2MCITt,NaN
2OXOADOXm,0.257411599425762
2OXOADPTm,0.294126430588201
34DHOXPEGOX,0.737541936575013
34DHOXPEGt,NaN
34DHPHAMT,1.03672137354192
34DHPHEt,0.00434319421757738
34DHPLACOX,NaN
34DHPLACOX_NADP,NaN
34DHXMANDACOX,NaN
34DHXMANDACOX_NADP,NaN
34HPLFM,NaN
34HPPOR,NaN
35CGMPtn,NaN
3AIBTm,0.421449798727614
3AIBtmi,0.421449798727614
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,1.01358899889377
3HAO,0.180250852369535
3HBCDm,0.00858525825529381
3HBCOAHLm,NaN
3HKYNAKGAT,0.0736526269930527
3HLYTCL,NaN
3M4HDXPAC,NaN
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3MOX4HOXPGALDOX,NaN
3MOX4HOXPGALDOX_NADP,NaN
3MOXTYROX,0.0777818245983444
3SALAASPm,0.0957695195734343
3SALACBOXL,0.527230103513137
3SALAOX,NaN
3SALATAi,0.128931757082376
3SALATAim,0.27101279498994
3SPYRSP,NaN
