"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
4.69977695146918e-161 1.63408795521985 1 0.386 4.69977695146918e-157 "0" "MUC6"
2.81433168510815e-158 1.68583944798713 1 0.44 2.81433168510815e-154 "0" "GABPB1-AS1"
1.3155533797292e-157 2.17937454276278 1 0.683 1.3155533797292e-153 "0" "HAP1"
8.32275176730778e-157 1.92266992547327 1 0.517 8.32275176730778e-153 "0" "ARC"
2.0255782578585e-156 1.31643824229986 1 0.497 2.0255782578585e-152 "0" "LSAMP"
3.8989105179519e-154 1.19292341248065 1 0.576 3.8989105179519e-150 "0" "L1CAM"
1.56192507228382e-153 1.42173974195005 1 0.602 1.56192507228382e-149 "0" "DAPK2"
2.19200588645697e-151 1.93989023220344 1 0.983 2.19200588645697e-147 "0" "ATP1A1"
7.16876095339113e-151 1.48179477942662 1 0.507 7.16876095339113e-147 "0" "RBFOX1"
1.37704249430941e-150 1.26718289717009 1 0.433 1.37704249430941e-146 "0" "GNAO1"
2.1438175794236e-150 1.81600332593322 1 0.743 2.1438175794236e-146 "0" "BDP1"
5.78818116594472e-150 1.35437397180715 1 0.884 5.78818116594472e-146 "0" "SORL1"
6.86012694088424e-150 1.52455715893462 1 0.762 6.86012694088424e-146 "0" "IRS2"
7.00101030099968e-150 1.47839100193397 1 0.512 7.00101030099968e-146 "0" "RAB3B"
1.88240301418519e-149 1.56449962018059 1 0.554 1.88240301418519e-145 "0" "SLC26A2"
3.43846934872783e-149 1.33641010116413 1 0.512 3.43846934872783e-145 "0" "TBR1"
1.48880733116859e-148 1.89956410879319 1 0.451 1.48880733116859e-144 "0" "MEG3"
1.61656239040182e-148 1.31016803977475 0.995 0.411 1.61656239040182e-144 "0" "DUSP2"
3.6278490021267e-148 2.12896702126001 1 0.592 3.6278490021267e-144 "0" "IER3"
3.88340274483443e-148 1.35277198017172 1 0.7 3.88340274483443e-144 "0" "AKAP9"
6.66398906537912e-148 1.31833438884995 1 0.592 6.66398906537912e-144 "0" "TARSL2"
2.27761859562865e-147 1.34597812408387 0.998 0.383 2.27761859562865e-143 "0" "CHGA"
3.30586288585923e-147 1.22156634507729 1 0.386 3.30586288585923e-143 "0" "SNHG14"
5.33500927407861e-146 1.29217792369638 1 0.549 5.33500927407861e-142 "0" "RTN1"
1.75870148903328e-145 1.29512757239629 1 0.555 1.75870148903328e-141 "0" "SOX9"
4.04757309463419e-145 1.51994311479866 1 0.594 4.04757309463419e-141 "0" "ODF2L"
5.49587546789046e-145 2.88657342422978 1 0.965 5.49587546789046e-141 "0" "IGFBP2"
5.15803671645016e-144 1.88134159690943 1 0.555 5.15803671645016e-140 "0" "PCSK1N"
1.12646871665786e-143 1.66304629820984 1 0.398 1.12646871665786e-139 "0" "XIST"
7.23736329364974e-143 2.08462481980009 1 0.597 7.23736329364974e-139 "0" "NEAT1"
1.50102276443594e-142 1.63778273471932 1 0.545 1.50102276443594e-138 "0" "CCDC171"
1.61820109942485e-142 1.28300548252078 1 0.597 1.61820109942485e-138 "0" "DCX"
5.16406205331801e-142 1.39759010234508 1 0.56 5.16406205331801e-138 "0" "SIM2"
7.14519095030565e-141 1.41593862525615 1 0.646 7.14519095030565e-137 "0" "MYC"
9.62967524913529e-141 1.52814256575877 1 0.589 9.62967524913529e-137 "0" "WASF1"
2.57099273363635e-140 1.32587938329178 1 0.381 2.57099273363635e-136 "0" "PCDH17"
4.3156737500805e-140 2.27559205263297 1 0.888 4.3156737500805e-136 "0" "SCG2"
1.27064642252775e-138 1.95101012172442 1 0.842 1.27064642252775e-134 "0" "PEG3"
2.26732138457645e-138 1.20514627373619 1 0.884 2.26732138457645e-134 "0" "TSC22D1"
2.12203915202023e-137 2.84693941807849 1 1 2.12203915202023e-133 "0" "MALAT1"
2.39180677666473e-137 1.34958190134976 1 0.725 2.39180677666473e-133 "0" "SLC38A1"
2.19772207514988e-136 1.50162137190365 1 0.634 2.19772207514988e-132 "0" "KCNE3"
3.51785440854293e-136 1.70683752896675 1 0.56 3.51785440854293e-132 "0" "PPP1R1A"
1.27089477036496e-135 2.06751175028174 1 0.802 1.27089477036496e-131 "0" "CD99"
1.53095565791597e-135 1.31539302430318 1 0.5 1.53095565791597e-131 "0" "HMCN1"
1.30027722919609e-134 1.2314470364938 1 0.418 1.30027722919609e-130 "0" "BEX2"
3.38756325219307e-134 1.59179010731403 0.998 0.596 3.38756325219307e-130 "0" "ECRG4"
2.01359158509216e-133 1.37377847464554 1 0.674 2.01359158509216e-129 "0" "PRKCB"
1.77684576273697e-132 1.29103395276437 1 0.592 1.77684576273697e-128 "0" "SOCS3"
5.8262979494773e-132 1.70720469810684 1 0.936 5.8262979494773e-128 "0" "CAMK2N1"
7.1060217315644e-132 1.27306454204682 1 0.552 7.1060217315644e-128 "0" "SOX11"
5.05434586709543e-130 1.85879605270666 1 0.775 5.05434586709543e-126 "0" "PNOC"
2.96027817245838e-129 1.54989589320675 1 0.636 2.96027817245838e-125 "0" "KDSR"
5.37823698388796e-129 1.4581150527352 1 0.611 5.37823698388796e-125 "0" "EEF1A2"
1.13902992146947e-128 2.44555525635216 1 0.992 1.13902992146947e-124 "0" "MT-ND4"
1.24968938833994e-128 2.01132053107041 1 0.919 1.24968938833994e-124 "0" "MT-ND2"
3.83981441638352e-128 1.63263909549555 1 0.636 3.83981441638351e-124 "0" "C20orf204"
9.22923098438609e-125 1.44765721551882 1 0.609 9.22923098438609e-121 "0" "LHX9"
7.48664690291081e-124 1.24359028397007 1 0.639 7.48664690291081e-120 "0" "TCF4"
1.92382154491026e-123 1.18875355135104 1 0.656 1.92382154491026e-119 "0" "CRMP1"
1.46954903324382e-122 1.50084996916074 1 0.502 1.46954903324382e-118 "0" "RARRES2"
1.63912248710052e-121 1.4789396545891 1 0.921 1.63912248710052e-117 "0" "TLE5"
2.89917956849998e-121 2.17491196235318 1 0.951 2.89917956849998e-117 "0" "MT-ND1"
9.59184711052402e-120 1.19792138576552 0.998 0.814 9.59184711052402e-116 "0" "DUSP1"
1.17754365840369e-119 1.18835675158911 0.99 0.435 1.17754365840369e-115 "0" "UTS2"
1.75761930010618e-119 1.51985888108954 1 0.777 1.75761930010618e-115 "0" "EGR1"
1.0521781806401e-118 1.50008975886549 0.998 0.592 1.0521781806401e-114 "0" "GRP"
9.37252365454889e-118 1.61823015555203 1 0.611 9.37252365454889e-114 "0" "MFAP4"
1.63201666698556e-117 1.19816945650718 1 0.621 1.63201666698556e-113 "0" "GUK1"
5.75542697376404e-117 1.77733386137412 1 0.829 5.75542697376404e-113 "0" "STMN2"
6.15609867887483e-117 1.61164329752997 1 0.867 6.15609867887483e-113 "0" "HSPH1"
9.91438249727037e-116 1.50660670888251 1 0.671 9.91438249727037e-112 "0" "IER2"
3.94129234524551e-115 1.42008984892866 1 0.983 3.94129234524551e-111 "0" "SLC38A2"
1.2665364053917e-114 1.30107236246148 1 0.482 1.2665364053917e-110 "0" "PCDH10"
7.84236390216519e-114 1.57721528762949 1 0.686 7.84236390216519e-110 "0" "MT-ND5"
1.87132233105361e-113 2.29242916634613 1 0.951 1.87132233105361e-109 "0" "MT-CO2"
4.61217901108802e-113 1.25674770364546 1 0.629 4.61217901108802e-109 "0" "ITM2C"
3.28082729343033e-112 2.27337323232871 1 0.997 3.28082729343033e-108 "0" "MT-CO1"
6.65221860487026e-110 1.61011032163835 1 0.82 6.65221860487026e-106 "0" "MMP9"
1.08455925165765e-108 1.20070361445082 1 0.51 1.08455925165765e-104 "0" "POU3F1"
6.86294246235036e-108 2.11651208025752 1 0.99 6.86294246235036e-104 "0" "MT-ATP6"
1.11049455333775e-107 1.92352202817778 1 0.94 1.11049455333775e-103 "0" "MT-ND3"
2.97254413095716e-107 1.87071106298735 1 0.784 2.97254413095716e-103 "0" "CARTPT"
2.57779708817811e-106 1.39152512128491 1 0.76 2.57779708817811e-102 "0" "HDAC9"
3.25974059327418e-106 2.11648135364637 1 1 3.25974059327418e-102 "0" "MT-CO3"
3.80546860402152e-104 1.38911489098441 1 0.767 3.80546860402152e-100 "0" "BEX1"
4.11426164065689e-104 1.97911232055492 1 0.733 4.11426164065689e-100 "0" "NMB"
4.74789849576471e-104 1.21274630768916 1 0.72 4.74789849576471e-100 "0" "TNC"
1.67127348757064e-103 1.8957143304935 1 0.985 1.67127348757064e-99 "0" "ITM2A"
1.40720846291564e-102 1.42477043645746 1 0.735 1.40720846291564e-98 "0" "SYCP1"
3.11515683575131e-102 1.26265734932631 1 0.82 3.11515683575131e-98 "0" "MARCKSL1"
1.6096608252151e-100 1.65984447540077 1 0.893 1.6096608252151e-96 "0" "TUBB2B"
