"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
3.13521965113764e-59 0.281961856725845 1 1 5.77570164132577e-55 "0" "FCGRT"
3.2198992233755e-59 0.388473787318019 0.987 0.814 5.93169834930235e-55 "0" "C1QL2"
9.62711312778096e-53 0.267135436319348 1 0.983 1.77350678039981e-48 "0" "CD248"
4.37351579119149e-51 0.291038544563898 0.997 0.932 8.05689079053296e-47 "0" "SLCO5A1"
1.55036026108232e-47 0.273659641743016 0.999 0.954 2.85607367296585e-43 "0" "PKP1"
7.09901023323025e-47 0.301504168414418 0.989 0.884 1.30777966516568e-42 "0" "SCX"
7.78876691590981e-47 0.270021623606237 0.999 0.991 1.43484664124891e-42 "0" "PPP1R1A"
2.75232498492638e-46 0.303801437989213 0.945 0.799 5.07033308723138e-42 "0" "CDC42EP5"
4.94629036477916e-42 0.315909000818581 0.996 0.895 9.11205610999617e-38 "0" "TMEM38A"
7.45541137996648e-42 0.265090764117818 0.95 0.784 1.37343588441742e-37 "0" "LINGO1"
1.13738899211304e-41 0.286639270179825 0.96 0.777 2.09529800127063e-37 "0" "YPEL3"
1.84436307304716e-41 0.254084119094959 1 0.983 3.39768565316748e-37 "0" "BASP1"
4.89094047391102e-40 0.285884151935571 0.993 0.869 9.01009054103887e-36 "0" "CLSTN2"
3.84318607531946e-39 0.29042372962928 0.987 0.891 7.0799173879535e-35 "0" "POU3F1"
7.53922596490286e-38 0.255623307962872 0.943 0.734 1.38887620725441e-33 "0" "TSR3"
8.40922478210994e-38 0.278859021894345 0.989 0.863 1.54914738936029e-33 "0" "FZD4"
2.00887512073472e-37 0.274213247927364 0.993 0.9 3.70074974741751e-33 "0" "PRKCB"
2.16482072519773e-36 0.258982174598778 0.915 0.696 3.98803273995926e-32 "0" "SLC25A23"
2.69127228517838e-36 0.251745830063866 0.835 0.483 4.95786180375562e-32 "0" "MXD4"
7.14416059877112e-32 0.391324076411939 1 1 1.31609726550561e-27 "0" "PENK"
5.3850827583717e-31 0.259507645674661 0.879 0.67 9.92039945747235e-27 "0" "SYN1"
1.2862314548639e-30 0.351937527823495 0.982 0.899 2.36949558615028e-26 "0" "PADI3"
4.99941704744565e-29 0.25565155906237 1 0.998 9.20992608480438e-25 "0" "CALCB"
5.54286146881679e-28 0.295354528624727 0.835 0.57 1.02110593978543e-23 "0" "KANK3"
9.16176868833517e-27 0.25830777207648 1 0.991 1.68778102776511e-22 "0" "PADI2"
7.63677784135692e-26 0.261402837016369 0.927 0.758 1.40684721393477e-21 "0" "MROH2A"
