"loadings" "Annotation"
"r2083" "0.0692527238920062" "_Average"
"GK1" "0.0729773666389142" "_Average"
"r0119" "0.0729773666389143" "_Average"
"r1687" "0.0735210596054668" "_Average"
"5MTHFt" "0.0735352141786196" "_Average"
"r1775" "0.0889251140031914" "_Average"
"r1806" "0.0889251167843263" "_Average"
"3HCO3_NAt" "0.0919231381747277" "_Average"
"CLOHtex2" "0.0956411007514535" "_Average"
"r2114" "0.111120204303259" "_Average"
"r2080" "-0.111862972179543" "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"2HCO3_NAt" "-0.095425467901463" "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"HEX1" "-0.0865657112861413" "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"HMGCOAtm" "-0.0755660002100361" "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"5MTHFt2" "-0.0735352141786196" "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"MALtm" "0.0684071982434579" "_Redox/OxPhosPho"
"GLUDC" "0.0684934716013681" "_Redox/OxPhosPho"
"EX_ac_e" "0.0708884283942041" "_Redox/OxPhosPho"
"r1786" "0.0714820955373316" "_Redox/OxPhosPho"
"VALPHELAT2tc" "0.0714820955373418" "_Redox/OxPhosPho"
"THRPHELAT2tc" "0.0714820955373418" "_Redox/OxPhosPho"
"LEUyLAThtc" "0.0714820955373418" "_Redox/OxPhosPho"
"GLYC3PFADm" "0.071482095537342" "_Redox/OxPhosPho"
"r2396" "0.071482095537342" "_Redox/OxPhosPho"
"r1951" "0.071482095537342" "_Redox/OxPhosPho"
"DHAPtc" "0.071482095537342" "_Redox/OxPhosPho"
"r1859" "0.071482095537342" "_Redox/OxPhosPho"
"r1956" "0.071482095537342" "_Redox/OxPhosPho"
"ASNTHRNaEx" "0.071482095537342" "_Redox/OxPhosPho"
"r1955" "0.0714820955373421" "_Redox/OxPhosPho"
"ILEPHELAT2tc" "0.071483029625946" "_Redox/OxPhosPho"
"r0249" "0.0714831167903978" "_Redox/OxPhosPho"
"r0840" "0.0714831167903979" "_Redox/OxPhosPho"
"LEUt4" "0.0714834392584779" "_Redox/OxPhosPho"
"GLYVESSEC" "0.0718008571028249" "_Redox/OxPhosPho"
"ACACt2m" "0.0736907812465565" "_Redox/OxPhosPho"
"r2094" "0.073693779489137" "_Redox/OxPhosPho"
"HISyLATthc" "0.0758619419191761" "_Redox/OxPhosPho"
"PYK" "0.0759705477749466" "_Redox/OxPhosPho"
"SERGLNexR" "0.0764498896564231" "_Redox/OxPhosPho"
"NDPK4" "0.0772653008981598" "_Redox/OxPhosPho"
"SPODM" "0.0794460261719989" "_Redox/OxPhosPho"
"r2084" "0.0794718132626659" "_Redox/OxPhosPho"
"r2093" "0.0794718132626659" "_Redox/OxPhosPho"
"r2110" "0.0794718132626659" "_Redox/OxPhosPho"
"r2119" "0.0794718132626659" "_Redox/OxPhosPho"
"r2128" "0.0794718132626659" "_Redox/OxPhosPho"
"r1788" "0.0846000109922196" "_Redox/OxPhosPho"
"GLUPROASCT1" "0.0858324638121472" "_Redox/OxPhosPho"
"GLUVESSEC" "0.0858324638121473" "_Redox/OxPhosPho"
"CSm" "0.0924619130190622" "_Redox/OxPhosPho"
"r2102" "0.0966557206206615" "_Redox/OxPhosPho"
"r2117" "0.0977543104855807" "_Redox/OxPhosPho"
"r2101" "0.0977543104855807" "_Redox/OxPhosPho"
"ME2m" "0.0986074259362748" "_Redox/OxPhosPho"
"r0552" "0.10495306604928" "_Redox/OxPhosPho"
"r0553" "-0.10495306604928" "_Proliferating_Redox/OxPhosPho"
"FUMtm" "-0.0903888986195556" "_Proliferating_Redox/OxPhosPho"
"CO2tm" "-0.0798477276137001" "_Proliferating_Redox/OxPhosPho"
"r2079" "-0.0794718132626659" "_Proliferating_Redox/OxPhosPho"
"r2104" "-0.0794718132626659" "_Proliferating_Redox/OxPhosPho"
"O2Stm" "-0.0794460261719987" "_Proliferating_Redox/OxPhosPho"
"r1591" "-0.0778984124379518" "_Proliferating_Redox/OxPhosPho"
"RE2954C" "-0.0766783249949129" "_Proliferating_Redox/OxPhosPho"
