"model" "cl_resolution" "ic_score_by" "cl_aggregation_by" "Min." "1st Qu." "Median" "Mean" "3rd Qu." "Max."
"recon2_redHuman" "cl_resolution_0.25" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.399949715065561" "0.192377699453481" 0.291476099430046 0.265119315836583 "0.372069264767528" 0.611407281647271
"recon2_redHuman" "cl_resolution_0.25" "ic_score_by_mean" "cl_aggregation_by_median" "-0.485615698439833" "-0.00815147750973607" 0.197233206961004 0.137208814436301 "0.293436194570202" 0.647477962042641
"recon2_redHuman" "cl_resolution_0.25" "ic_score_by_median" "cl_aggregation_by_mean" "-0.39593396127336" "0.119674952980517" 0.253912930053457 0.248579444535583 "0.402877658480725" 0.646089352147798
"recon2_redHuman" "cl_resolution_0.25" "ic_score_by_median" "cl_aggregation_by_median" "-0.46459266456018" "0.0453901999770707" 0.142937000456856 0.158647049276208 "0.314877333714583" 0.604601954113827
"recon2_redHuman" "cl_resolution_0.35" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.669063738795885" "0.118721343518234" 0.242326554946832 0.195842012949595 "0.344228398887999" 0.859173197227768
"recon2_redHuman" "cl_resolution_0.35" "ic_score_by_mean" "cl_aggregation_by_median" "-0.552347030087949" "-0.0956310707512326" 0.112757755998358 0.0889933413967598 "0.259527828077549" 0.792724562425681
"recon2_redHuman" "cl_resolution_0.35" "ic_score_by_median" "cl_aggregation_by_mean" "-0.483740336444269" "0.0273080437964965" 0.184546197194636 0.149114328323274 "0.276196174713276" 0.773777150142668
"recon2_redHuman" "cl_resolution_0.35" "ic_score_by_median" "cl_aggregation_by_median" "-0.640732124778346" "-0.0444265005791047" 0.119050120493161 0.0960811428708904 "0.254727445664627" 0.608948689602778
"recon2_redHuman" "cl_resolution_0.45" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.489614146525713" "0.110726740020206" 0.228072418310399 0.19064860823208 "0.324230448450056" 0.655684142136729
"recon2_redHuman" "cl_resolution_0.45" "ic_score_by_mean" "cl_aggregation_by_median" "-0.448466017742052" "-0.0240132184576136" 0.113687266868692 0.111159804128808 "0.266885174789177" 0.609839544494442
"recon2_redHuman" "cl_resolution_0.45" "ic_score_by_median" "cl_aggregation_by_mean" "-0.507463400098046" "-0.015059975289554" 0.178969643711741 0.127231762583805 "0.28484942861734" 0.56522998411083
"recon2_redHuman" "cl_resolution_0.45" "ic_score_by_median" "cl_aggregation_by_median" "-0.375708643292577" "-0.067059523392883" 0.156545072027377 0.0993253573095014 "0.250401965639071" 0.456341690701842
"recon2_redHuman" "cl_resolution_0.55" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.406556325997112" "0.0936435088947103" 0.190043787946848 0.177023288269241 "0.278831620639429" 0.684226171520794
"recon2_redHuman" "cl_resolution_0.55" "ic_score_by_mean" "cl_aggregation_by_median" "-0.372958835701941" "-0.0483107045907739" 0.0724205256329697 0.101239093878646 "0.224086773983712" 0.782015299740301
"recon2_redHuman" "cl_resolution_0.55" "ic_score_by_median" "cl_aggregation_by_mean" "-0.23899108828709" "0.0358916785261331" 0.221918031471704 0.185822838534672 "0.316289556373349" 0.638071087512292
"recon2_redHuman" "cl_resolution_0.55" "ic_score_by_median" "cl_aggregation_by_median" "-0.542929314118444" "-0.0285174467232673" 0.113964657995944 0.087932507415403 "0.214721496169306" 0.550133683447831
"recon2_redHuman" "cl_resolution_0.65" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.485848979688629" "0.0283793794580926" 0.150504593606746 0.141077708689218 "0.271642151911457" 0.647850841399484
"recon2_redHuman" "cl_resolution_0.65" "ic_score_by_mean" "cl_aggregation_by_median" "-0.606404987836501" "0.0260177585586113" 0.114211197752678 0.100773017378986 "0.208571716847182" 0.515868875542151
"recon2_redHuman" "cl_resolution_0.65" "ic_score_by_median" "cl_aggregation_by_mean" "-0.435255144542703" "0.039459712888993" 0.183877794824066 0.161779261739585 "0.303312053407769" 0.715719477638832
"recon2_redHuman" "cl_resolution_0.65" "ic_score_by_median" "cl_aggregation_by_median" "-0.624401861490877" "-0.0578675715481845" 0.10626598926566 0.0693783500806582 "0.20041272163769" 0.650536098657177
"recon2_redHuman" "cl_resolution_0.75" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.498397706889753" "-0.00663446490983861" 0.127388086227339 0.112129611376377 "0.240011954832575" 0.638727478835803
"recon2_redHuman" "cl_resolution_0.75" "ic_score_by_mean" "cl_aggregation_by_median" "-0.427117721396903" "-0.0455346592882735" 0.0732378903773531 0.0741659628192159 "0.211253037206151" 0.502737219486252
"recon2_redHuman" "cl_resolution_0.75" "ic_score_by_median" "cl_aggregation_by_mean" "-0.498629547641933" "0.0157814799550355" 0.180527521964692 0.131974317287153 "0.26399181173684" 0.520650298868471
"recon2_redHuman" "cl_resolution_0.75" "ic_score_by_median" "cl_aggregation_by_median" "-0.526074491764324" "-0.0465375974624104" 0.0908228877298356 0.0709199059862874 "0.18642034558556" 0.433834366999995
"recon2_redHuman" "cl_resolution_0.8" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.44212774151755" "0.0395951351652757" 0.18657543551527 0.147044597130607 "0.26359176769952" 0.640938927836841
"recon2_redHuman" "cl_resolution_0.8" "ic_score_by_mean" "cl_aggregation_by_median" "-0.516621852250698" "-0.0640671764306426" 0.0512718752781238 0.0392374784119458 "0.171208981630677" 0.676458523578915
"recon2_redHuman" "cl_resolution_0.8" "ic_score_by_median" "cl_aggregation_by_mean" "-0.400836308046995" "0.0062809470620978" 0.166860174832883 0.13677571781703 "0.265169977867011" 0.783311159974638
"recon2_redHuman" "cl_resolution_0.8" "ic_score_by_median" "cl_aggregation_by_median" "-0.603182236326086" "-0.124163879275565" 0.0129426517995733 0.00102940509198258 "0.12366814864915" 0.596745748365898
