"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
3.35877244556519e-194 0.545187635572809 1 0.954 3.34500147853837e-190 "0" "PDE4DIP"
2.86670093670057e-183 0.655378117829832 1 0.995 2.8549474628601e-179 "0" "TMEM176A"
1.25078500777707e-180 0.549050238330801 1 1 1.24565678924518e-176 "0" "TMEM176B"
1.41405922959934e-171 0.562371911187883 1 0.999 1.40826158675798e-167 "0" "CACNG8"
1.39274670749034e-170 0.608690949694886 1 1 1.38703644598963e-166 "0" "DDX5"
6.70268075916593e-168 0.495513385374168 1 0.992 6.67519976805335e-164 "0" "ADGRG2"
3.27719953507295e-166 0.668902363867915 1 1 3.26376301697915e-162 "0" "CD63"
4.07560213251868e-165 0.701798862400062 1 1 4.05889216377535e-161 "0" "PHF20L1"
9.98371803890965e-165 0.776542333074361 1 1 9.94278479495012e-161 "0" "TSPAN8"
2.21915051383292e-159 0.528035875888529 1 0.989 2.2100519967262e-155 "0" "CXXC5"
3.90053622397858e-158 0.39360172992932 0.993 0.759 3.88454402546027e-154 "0" "CHGB"
6.76647084437322e-158 0.811176744945056 1 1 6.73872831391129e-154 "0" "TMSB4X"
5.44496597773206e-157 0.510104569822688 1 0.929 5.42264161722336e-153 "0" "ENPP1"
1.03496903379626e-155 0.477402207678137 1 1 1.03072566075769e-151 "0" "ATP5F1A"
6.64833277906243e-154 0.532312466075325 1 1 6.62107461466827e-150 "0" "JAKMIP2"
1.36817722767121e-151 0.437090969288461 1 0.999 1.36256770103776e-147 "0" "HUWE1"
3.55260020990484e-149 0.698030852144344 1 1 3.53803454904423e-145 "0" "PEG10"
8.59152526046625e-149 0.785000159791493 1 1 8.55630000689834e-145 "0" "LGALS1"
3.52345060167122e-146 0.695177886597927 1 1 3.50900445420437e-142 "0" "TNFAIP6"
1.11681252735835e-144 0.425140468126898 1 0.969 1.11223359599618e-140 "0" "OBSL1"
9.27747751671752e-144 0.452968330499248 1 0.883 9.23943985889898e-140 "0" "BHLHE22"
1.26968868929753e-143 0.419768664187057 1 0.995 1.26448296567141e-139 "0" "GRN"
1.9380649804766e-143 0.770116816922614 1 1 1.93011891405664e-139 "0" "NEAT1"
8.87764455711689e-142 0.611773011018852 1 1 8.84124621443271e-138 "0" "HLA-A"
2.09055507735031e-138 0.53148889035908 1 1 2.08198380153317e-134 "0" "HMCN1"
8.86482190666373e-138 0.396829889638642 1 0.983 8.82847613684641e-134 "0" "GSDMD"
2.29135557698243e-135 0.479647729781957 1 0.996 2.2819610191168e-131 "0" "CYP4F22"
3.78178169974555e-135 0.55512370678898 1 0.984 3.76627639477659e-131 "0" "DCN"
5.77238965662129e-135 0.503936228464422 1 1 5.74872285902914e-131 "0" "TPGS2"
8.83422805270975e-135 0.40804226994499 1 0.983 8.79800771769364e-131 "0" "CHD4"
1.16909977598199e-134 0.571099120659218 1 1 1.16430646690046e-130 "0" "ITM2A"
2.33258627741911e-134 0.655899690312007 1 1 2.3230226736817e-130 "0" "NPY1R"
4.1647126851232e-132 0.500246125354721 1 1 4.14763736311419e-128 "0" "KDSR"
1.17458854827868e-131 0.523213009831639 1 0.999 1.16977273523074e-127 "0" "SLC25A3"
5.09316965683483e-131 0.528603419224807 1 1 5.07228766124181e-127 "0" "OLFM1"
1.20433434565477e-130 0.400173607290741 1 0.985 1.19939657483759e-126 "0" "XKR4"
2.68906775435753e-129 0.45393690111971 1 0.994 2.67804257656466e-125 "0" "NPY5R"
6.28658740652342e-129 0.492895605483422 1 1 6.26081239815667e-125 "0" "PTMS"
7.84604856744659e-129 0.405815282339867 1 0.983 7.81387976832006e-125 "0" "CYP7B1"
5.47889183167491e-127 0.756937725273512 1 1 5.45642837516505e-123 "0" "FCGRT"
6.35062224341274e-126 0.40614425486999 1 1 6.32458469221475e-122 "0" "RABAC1"
2.82452939594273e-125 0.429082039046678 0.999 0.941 2.81294882541936e-121 "0" "BAMBI"
5.2484689206563e-125 0.407260324229295 1 0.998 5.22695019808161e-121 "0" "PSME2"
6.21478392852298e-124 0.490520247061948 1 1 6.18930331441604e-120 "0" "SERPINF1"
2.29501663891452e-123 0.417040704940009 1 0.999 2.28560707069497e-119 "0" "HLA-C"
4.18487057868066e-123 0.480909651576972 1 1 4.16771260930807e-119 "0" "CCND1"
9.18247340085478e-122 0.507019529305757 1 1 9.14482525991128e-118 "0" "PTPN13"
4.82267749794615e-120 0.406140312796339 1 0.999 4.80290452020457e-116 "0" "HNRNPM"
5.5868531327271e-119 0.42079723797108 1 0.988 5.56394703488292e-115 "0" "CAMK2N1"
9.18165530891882e-119 0.579832716203925 1 1 9.14401052215225e-115 "0" "RAMP1"
1.66902441428047e-117 0.468030452754215 1 1 1.66218141418192e-113 "0" "MYO10"
1.82764904137168e-117 0.447071442350184 1 1 1.82015568030206e-113 "0" "CCT6A"
2.64248083403711e-117 0.652116499663433 1 1 2.63164666261756e-113 "0" "LY6E"
2.77022539149734e-116 0.412205341908133 1 1 2.7588674673922e-112 "0" "PLEC"
2.4170322492635e-114 0.403724323815193 1 0.998 2.40712241704152e-110 "0" "EZH2"
1.12276629438324e-112 0.517395886870024 1 1 1.11816295257627e-108 "0" "DKK2"
1.65929512909491e-112 0.542733732851591 1 1 1.65249201906562e-108 "0" "NPW"
3.51531874365197e-112 0.475447717193397 1 1 3.500905936803e-108 "0" "ATP6AP2"
1.68658825780646e-111 0.628543733612166 1 1 1.67967324594945e-107 "0" "CRIP2"
6.29590142149491e-111 0.477534322161073 1 0.998 6.27008822566678e-107 "0" "BEX1"
6.58257245501398e-110 0.606273414179258 1 1 6.55558390794842e-106 "0" "HSPA8"
6.18888987628857e-108 0.39587287122716 1 1 6.16351542779579e-104 "0" "LDLR"
1.21930229790923e-107 0.597192098531075 1 1 1.2143031584878e-103 "0" "TWIST1"
2.14350245878945e-106 0.475852721708993 1 1 2.13471409870841e-102 "0" "FADS1"
5.42774778015965e-106 0.419217371919155 1 1 5.40549401426099e-102 "0" "SRSF7"
5.43749812440089e-106 0.47949747291839 1 1 5.41520438209084e-102 "0" "CDC37L1"
3.95145212717361e-104 0.428684025768814 1 1 3.9352511734522e-100 "0" "AHNAK"
1.08229668628328e-101 0.746947886552505 1 1 1.07785926986951e-97 "0" "RARRES2"
3.57461019510709e-101 0.481794293246312 1 1 3.55995429330715e-97 "0" "CYBA"
1.00993541361348e-100 0.475522407559518 1 1 1.00579467841767e-96 "0" "DBI"
4.56733899969277e-100 0.757778096640165 1 1 4.54861290979403e-96 "0" "CEBPD"
2.83781232745162e-98 0.608950353864016 1 1 2.82617729690907e-94 "0" "APOE"
4.87193228966994e-98 0.468805070381547 1 1 4.8519573672823e-94 "0" "NFKBIA"
5.50341994818847e-96 0.436173084688518 1 1 5.4808559264009e-92 "0" "HLA-B"
5.80250999724522e-96 0.409243791513222 1 1 5.77871970625652e-92 "0" "NDUFS6"
