<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:638bea2f1804c7a6190c203712d00d73a30c3b9b880e5f90a1a9f170a5f78ec0
size 3958
=======
"cluster" "neighbor" "sil_width" "category"
"pdx1057_0" 1 2 0.345384959055821 "_Average"
"pdx1057_1" 1 2 0.329704647220523 "_Average"
"pdx1057_2" 5 2 -0.238575563855437 "_Ews_low"
"pdx1057_3" 6 5 0.459729961043871 "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"pdx1058_0" 2 1 0.39838999733552 "_Ews_high"
"pdx1058_1" 8 2 0.345687252652915 "_Redox/OxPhosPho"
"pdx1058_2" 7 1 0.514749730579534 "_Proliferating_Redox/OxPhosPho"
"pdx1058_3" 5 1 0.159841310929677 "_Ews_low"
"pdx1058_4" 5 1 -0.122548567313211 "_Ews_low"
"pdx184_0" 2 1 0.43210703840867 "_Ews_high"
"pdx184_1" 2 1 0.478413560450005 "_Ews_high"
"pdx184_2" 6 1 0.41418903533181 "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"pdx184_3" 1 5 0.340527103359711 "_Average"
"pdx184_4" 1 2 0.192824911499097 "_Average"
"pdx184_5" 1 7 0.382970144376595 "_Average"
"pdx352_0" 5 1 0.259301240185232 "_Ews_low"
"pdx352_1" 1 2 0.376618400979281 "_Average"
"pdx352_2" 2 1 0.454576403512833 "_Ews_high"
"pdx352_3" 6 1 0.44046780578782 "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"pdx352_4" 1 2 0.177312509906195 "_Average"
"pdx471_0" 1 2 0.269168860327625 "_Average"
"pdx471_1" 1 2 0.311614335432003 "_Average"
"pdx471_2" 7 1 0.450039247463813 "_Proliferating_Redox/OxPhosPho"
"pdx471_3" 3 6 0.255851533691754 "_Ews_high_Glucose/Hypoxia"
"pdx856_0" 2 1 0.500956928031552 "_Ews_high"
"pdx856_1" 5 1 0.105393333675283 "_Ews_low"
"pdx856_2" 1 2 0.349587198680011 "_Average"
"pdx856_3" 7 1 0.430369051805049 "_Proliferating_Redox/OxPhosPho"
"pdx857_0" 1 2 0.157620289573562 "_Average"
"pdx857_1" 1 2 0.276731456336684 "_Average"
"pdx861_0" 1 2 0.287102190558461 "_Average"
"pdx861_1" 1 5 0.376801298467096 "_Average"
"pdx861_2" 7 1 0.485103444884791 "_Proliferating_Redox/OxPhosPho"
"pdx861_3" 1 2 0.390316485403959 "_Average"
"pdx861_4" 7 2 0.46526408602958 "_Proliferating_Redox/OxPhosPho"
"pdx861_5" 8 1 0.498603720614577 "_Redox/OxPhosPho"
"PDX-3360_0" 1 7 0.110860321448413 "_Average"
"PDX-3360_1" 7 1 0.231613046897743 "_Proliferating_Redox/OxPhosPho"
"PDX-3360_2" 1 6 0.0216677200887271 "_Average"
"PDX-3360_3" 2 1 0.273892937892066 "_Ews_high"
"PDX-3360_4" 7 1 0.158046344888911 "_Proliferating_Redox/OxPhosPho"
"PDX-3360_5" 1 5 0.216814784430689 "_Average"
"PDX-3360_6" 5 7 0.0716853395544843 "_Ews_low"
"PDX-3381_0" 1 2 -0.212186213299877 "_Average"
"PDX-3381_1" 5 2 0.303281966790122 "_Ews_low"
"PDX-3381_2" 2 1 0.461986284233382 "_Ews_high"
"PDX-3381_3" 6 1 0.179817426156878 "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"PDX-352_0" 1 5 0.331097259639413 "_Average"
"PDX-352_1" 2 1 -0.0627393124449064 "_Ews_high"
"PDX-352_2" 5 1 0.102390279788746 "_Ews_low"
"PDX-352_3" 6 1 0.336932126716273 "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"PDX-3633_0" 1 6 0.164766026848985 "_Average"
"PDX-3633_1" 1 5 0.216621213541113 "_Average"
"PDX-3633_2" 1 6 0.383941906978765 "_Average"
"PDX-3633_3" 5 1 -0.0142773934904586 "_Ews_low"
"PDX-3633_4" 4 1 0.461194693211254 "_Ews_high_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"PDX-3686_0" 4 1 0.272108182144653 "_Ews_high_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"PDX-3686_1" 5 4 0.186295643943959 "_Ews_low"
"PDX-3686_2" 1 4 -0.402244459398152 "_Average"
"PDX-3686_3" 1 4 -0.0908765385535535 "_Average"
"PDX-3686_4" 5 4 -0.118382475939265 "_Ews_low"
"PDX-3686_5" 7 4 0.135795351145492 "_Proliferating_Redox/OxPhosPho"
"PDX-3686_6" 3 1 0.446223383533509 "_Ews_high_Glucose/Hypoxia"
"PDX-3693_0" 7 1 0.462760447375856 "_Proliferating_Redox/OxPhosPho"
"PDX-3693_1" 2 1 0.541793760164525 "_Ews_high"
"PDX-3693_2" 1 2 0.390133744606109 "_Average"
"PDX-3693_3" 1 2 0.328072068960993 "_Average"
"PDX-3776_0" 1 5 0.232038621608098 "_Average"
"PDX-3776_1" 1 2 0.270111741111383 "_Average"
"PDX-3776_2" 6 1 0.422175008892265 "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"PDX-3776_3" 2 1 0.302747984114403 "_Ews_high"
"PDX-3776_4" 8 1 0.552747068607655 "_Redox/OxPhosPho"
>>>>>>> parent of 29655cc (rm)
