"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
6.94569567814659e-58 0.398207990217216 1 0.941 1.20299449145499e-53 "0" "TRIB1"
1.66080809725722e-52 0.278661286043169 1 1 2.8765196244495e-48 "0" "CDC37L1"
2.36207363598103e-52 0.262809453339737 1 1 4.09111153751915e-48 "0" "KLF6"
1.25467003237248e-50 0.298716676406638 1 0.994 2.17308849606913e-46 "0" "CSRNP1"
2.42500266581111e-42 0.337787542646093 1 1 4.20010461718485e-38 "0" "HCAR3"
2.44347742097661e-41 0.327209813167976 0.972 0.903 4.23210289313148e-37 "0" "NABP1"
5.64927518013605e-41 0.274022385690789 1 1 9.78454461199564e-37 "0" "TNFAIP6"
3.48925874145764e-38 0.52437880546011 0.906 0.758 6.04339614020463e-34 "0" "PHLDA1"
3.08304814497561e-36 0.306375925656844 1 0.994 5.33983938709777e-32 "0" "HCAR2"
7.6661542533526e-33 0.262654432381341 1 0.994 1.32777791668067e-28 "0" "BTG2"
1.67375439789665e-32 0.317905872985878 0.984 0.938 2.89894261715699e-28 "0" "SOCS3"
2.99245680599895e-29 0.285411434066677 1 0.998 5.18293518799019e-25 "0" "ZFP36"
1.11666256610692e-28 0.297144161767262 1 0.998 1.93405956449718e-24 "0" "SGK1"
1.73195563318374e-28 0.285366275185757 0.922 0.767 2.99974715667424e-24 "0" "ARID5A"
5.56624934602156e-28 0.259937694336771 0.947 0.848 9.64074386730934e-24 "0" "SLC25A25"
1.2009139725024e-27 0.293285792092961 0.812 0.641 2.07998300037415e-23 "0" "YPEL2"
7.01107878790078e-27 0.27139344612856 0.976 0.909 1.21431884606442e-22 "0" "GADD45A"
1.34713995342028e-26 0.282543131053274 0.911 0.801 2.33324639932392e-22 "0" "TNFRSF4"
3.46827823099945e-26 0.250270240013344 0.966 0.884 6.00705789609104e-22 "0" "MT1F"
9.77776206538581e-26 0.318398380154431 1 0.987 1.69350838972482e-21 "0" "ERRFI1"
1.2560139376577e-24 0.273316541265718 1 1 2.17541614002314e-20 "0" "NFKBIA"
9.34384947746273e-21 0.292764277112343 0.893 0.774 1.61835472949655e-16 "0" "TCIM"
1.63156894821805e-20 0.295420912291713 0.989 0.962 2.82587741831367e-16 "0" "CD69"
2.01670170798326e-19 0.253908551582911 0.761 0.66 3.492927358227e-15 "0" "IGFBP5"
